Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Khris Davis,Brewers (AA),24,154,13.00%,21.40%,0.61,0.383,0.484,0.641,1.124,0.258,2.3,0.471,-0.5,38,20.6,0.507,218,9112
Wil Myers,Royals (AA),21,152,10.50%,27.60%,0.38,0.343,0.414,0.731,1.146,0.388,6.1,0.413,0.3,38,19.9,0.491,212,10047
Jared Goedert,Indians (AA),27,145,13.80%,13.80%,1,0.395,0.476,0.613,1.089,0.218,2.1,0.44,0,34,17.3,0.481,204,sa327086
Stefen Romero,Mariners (AA),23,240,5.80%,15.40%,0.38,0.347,0.392,0.62,1.012,0.273,6.4,0.366,-0.1,49,21.5,0.449,179,11746
Darin Ruf,Phillies (AA),25,583,11.10%,17.50%,0.64,0.317,0.408,0.62,1.028,0.303,3,0.325,0.4,121,53.7,0.446,180,9929
Ronnier Mustelier,Yankees (AA),27,114,7.90%,16.70%,0.47,0.353,0.412,0.598,1.01,0.245,5.6,0.392,-1,23,10.4,0.445,179,sa601536
Ben Guez,Tigers (AA),25,107,18.70%,15.90%,1.18,0.308,0.481,0.474,0.955,0.167,4.8,0.356,0,22,9.4,0.441,176,sa454544
Marc Krauss,- - -,24,468,16.90%,20.50%,0.82,0.293,0.423,0.547,0.97,0.253,4.7,0.341,-0.5,91,38.2,0.438,172,7577
Ryan Schimpf,Blue Jays (AA),24,137,16.80%,23.40%,0.72,0.279,0.412,0.568,0.979,0.288,3.6,0.324,0.2,27,10.9,0.43,169,sa501472
Mike Olt,Rangers (AA),23,420,14.50%,24.00%,0.6,0.288,0.398,0.579,0.977,0.291,3.9,0.327,0.5,83,33.7,0.426,168,10698
Matt Den Dekker,Mets (AA),24,268,7.50%,23.90%,0.31,0.34,0.397,0.563,0.96,0.223,7.1,0.429,-0.8,51,19.7,0.423,164,11385
Nate Tenbrink,Mariners (AA),25,185,12.40%,30.30%,0.41,0.283,0.396,0.539,0.935,0.257,6.5,0.393,-0.3,34,12.8,0.422,161,sa454946
Oswaldo Arcia,Twins (AA),21,299,9.40%,20.70%,0.45,0.328,0.398,0.557,0.955,0.229,6.1,0.392,-0.2,56,21.4,0.42,162,10306
Cole Figueroa,Rays (AA),25,105,16.20%,8.60%,1.89,0.314,0.419,0.512,0.931,0.198,4.3,0.316,-0.7,19,6.8,0.417,158,8790
Brandon Waring,Orioles (AA),26,222,12.20%,25.20%,0.48,0.276,0.389,0.551,0.94,0.276,5.2,0.336,0.4,41,15.4,0.417,160,sa389878
Andy Gonzalez,Brewers (AA),30,171,20.50%,14.00%,1.46,0.301,0.444,0.444,0.888,0.143,2.1,0.33,-0.3,30,10.9,0.416,157,3669
Juan Carlos Linares,Red Sox (AA),27,238,9.20%,12.60%,0.73,0.333,0.403,0.538,0.941,0.205,2.7,0.356,-0.4,43,16.1,0.415,159,sa560967
Brandon Barnes,Astros (AA),26,183,7.70%,23.00%,0.33,0.317,0.377,0.567,0.944,0.25,5.1,0.385,0.5,34,12.9,0.413,160,629
Hunter Morris,Brewers (AA),23,571,7.00%,20.50%,0.34,0.303,0.357,0.563,0.92,0.261,4.2,0.342,-0.2,100,35.2,0.413,155,sa526553
Juan Apodaca,Cubs (AA),25,103,17.50%,13.60%,1.29,0.309,0.437,0.444,0.881,0.136,2.2,0.353,-0.3,18,6.3,0.411,154,sa286639
Oscar Taveras,Cardinals (AA),20,531,7.90%,10.50%,0.75,0.321,0.38,0.572,0.953,0.252,6.3,0.323,1.3,99,36.6,0.411,159,11173
Carlos Sanchez,White Sox (AA),20,133,7.50%,16.50%,0.45,0.37,0.424,0.462,0.886,0.092,5.3,0.449,-0.7,23,8,0.41,153,11602
Nick Franklin,Mariners (AA),21,239,10.00%,15.90%,0.63,0.322,0.394,0.502,0.896,0.18,6.6,0.378,0.9,41,13.9,0.408,151,10166
Brad Miller,Mariners (AA),22,170,12.90%,15.30%,0.85,0.32,0.406,0.476,0.882,0.156,5.5,0.364,0.3,29,9.7,0.407,151,12775
Paul Mcanulty,Angels (AA),31,170,14.70%,18.20%,0.81,0.279,0.4,0.529,0.929,0.25,1.9,0.29,-0.9,31,11,0.406,155,4409
Greg Rohan,Cubs (AA),26,110,10.90%,17.30%,0.63,0.263,0.364,0.526,0.89,0.263,1.1,0.282,0,19,6.1,0.405,149,sa502095
Henry Wrigley,Rays (AA),25,137,10.90%,18.20%,0.6,0.27,0.35,0.541,0.891,0.27,4.1,0.289,0.5,23,7.4,0.403,148,sa296971
Alfredo Marte,Diamondbacks (AA),23,446,7.60%,16.10%,0.47,0.294,0.363,0.523,0.886,0.229,4.5,0.314,-1.4,74,23.7,0.401,147,5212
Daniel Pertusati,Marlins (AA),22,138,9.40%,15.90%,0.59,0.3,0.387,0.483,0.87,0.183,5.7,0.34,0.1,23,7.1,0.399,145,sa455260
Cody Decker,Padres (AA),25,406,13.30%,24.60%,0.54,0.263,0.367,0.54,0.907,0.277,2.4,0.296,-1.7,71,23.6,0.398,150,sa502081
Jon Singleton,Astros (AA),20,555,15.90%,23.60%,0.67,0.284,0.396,0.497,0.893,0.213,5.2,0.35,0.2,97,31.6,0.396,148,10441
Shane Peterson,Athletics (AA),24,205,21.50%,22.90%,0.94,0.274,0.441,0.42,0.862,0.146,6.7,0.38,0.4,36,11.6,0.396,148,7423
Thomas Neal,Indians (AA),24,470,9.80%,15.10%,0.65,0.314,0.4,0.467,0.867,0.153,4.5,0.355,-1,78,23.9,0.394,144,9461
Matt Lawson,Indians (AA),26,232,9.90%,12.90%,0.77,0.327,0.408,0.459,0.867,0.133,5.2,0.375,-0.2,38,11.6,0.393,144,sa388392
Kyle Russell,Dodgers (AA),26,277,14.80%,24.90%,0.59,0.262,0.379,0.493,0.873,0.231,4.2,0.322,-0.1,44,12.9,0.393,141,sa454496
Rich Poythress,Mariners (AA),24,357,14.00%,9.20%,1.52,0.304,0.404,0.439,0.843,0.135,3.6,0.325,0.6,57,16.5,0.392,141,sa500800
Adalberto Santos,Pirates (AA),24,274,11.70%,14.20%,0.82,0.34,0.425,0.433,0.858,0.092,5.6,0.401,0.2,45,13.5,0.392,143,sa389203
