Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Mills Rogers,Nationals (A),23,0.1,27,0,1,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.47,2.47,sa550001
Brian Tallet,Cardinals (A),33,2,22.5,0,5,0,83.30%,0.00%,83.30%,0,0,0,100.00%,0,-1.64,1.64,1646
Lucas La Point,Braves (A),20,2,22.5,0,5,0,83.30%,0.00%,83.30%,0,0,0,100.00%,0,-1.47,1.47,sa502142
Manny Parra,Brewers (A),28,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.64,0.64,4279
Cole Tyrell,Padres (A),23,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.64,0.64,sa546885
Shawn Tolleson,Dodgers (A),23,15,19.8,2.4,8.25,0,58.90%,7.10%,51.80%,0.154,0.8,0.421,91.70%,0,-0.24,0.24,10481
Yoon-Hee Nam,Rangers (A),23,2,13.5,0,3,0,42.90%,0.00%,42.90%,0.143,0.5,0.25,100.00%,0,0.53,-0.53,sa393259
Charles Thomas,Cubs (A),22,3.2,12.27,0,5,0,35.70%,0.00%,35.70%,0.214,0.82,0.333,100.00%,0,0.64,-0.64,sa501673
Kevin Quackenbush,Padres (A),22,21.1,16.03,2.53,6.33,0,46.30%,7.30%,39.00%,0.158,0.84,0.316,88.90%,0.84,0.64,0.2,12360
Hector Hernandez,Cardinals (A),20,3,12,0,4,0,30.80%,0.00%,30.80%,0.231,1,0.333,66.70%,0,0.7,-0.7,sa501640
Madison Boer,Twins (A),21,8,13.5,1.13,12,0,33.30%,2.80%,30.60%,0.343,1.63,0.522,46.20%,6.75,0.74,6.01,sa580423
Jose Valdez,Giants (A),22,13.2,13.83,1.32,10.5,0,42.90%,4.10%,38.80%,0.106,0.51,0.192,85.70%,0,0.89,-0.89,sa329099
Cody Allen,Indians (A),22,17,14.82,2.65,5.6,0,42.40%,7.60%,34.90%,0.164,0.88,0.303,100.00%,0,0.95,-0.95,12183
Zach Braddock,Brewers (A),23,4.2,13.5,1.93,7,0,46.70%,6.70%,40.00%,0,0.21,0,100.00%,0,1.01,-1.01,4553
Brad Lidge,Phillies (A),34,4,11.25,0,5,0,31.30%,0.00%,31.30%,0.313,1.25,0.455,80.00%,2.25,1.03,1.22,563
Addison Reed,White Sox (A),22,8,12.38,1.13,11,0,37.90%,3.50%,34.50%,0.143,0.63,0.235,80.00%,1.13,1.15,-0.03,10586
Casey Medlen,Brewers (A),21,27,11.67,1.67,7,0,32.40%,4.60%,27.80%,0.194,0.93,0.294,60.00%,3,1.33,1.67,sa599403
Kyle Landis,Indians (A),25,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.36,-1.36,sa389180
Brian Budrow,Diamondbacks (A),24,11.1,13.5,3.18,4.25,0,38.60%,9.10%,29.60%,0.15,0.88,0.261,80.00%,1.59,1.42,0.17,sa502370
Zack Osborne,Rangers (A),23,14.1,11.3,1.26,9,0,34.00%,3.80%,30.20%,0.177,0.77,0.273,81.80%,1.26,1.43,-0.18,sa548457
Garrett Johnson,White Sox (A),23,2,9,0,2,0,28.60%,0.00%,28.60%,0.143,0.5,0.2,100.00%,0,1.53,-1.53,sa328443
Rafael Vera,White Sox (A),23,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.53,-1.53,sa455953
Matt Weaver,Braves (A),21,1,9,0,1,0,25.00%,0.00%,25.00%,0.5,2,0.667,50.00%,9,1.53,7.47,sa501548
Christopher Mederos,Athletics (A),24,19.1,11.64,1.86,6.25,0,33.80%,5.40%,28.40%,0.13,0.67,0.205,85.70%,0.93,1.55,-0.62,sa502158
Michael Olmsted,Red Sox (A),24,28.1,13.98,2.86,4.89,0,40.70%,8.30%,32.40%,0.175,0.92,0.321,75.00%,1.59,1.59,0,sa390636
Justin Wright,Cardinals (A),21,35.2,13.63,2.27,6,0.25,38.30%,6.40%,31.90%,0.154,0.81,0.253,77.70%,1.26,1.63,-0.36,sa526239
Mark Montgomery,Yankees (A),20,24.1,15.16,4.07,3.73,0,39.10%,10.50%,28.60%,0.183,1.15,0.327,82.80%,1.85,1.64,0.21,sa598328
Leroy Hunt,White Sox (A),23,9.1,12.54,1.93,6.5,0,34.20%,5.30%,29.00%,0.171,0.86,0.273,22.20%,5.79,1.71,4.08,sa390181
Gus Schlosser,Braves (A),22,29.2,10.31,1.21,8.5,0,29.80%,3.50%,26.30%,0.202,0.88,0.293,77.80%,1.82,1.74,0.08,12321
Ramon Garcia,Cubs (A),19,15.2,9.77,1.72,5.67,0,26.20%,4.60%,21.50%,0.242,1.15,0.333,55.60%,3.45,1.77,1.68,sa506695
Brett Bochy,Giants (A),23,39,12.23,1.85,6.63,0.23,36.10%,5.40%,30.60%,0.159,0.77,0.25,84.50%,1.38,1.83,-0.45,11867
Josh Edgin,Mets (A),24,31,11.9,2.9,4.1,0,34.80%,8.50%,26.30%,0.13,0.77,0.209,83.30%,0.87,1.85,-0.98,10796
Francisco Mendoza,Rangers (A),23,22.2,13.1,1.99,6.6,0.4,37.50%,5.70%,31.80%,0.205,0.97,0.327,72.80%,2.78,1.85,0.93,sa506029
Jesse Litsch,Blue Jays (A),26,2,13.5,4.5,3,0,27.30%,9.10%,18.20%,0.3,2,0.429,25.00%,9,1.86,7.14,3688
Cameron Selik,Nationals (A),23,29,9.31,0.93,10,0,27.50%,2.80%,24.80%,0.219,0.9,0.307,96.30%,0.31,1.87,-1.56,sa549517
Doug Slaten,Nationals (A),31,3.2,7.36,0,3,0,18.80%,0.00%,18.80%,0.313,1.36,0.385,60.00%,4.91,1.89,3.02,3107
Dan Barnes,Blue Jays (A),21,66,13.5,2.73,4.95,0.41,37.60%,7.60%,30.00%,0.183,0.97,0.295,74.40%,2.32,1.95,0.36,sa549713
Justin Nicolino,Blue Jays (A),19,8.2,9.35,2.08,4.5,0,23.10%,5.10%,18.00%,0.297,1.5,0.393,76.90%,3.12,1.98,1.14,sa548278
Tyler Cravy,Brewers (A),21,20.1,12.84,4.43,2.9,0,29.60%,10.20%,19.40%,0.307,1.82,0.458,62.20%,5.75,1.99,3.77,sa501972
Noah Syndergaard,Blue Jays (A),18,9,9,2,4.5,0,25.00%,5.60%,19.40%,0.235,1.11,0.32,60.00%,3,2.03,0.97,sa548169
Edwin Carl,Royals (A),22,3,15,6,2.5,0,27.80%,11.10%,16.70%,0.438,3,0.636,55.60%,12,2.03,9.97,sa556669
Bryce Stowell,Indians (A),24,17.1,13.5,5.19,2.6,0,38.80%,14.90%,23.90%,0.14,1.04,0.258,72.20%,2.6,2.09,0.5,sa455267
Chris Manno,Nationals (A),22,43.1,14.33,3.12,4.6,0.21,40.10%,8.70%,31.40%,0.133,0.81,0.235,80.80%,1.04,2.1,-1.06,sa503241
Will Startup,Orioles (A),26,7,10.29,1.29,8,0,28.60%,3.60%,25.00%,0.192,0.86,0.278,85.70%,1.29,2.1,-0.81,sa290704
James Leverton,Marlins (A),25,28,11.25,2.89,3.89,0,31.00%,8.00%,23.00%,0.214,1.11,0.324,78.10%,1.61,2.1,-0.49,sa454983
Steven Turnbull,Blue Jays (A),24,25.1,9.95,2.49,4,0,27.50%,6.90%,20.60%,0.192,0.99,0.273,69.20%,2.13,2.1,0.03,sa501961
Drew Hutchison,Blue Jays (A),20,72,10.5,2.38,4.42,0.13,27.70%,6.30%,21.50%,0.242,1.21,0.342,68.90%,2.63,2.13,0.5,10732
Dan Taylor,Diamondbacks (A),23,45.2,10.64,1.38,7.71,0.39,30.90%,4.00%,26.90%,0.175,0.79,0.246,71.00%,1.97,2.16,-0.19,sa502043
Jake Petricka,White Sox (A),23,41.2,10.37,2.81,3.69,0,28.40%,7.70%,20.70%,0.25,1.25,0.361,73.10%,2.81,2.16,0.65,10534
Seth Maness,Cardinals (A),22,5,5.4,0,3,0,16.70%,0.00%,16.70%,0.222,0.8,0.267,75.00%,1.8,2.16,-0.36,12235
Ryan Rodebaugh,Rangers (A),22,43.2,11.13,2.47,4.5,0.21,32.10%,7.10%,25.00%,0.167,0.87,0.248,92.90%,0.41,2.18,-1.76,sa549200
Matthew Jackson,Padres (A),23,64.2,9.46,1.67,5.67,0.14,26.50%,4.70%,21.80%,0.203,0.94,0.279,73.90%,1.95,2.2,-0.26,sa502709
Josh Dowdy,Orioles (A),24,7.2,12.91,4.7,2.75,0,28.20%,10.30%,18.00%,0.371,2.22,0.542,76.50%,4.7,2.22,2.47,sa503249
Tyler Burgoon,Mariners (A),22,62.2,9.48,2.15,4.4,0.14,25.50%,5.80%,19.70%,0.226,1.12,0.307,70.40%,2.3,2.23,0.07,sa526419
Larry Suarez,Cubs (A),21,16,12.94,2.81,4.6,0.56,33.80%,7.40%,26.50%,0.206,1.13,0.308,78.30%,0,2.24,-2.24,sa393078
Bret Montgomery,Dodgers (A),25,90,8.2,1.5,5.47,0.1,23.20%,4.20%,18.90%,0.24,1.07,0.315,72.50%,2.6,2.25,0.35,sa550297
Keith Butler,Cardinals (A),22,15.1,9.39,2.93,3.2,0,28.10%,8.80%,19.30%,0.135,0.78,0.194,83.30%,1.17,2.25,-1.08,10080
Jim Walczak,Reds (A),24,19,11.37,3.79,3,0,28.90%,9.60%,19.30%,0.23,1.32,0.34,69.20%,1.89,2.26,-0.36,sa501724
Michael Brady,Marlins (A),24,61.1,11.89,1.47,8.1,0.59,34.80%,4.30%,30.50%,0.18,0.82,0.263,79.30%,1.91,2.27,-0.36,sa502167
Drew Hayes,Reds (A),23,60,13.35,4.05,3.3,0.3,37.90%,11.50%,26.40%,0.141,0.93,0.235,88.80%,1.35,2.28,-0.93,sa328425
Mike Rayl,Indians (A),22,82.2,9.15,1.42,6.46,0.33,26.20%,4.10%,22.10%,0.215,0.96,0.286,68.60%,2.83,2.31,0.52,sa501740
Scott Gracey,Blue Jays (A),24,25,9.72,1.8,5.4,0.36,29.00%,5.40%,23.70%,0.148,0.72,0.2,84.30%,1.44,2.32,-0.88,sa454894
Dan Bennett,Tigers (A),22,17.1,8.83,0.52,17,0.52,29.30%,1.70%,27.60%,0.14,0.52,0.18,100.00%,0.52,2.33,-1.81,sa599728
Daniel Wolford,Reds (A),22,67.2,10.11,3.06,3.3,0.13,27.10%,8.20%,18.90%,0.234,1.23,0.328,83.30%,1.46,2.33,-0.87,sa545124
Casey Harman,Cubs (A),22,25.1,9.59,1.42,6.75,0.36,29.40%,4.40%,25.00%,0.149,0.67,0.203,90.40%,0.36,2.34,-1.98,sa549808
Willy Kesler,Mariners (A),23,18.2,7.71,0,16,0.48,23.20%,0.00%,23.20%,0.217,0.8,0.269,80.90%,1.45,2.35,-0.9,sa549384
Andrew Jones,Red Sox (A),22,18,7.5,1,7.5,0,22.40%,3.00%,19.40%,0.172,0.72,0.225,78.60%,1.5,2.36,-0.86,sa599710
Ryan Duke,Phillies (A),22,15.2,10.34,2.87,3.6,0,30.50%,8.50%,22.00%,0.132,0.77,0.2,84.60%,1.15,2.38,-1.23,sa578017
James Paxton,Mariners (A),22,56,12.86,4.82,2.67,0.16,34.00%,12.80%,21.30%,0.221,1.34,0.358,73.70%,2.73,2.4,0.33,11828
Allen Caldwell,Royals (A),23,26.1,13.33,3.08,4.33,0.68,36.80%,8.50%,28.30%,0.206,1.1,0.321,76.30%,2.39,2.41,-0.02,sa455075
Matthew Stabelfeld,Rays (A),24,20.1,12.84,4.87,2.64,0,30.50%,11.60%,19.00%,0.268,1.62,0.415,74.30%,3.98,2.43,1.55,sa503403
Jordan Swagerty,Cardinals (A),21,30,9,0.6,15,0.6,28.90%,1.90%,26.90%,0.177,0.67,0.229,87.20%,1.5,2.43,-0.93,sa526415
Clayton Schrader,Orioles (A),21,22,15.55,5.32,2.92,0.41,41.30%,14.10%,27.20%,0.139,1.09,0.25,75.20%,2.05,2.44,-0.39,sa548468
Blake Cooper,Diamondbacks (A),23,40.1,8.48,2.9,2.92,0,22.20%,7.60%,14.60%,0.215,1.17,0.283,53.20%,3.35,2.45,0.9,sa549089
Cody Martin,Braves (A),21,23.1,12.73,1.54,8.25,0.77,37.10%,4.50%,32.60%,0.214,0.94,0.327,79.20%,1.54,2.46,-0.91,sa549474
Zach Thornton,Athletics (A),23,83,8.89,2.39,3.73,0.22,24.80%,6.70%,18.10%,0.201,1.01,0.267,70.20%,2.39,2.5,-0.11,sa549662
A.J. Griffin,Athletics (A),23,52,7.96,0.87,9.2,0.35,22.80%,2.50%,20.30%,0.185,0.79,0.231,82.10%,1.56,2.5,-0.94,11132
Chris Rearick,Rays (A),23,81.1,9.85,1.77,5.56,0.33,28.30%,5.10%,23.20%,0.168,0.8,0.23,79.70%,1.66,2.5,-0.84,sa550150
Carlos Martinez,Cardinals (A),19,38.2,11.64,3.26,3.57,0.23,32.10%,9.00%,23.10%,0.196,1.06,0.299,80.30%,2.33,2.51,-0.18,11682
Adam Dominick,Padres (A),25,72.2,10.28,1.61,6.38,0.62,27.70%,4.30%,23.30%,0.237,1.11,0.317,59.50%,3.59,2.51,1.08,sa594090
