Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Gerald Hall,Royals (A),21,0.1,27,0,1,0,50.00%,0.00%,50.00%,0.5,3,1,100.00%,0,-2.35,2.35,sa509852
Matt Heidenreich,White Sox (A),19,1,18,0,2,0,33.30%,0.00%,33.30%,0.5,3,0.75,33.30%,18,-0.48,18.48,sa501303
Josh Edgin,Mets (A),23,3,15,0,5,0,45.50%,0.00%,45.50%,0.273,1,0.5,100.00%,0,0.19,-0.19,10796
Drew Miller,Padres (A),24,3.1,13.5,0,5,0,31.30%,0.00%,31.30%,0.313,1.5,0.455,0.00%,10.8,0.65,10.15,sa326090
Cory Burns,Indians (A),22,15.2,14.36,0.57,25,0,41.00%,1.60%,39.30%,0.2,0.83,0.343,69.20%,2.3,0.65,1.65,6620
Steven Ames,Dodgers (A),22,28.1,13.98,0.95,14.67,0,39.60%,2.70%,36.90%,0.194,0.85,0.328,62.50%,2.54,0.86,1.68,9615
Juan Oramas,Padres (A),20,15,15,1.8,8.33,0,45.50%,5.50%,40.00%,0.173,0.8,0.333,83.30%,1.2,0.91,0.29,sa508100
Josh Lueke,Rangers (A),25,19.2,16.47,2.29,7.2,0,45.00%,6.30%,38.80%,0.164,0.86,0.324,79.00%,0.46,0.93,-0.47,5722
Donnie Joseph,Reds (A),22,23,15.65,2.74,5.71,0,45.50%,8.00%,37.50%,0.161,0.87,0.317,85.00%,0.78,1.08,-0.3,6491
Stephen Fox,Red Sox (A),24,1.2,10.8,0,2,0,16.70%,0.00%,16.70%,0.417,3,0.5,20.00%,16.2,1.12,15.08,sa549306
Stephen Pryor,Mariners (A),20,15,16.2,3.6,4.5,0,38.60%,8.60%,30.00%,0.27,1.53,0.472,50.00%,4.2,1.45,2.75,10663
Ted Lilly,Cubs (A),34,7,11.57,1.29,9,0,36.00%,4.00%,32.00%,0.125,0.57,0.2,75.00%,1.29,1.5,-0.22,833
Joe Blanton,Phillies (A),29,2,9,0,2,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.52,-1.52,4849
Anthony Aguilera,Rockies (A),23,1,9,0,1,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.52,-1.52,sa549611
Terance Marin,White Sox (A),20,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.52,-1.52,sa556821
Tyler Sturdevant,Indians (A),24,35.2,14.13,2.02,7,0.25,42.80%,6.10%,36.60%,0.139,0.7,0.246,85.40%,0.76,1.63,-0.87,sa502327
Jeremy Jeffress,Brewers (A),22,8,15.75,3.38,4.67,0,50.00%,10.70%,39.30%,0,0.38,0,100.00%,0,1.65,-1.65,9490
