Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Yohan Gonzalez,Cubs (AAA),20,0.1,27,0,1,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.41,2.41,sa456058
Chan Ho Park,Yankees (AAA),37,1,18,0,2,0,50.00%,0.00%,50.00%,0.25,1,0.5,100.00%,0,-0.74,0.74,1267
Hector Ambriz,Indians (AAA),26,8,16.88,1.13,15,0,42.90%,2.90%,40.00%,0.265,1.25,0.474,90.00%,1.13,-0.12,1.24,559
George Sherrill,Dodgers (AAA),33,1.2,16.2,0,3,0,42.90%,0.00%,42.90%,0.286,1.2,0.5,100.00%,0,-0.01,0.01,6291
Corey Martin,Cubs (AAA),23,1.2,16.2,0,3,0,37.50%,0.00%,37.50%,0.375,1.8,0.6,33.30%,10.8,-0.01,10.81,sa502342
Andrew Bailey,Athletics (AAA),26,0.2,13.5,0,1,0,20.00%,0.00%,20.00%,0.6,4.5,0.75,33.30%,27,0.59,26.41,1368
Jake Mcgee,Rays (AAA),23,17.1,14.02,1.56,9,0,42.20%,4.70%,37.50%,0.148,0.69,0.265,91.70%,0.52,0.66,-0.14,7550
Tyson Corley,White Sox (AAA),24,3,15,0,5,0,41.70%,0.00%,41.70%,0.182,0.67,0.333,66.70%,3,0.93,2.07,sa327765
Blaine Boyer,Diamondbacks (AAA),28,6,13.5,1.5,9,0,37.50%,4.20%,33.30%,0.217,1,0.357,83.30%,1.5,1.09,0.41,2237
Jared Wells,Astros (AAA),28,3.2,14.73,2.45,6,0,26.10%,4.40%,21.70%,0.5,3.27,0.688,25.00%,22.09,1.13,20.96,5538
Antonio Bastardo,Phillies (AAA),24,17.1,14.02,3.12,4.5,0,38.60%,8.60%,30.00%,0.188,1.04,0.324,77.80%,2.08,1.18,0.89,8844
Angel Chavez,Rays (AAA),28,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.26,-1.26,2224
Jonathan Van Every,Pirates (AAA),30,1,9,0,1,0,20.00%,0.00%,20.00%,0.4,2,0.5,50.00%,9,1.26,7.74,3409
Takashi Saito,Braves (AAA),40,1,9,0,1,0,33.30%,0.00%,33.30%,0.333,1,0.5,100.00%,0,1.26,-1.26,6021
Bill Bray,Reds (AAA),27,5.2,11.12,1.59,7,0,35.00%,5.00%,30.00%,0.105,0.53,0.167,100.00%,0,1.32,-1.32,8538
Kyle Gunderson,Marlins (AAA),25,2.2,10.13,0,3,0,27.30%,0.00%,27.30%,0.273,1.13,0.375,66.70%,3.38,1.34,2.04,sa447538
Doug Davis,Brewers (AAA),34,8,13.5,2.25,6,0,37.50%,6.30%,31.30%,0.167,0.88,0.278,85.70%,1.13,1.34,-0.21,1244
Max Scherzer,Tigers (AAA),25,15,10.2,1.2,8.5,0,32.70%,3.90%,28.90%,0.08,0.4,0.121,83.30%,0.6,1.39,-0.79,3137
Doug Slaten,Nationals (AAA),30,17,9,0.53,17,0,27.90%,1.60%,26.20%,0.2,0.76,0.279,100.00%,0,1.44,-1.44,3107
Eric O'Flaherty,Braves (AAA),25,4,11.25,2.25,5,0,35.70%,7.10%,28.60%,0.077,0.5,0.125,100.00%,0,1.51,-1.51,5746
Todd Coffey,Brewers (AAA),29,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.59,-1.59,2467
Esmerling Vasquez,Diamondbacks (AAA),26,1,9,0,1,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.59,-1.59,5280
Dustin Nippert,Rangers (AAA),29,3,9,0,3,0,33.30%,0.00%,33.30%,0.111,0.33,0.167,100.00%,0,1.59,-1.59,4426
Derrick Loop,Phillies (AAA),26,3,12,0,4,0,36.40%,0.00%,36.40%,0.1,0.33,0.167,100.00%,0,1.59,-1.59,sa328208
Elmer Dessens,Mets (AAA),39,17,9.53,1.59,6,0,25.00%,4.20%,20.80%,0.29,1.35,0.392,82.60%,2.12,1.67,0.45,317
Winston Abreu,Rays (AAA),33,55.1,13.34,3.42,3.9,0.16,37.10%,9.50%,27.60%,0.176,1.01,0.293,75.50%,2.28,1.72,0.55,582
Carlos Gutierrez,Twins (AAA),23,4,13.5,4.5,3,0,33.30%,11.10%,22.20%,0.313,1.75,0.5,85.70%,2.25,1.76,0.49,sa454388
Scott Atchison,Red Sox (AAA),34,13.1,11.48,3.38,3.4,0,28.80%,8.50%,20.30%,0.241,1.35,0.351,66.70%,4.05,1.83,2.22,2642
John Axford,Brewers (AAA),27,13.1,12.83,3.38,3.8,0,32.80%,8.60%,24.10%,0.264,1.43,0.412,63.20%,2.03,1.86,0.16,9059
Jonny Venters,Braves (AAA),25,6.2,8.1,1.35,6,0,24.00%,4.00%,20.00%,0.167,0.75,0.222,80.00%,1.35,1.91,-0.56,7175
Ryan Aldridge,Angels (AAA),26,3,12,0,4,0,25.00%,0.00%,25.00%,0.467,2.33,0.636,75.00%,6,1.92,4.08,sa253722
Vinnie Pestano,Indians (AAA),25,46.1,11.46,2.72,4.21,0.19,31.40%,7.50%,23.90%,0.202,1.06,0.301,82.30%,1.55,1.96,-0.41,4782
Alexi Ogando,Rangers (AAA),26,15,12.6,3.6,3.5,0,33.30%,9.50%,23.80%,0.175,1.07,0.278,56.30%,3,1.99,1.01,10261
Stephen Strasburg,Nationals (AAA),21,33.1,10.26,1.89,5.43,0.27,30.70%,5.70%,25.00%,0.154,0.75,0.218,84.80%,1.08,2,-0.92,10131
