Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Wade Davis,Royals (A+),27,2,22.5,0,5,0,71.40%,0.00%,71.40%,0.143,0.5,0.5,100.00%,0,-1.65,1.65,7441
Darren Oliver,Blue Jays (A+),42,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.76,0.76,206
Luke Bard,Twins (A+),22,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.76,0.76,sa501941
Michael Ojala,Marlins (A+),25,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.76,0.76,sa503043
Francisco Liriano,Pirates (A+),29,3,18,0,6,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.76,0.76,3201
Louis Coleman,Royals (A+),27,2,18,0,4,0,57.10%,0.00%,57.10%,0,0,0,100.00%,0,-0.65,0.65,9720
Cody Ege,Rangers (A+),22,1.2,16.2,0,3,0,60.00%,0.00%,60.00%,0.2,0.6,0.5,100.00%,0,-0.25,0.25,sa738148
Josh Johnson,Blue Jays (A+),29,3,15,0,5,0,41.70%,0.00%,41.70%,0.25,1,0.429,66.70%,3,-0.09,3.09,4567
Matt Daley,Yankees (A+),31,5.1,16.88,0,10,0,45.50%,0.00%,45.50%,0.238,0.94,0.455,100.00%,0,0.05,-0.05,7952
Roberto Espinoza,Pirates (A+),21,1.1,13.5,0,2,0,50.00%,0.00%,50.00%,0,0,0,100.00%,0,0.24,-0.24,sa504950
Pedro Viola,Athletics (A+),30,6,18,1.5,12,0,54.60%,4.60%,50.00%,0.143,0.67,0.333,75.00%,1.5,0.27,1.23,5971
J.A. Happ,Blue Jays (A+),30,5,12.6,0,7,0,41.20%,0.00%,41.20%,0.177,0.6,0.3,100.00%,0,0.44,-0.44,7410
Jeff Karstens,Pirates (A+),30,3,12,0,4,0,30.80%,0.00%,30.80%,0.308,1.33,0.444,75.00%,3,0.57,2.43,5879
Francisco Rodriguez,Brewers (A+),31,2,18,4.5,4,0,57.10%,14.30%,42.90%,0,0.5,0,100.00%,0,0.74,-0.74,1642
Eric Wooten,Yankees (A+),23,7.1,14.73,2.45,6,0,40.00%,6.70%,33.30%,0.214,1.09,0.375,75.00%,2.45,0.79,1.67,sa599232
Matthew Bischoff,Orioles (A+),26,15,13.2,0.6,22,0,37.90%,1.70%,36.20%,0.214,0.87,0.353,64.30%,1.2,0.82,0.38,sa549461
Dustin Mcgowan,Blue Jays (A+),31,3,15,3,5,0,45.50%,9.10%,36.40%,0.1,0.67,0.2,100.00%,0,0.91,-0.91,8600
Derek Law,Giants (A+),22,25.2,15.78,0.35,45,0.35,45.90%,1.00%,44.90%,0.208,0.82,0.38,72.80%,2.1,1.01,1.1,sa502368
Brett Hunter,Athletics (A+),26,4,15.75,2.25,7,0,43.80%,6.30%,37.50%,0.2,1,0.375,75.00%,2.25,1.02,1.23,sa454784
Brent Leach,Brewers (A+),30,5,12.6,1.8,7,0,43.80%,6.30%,37.50%,0.067,0.4,0.125,100.00%,0,1.04,-1.04,4576
Tommy Hanson,Angels (A+),26,3.1,16.2,2.7,6,0,42.90%,7.10%,35.70%,0.231,1.2,0.429,50.00%,5.4,1.07,4.33,9129
Armando Rivero,Cubs (A+),25,3.1,13.5,0,5,0,31.30%,0.00%,31.30%,0.2,0.9,0.3,25.00%,2.7,1.14,1.56,sa739701
Ross Detwiler,Nationals (A+),27,3.2,9.82,0,4,0,22.20%,0.00%,22.20%,0.389,1.91,0.5,85.70%,2.45,1.17,1.29,2859
David Price,Rays (A+),27,7.1,14.73,3.68,4,0,40.00%,10.00%,30.00%,0.148,0.95,0.267,71.40%,1.23,1.2,0.03,3184
Scott Atchison,Mets (A+),37,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.24,-1.24,2642
Joe Savery,Phillies (A+),27,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.24,-1.24,2835
Jenrry Mejia,Mets (A+),23,8,15.75,4.5,3.5,0,37.80%,10.80%,27.00%,0.303,1.75,0.526,71.40%,4.5,1.24,3.26,8476
Hiram Burgos,Brewers (A+),25,4,9,0,4,0,25.00%,0.00%,25.00%,0.313,1.25,0.417,60.00%,4.5,1.24,3.26,9412
Ryan Mcchesney,Rays (A+),23,1,9,0,1,0,20.00%,0.00%,20.00%,0.4,2,0.5,100.00%,0,1.24,-1.24,sa659410
Rich Mascheri,Yankees (A+),23,2,9,0,2,0,28.60%,0.00%,28.60%,0,0,0,100.00%,0,1.24,-1.24,sa697617
Dan Fiorito,Yankees (A+),22,2,9,0,2,0,33.30%,0.00%,33.30%,0.167,0.5,0.25,100.00%,0,1.24,-1.24,sa732908
Thomas Harlan,Pirates (A+),23,6,13.5,3,4.5,0,30.00%,6.70%,23.30%,0.321,1.83,0.474,90.90%,0,1.24,-1.24,sa658235
Tyler Jones,Twins (A+),23,15,13.2,2.4,5.5,0,33.30%,6.10%,27.30%,0.295,1.47,0.462,69.60%,4.2,1.31,2.89,sa549495
Ben Tomchick,Royals (A+),23,1,9,0,1,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.35,-1.35,sa686001
Mark Lowe,Angels (A+),30,5,10.8,0,6,0,35.30%,0.00%,35.30%,0.059,0.2,0.091,0.00%,1.8,1.37,0.43,7416
Fred Lewis,Yankees (A+),26,14,12.21,2.57,4.75,0,30.20%,6.40%,23.80%,0.237,1.29,0.35,61.10%,3.86,1.38,2.47,sa549581
Zach Thornton,Pirates (A+),25,14,9,0.64,14,0,24.60%,1.80%,22.80%,0.214,0.93,0.286,61.50%,1.93,1.46,0.47,sa549662
