Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Shane Peterson,Athletics (AAA),24,157,14.60%,19.70%,0.74,0.389,0.484,0.618,1.102,0.229,5.5,0.473,-0.6,39,18.4,0.478,188,7423
Chris Parmelee,Twins (AAA),24,282,18.10%,18.40%,0.98,0.338,0.457,0.645,1.102,0.307,2.8,0.373,-0.3,65,32.6,0.474,202,2554
Adam Lind,Blue Jays (AAA),28,143,10.50%,18.20%,0.58,0.392,0.448,0.664,1.112,0.272,2.9,0.436,0.2,35,15.9,0.471,184,8027
Russell Branyan,Yankees (AAA),36,137,19.00%,22.60%,0.84,0.309,0.438,0.655,1.093,0.345,0.5,0.333,-0.1,31,15.4,0.47,199,370
Brooks Conrad,- - -,32,187,15.50%,26.20%,0.59,0.331,0.433,0.675,1.108,0.344,3,0.4,-1.7,44,21,0.466,188,3664
Donnie Murphy,Marlins (AAA),29,125,11.20%,22.40%,0.5,0.302,0.4,0.726,1.126,0.425,2.9,0.288,0.2,30,13.2,0.465,180,4704
Anthony Rizzo,Cubs (AAA),22,284,8.10%,18.30%,0.44,0.342,0.405,0.696,1.101,0.354,3.9,0.357,-0.5,67,29.2,0.462,178,3473
Will Middlebrooks,Red Sox (AAA),23,100,7.00%,18.00%,0.39,0.333,0.38,0.677,1.057,0.344,5.9,0.333,0.2,22,10.6,0.461,193,7002
Brad Eldred,Tigers (AAA),31,265,9.10%,27.50%,0.33,0.305,0.374,0.695,1.069,0.39,5.6,0.34,0.9,58,27.3,0.458,190,4328
Brock Holt,Pirates (AAA),24,106,8.50%,8.50%,1,0.432,0.476,0.537,1.013,0.105,3.7,0.465,0.1,23,10.5,0.453,187,9345
Tyler Moore,Nationals (AAA),25,115,10.40%,22.60%,0.46,0.307,0.374,0.653,1.027,0.347,4.3,0.324,0.2,24,10.4,0.442,180,7244
Leonys Martin,Rangers (AAA),24,260,9.20%,15.00%,0.62,0.359,0.422,0.61,1.033,0.251,5.6,0.392,-2.2,56,21.9,0.44,164,11846
Adam Eaton,Diamondbacks (AAA),23,562,9.40%,12.10%,0.78,0.381,0.456,0.539,0.995,0.158,7.5,0.432,2.9,121,47.1,0.44,163,11205
Travis Snider,Blue Jays (AAA),24,246,13.80%,17.10%,0.81,0.335,0.423,0.598,1.021,0.263,2.9,0.363,-1.5,52,19.7,0.435,161,2830
Alex Castellanos,Dodgers (AAA),25,407,11.30%,20.90%,0.54,0.328,0.42,0.59,1.01,0.262,7.2,0.39,-0.5,86,31.7,0.433,159,7223
Steve Pearce,Yankees (AAA),29,227,12.80%,14.50%,0.88,0.318,0.419,0.568,0.986,0.25,3.4,0.336,0.1,45,18.9,0.433,173,9957
Randy Ruiz,Diamondbacks (AAA),34,205,9.30%,22.90%,0.4,0.331,0.395,0.624,1.019,0.293,4.8,0.374,0.1,43,15.5,0.43,157,2761
Josh Donaldson,Athletics (AAA),26,234,9.80%,14.50%,0.68,0.335,0.402,0.598,1,0.263,5.2,0.35,0.1,48,17.2,0.428,155,5038
