Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Matthew Curry,Pirates (A),22,195,17.90%,14.90%,1.21,0.361,0.477,0.671,1.148,0.31,6.8,0.392,0.3,50,25.8,0.495,206,sa549213
Tyler Cannon,Indians (A),23,114,14.90%,17.50%,0.85,0.366,0.456,0.613,1.069,0.247,6.5,0.425,0.3,26,12.8,0.469,196,sa503364
Bryce Brentz,Red Sox (A),22,186,7.50%,18.80%,0.4,0.359,0.414,0.647,1.061,0.288,6.4,0.403,-0.5,43,20.1,0.465,186,10607
Oscar Taveras,Cardinals (A),19,347,9.20%,15.00%,0.62,0.386,0.444,0.584,1.028,0.198,4.3,0.44,-1.6,77,36.7,0.46,191,11173
Miles Head,Red Sox (A),20,298,10.10%,17.80%,0.57,0.338,0.409,0.612,1.022,0.274,4.8,0.376,-0.2,65,27.9,0.447,175,sa502921
Jairo Perez,Twins (A),23,316,10.10%,15.20%,0.67,0.337,0.413,0.576,0.989,0.239,5.2,0.363,0,66,29.3,0.443,179,sa504599
Kipp Schutz,Orioles (A),23,170,7.60%,17.10%,0.45,0.381,0.429,0.568,0.997,0.187,5.7,0.447,-0.1,37,15.3,0.442,172,sa328269
Keith Castillo,Rays (A),23,110,9.10%,22.70%,0.4,0.33,0.409,0.567,0.976,0.237,2.4,0.403,-0.5,23,10,0.441,178,sa546820
Bryce Massanari,Rockies (A),25,303,11.60%,21.10%,0.55,0.328,0.419,0.564,0.983,0.236,1.3,0.388,-0.1,64,25.7,0.436,168,sa502682
Evan Gattis,Braves (A),24,377,6.60%,14.10%,0.47,0.322,0.386,0.601,0.986,0.278,3.3,0.328,-1.5,78,30.7,0.432,165,11003
Jason Smit,Indians (A),21,109,13.80%,22.00%,0.63,0.344,0.45,0.489,0.938,0.144,4.3,0.446,-0.7,22,9.2,0.432,172,sa329393
Connor Powers,Padres (A),23,323,13.00%,19.80%,0.66,0.338,0.422,0.538,0.961,0.2,2.2,0.411,-0.2,65,26.8,0.43,171,sa501631
John Whitaker,Athletics (A),22,448,9.80%,23.90%,0.41,0.326,0.402,0.556,0.957,0.23,5.6,0.41,0.9,89,37.1,0.43,171,sa549594
Bryce Harper,Nationals (A),18,305,14.40%,20.00%,0.72,0.318,0.423,0.554,0.977,0.236,5.6,0.372,1.5,62,24.3,0.429,164,11579
Brian Fletcher,Royals (A),22,376,6.40%,21.30%,0.3,0.328,0.386,0.56,0.946,0.232,4.4,0.394,-1,74,29.6,0.425,167,sa526538
Corey Dickerson,Rockies (A),22,435,9.00%,22.80%,0.39,0.282,0.356,0.629,0.986,0.347,6.4,0.296,-0.9,87,32.7,0.424,160,10762
Nate Roberts,Twins (A),22,283,9.90%,17.00%,0.58,0.302,0.443,0.446,0.889,0.144,7.7,0.368,0,54,20.8,0.418,163,sa548432
Tommy La Stella,Braves (A),22,270,9.60%,10.40%,0.93,0.328,0.401,0.543,0.944,0.216,5.5,0.337,-0.6,53,18.9,0.418,156,12371
