Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Christopher Duffy,Phillies (A),24,253,12.30%,21.70%,0.56,0.384,0.466,0.62,1.087,0.236,3.1,0.474,0,62,30.5,0.484,196,sa327090
Matt Skole,Nationals (A),22,448,21.00%,25.90%,0.81,0.286,0.438,0.574,1.013,0.289,4.1,0.345,1.4,97,41.5,0.449,174,sa526563
Kennys Vargas,Twins (A),21,186,15.10%,22.00%,0.68,0.318,0.419,0.61,1.03,0.292,1.8,0.362,-0.1,40,17.9,0.448,180,12101
Brian Goodwin,Nationals (A),21,266,16.20%,14.70%,1.1,0.324,0.438,0.542,0.979,0.218,6,0.357,0.9,56,23.1,0.442,170,sa501964
Tyler Austin,Yankees (A),20,309,12.00%,22.00%,0.54,0.32,0.405,0.598,1.002,0.278,8.8,0.38,2.2,65,26.8,0.442,170,sa549178
Javier Baez,Cubs (A),19,235,3.80%,20.40%,0.19,0.333,0.383,0.596,0.979,0.263,9,0.378,2.6,48,19.8,0.432,170,12979
Travis Taijeron,Mets (A),23,277,13.40%,25.30%,0.53,0.291,0.401,0.548,0.949,0.257,6.1,0.364,0,55,20.1,0.424,158,sa598284
Colin Walsh,Cardinals (A),22,425,14.10%,15.30%,0.92,0.314,0.419,0.53,0.949,0.215,4.9,0.343,-0.7,84,32.9,0.423,164,sa526841
Harold Riggins,Rockies (A),22,379,9.80%,27.40%,0.36,0.302,0.388,0.546,0.934,0.244,3.9,0.385,-1,73,25.8,0.418,155,sa546789
Tyler Rahmatulla,Cardinals (A),22,210,8.10%,17.10%,0.47,0.322,0.389,0.546,0.936,0.224,5.2,0.364,-0.5,40,15.1,0.417,160,sa526887
Steven Liddle,Twins (A),24,132,18.20%,18.20%,1,0.283,0.417,0.5,0.917,0.217,4.4,0.338,-0.1,25,9.4,0.415,159,sa501762
William Swanner,Rockies (A),20,372,10.20%,27.20%,0.38,0.302,0.385,0.529,0.915,0.228,3.8,0.392,-0.7,70,23.5,0.412,151,sa549202
Gregory Polanco,Pirates (A),20,485,9.10%,13.20%,0.69,0.325,0.388,0.522,0.91,0.197,7.6,0.352,0.8,90,29.8,0.41,149,12907
Alejandro Selen,Rangers (A),23,210,5.20%,24.30%,0.22,0.313,0.352,0.574,0.927,0.262,3.9,0.37,-0.2,39,12.7,0.409,149,sa456470
Curt Casali,Tigers (A),23,206,13.10%,8.70%,1.5,0.288,0.402,0.5,0.902,0.212,2.6,0.283,-0.1,38,13.5,0.408,154,12510
Brenden Webb,Orioles (A),22,409,21.30%,26.40%,0.81,0.251,0.422,0.457,0.878,0.206,6.6,0.344,1.7,75,24.4,0.408,148,sa502672
