Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
John Hester,Diamondbacks (AAA),26,159,10.10%,16.40%,0.62,0.37,0.44,0.667,1.107,0.297,6,0.411,-1.5,38,16.8,0.467,179,877
Nick Stavinoha,Cardinals (AAA),28,107,4.70%,15.00%,0.31,0.39,0.411,0.68,1.091,0.29,3.2,0.413,0,25,10.7,0.46,174,3909
Kila Ka'Aihue,Royals (AAA),26,416,21.20%,16.60%,1.28,0.322,0.465,0.601,1.066,0.279,3.1,0.343,0.4,96,40.3,0.457,172,4707
John Lindsey,Dodgers (AAA),33,447,4.30%,17.40%,0.24,0.353,0.4,0.657,1.057,0.304,3.5,0.385,0,100,39.8,0.448,166,2279
Chad Tracy,- - -,30,169,5.30%,8.90%,0.6,0.365,0.396,0.654,1.051,0.289,2.6,0.351,-0.5,37,15.6,0.447,172,1888
Dan Johnson,Rays (AAA),30,426,17.60%,16.70%,1.06,0.303,0.43,0.624,1.053,0.321,1,0.298,-0.5,92,41,0.447,181,2167
Carlos Santana,Indians (AAA),24,246,18.30%,15.90%,1.15,0.316,0.447,0.597,1.044,0.281,5.2,0.336,0.9,53,23.6,0.446,181,2396
Alex Gordon,Royals (AAA),26,321,15.90%,22.40%,0.71,0.315,0.442,0.577,1.019,0.262,6.2,0.391,0.4,71,27.6,0.444,164,5209
Luis Valbuena,Indians (AAA),24,119,16.00%,17.60%,0.9,0.313,0.427,0.604,1.032,0.292,6.3,0.343,0.3,25,11.1,0.443,178,4969
Dexter Fowler,Rockies (AAA),24,124,13.70%,21.80%,0.63,0.34,0.435,0.566,1.002,0.226,6.3,0.442,0.2,26,9.6,0.434,158,4062
Buster Posey,Giants (AAA),23,208,13.50%,14.40%,0.93,0.349,0.442,0.552,0.995,0.203,4,0.386,-0.3,44,15.8,0.433,156,9166
Chris Carter,Mets (AAA),27,123,6.50%,6.50%,1,0.336,0.39,0.611,1.001,0.274,3.5,0.323,-0.1,25,10.3,0.431,170,7707
Jason Dubois,Cubs (AAA),31,257,10.90%,24.10%,0.45,0.3,0.385,0.632,1.018,0.332,2.8,0.329,0,53,18.7,0.429,154,1941
Lucas Duda,Mets (AAA),24,298,10.40%,19.10%,0.54,0.314,0.389,0.61,0.999,0.295,2.8,0.346,-0.3,59,23.6,0.426,167,2502
