Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Bruce Kern,Rockies (A+),24,1.2,21.6,0,4,0,66.70%,0.00%,66.70%,0.167,0.6,0.5,100.00%,0,-0.99,0.99,sa526391
Cody Allen,Indians (A+),23,4,18,0,8,0,61.50%,0.00%,61.50%,0.077,0.25,0.2,100.00%,0,-0.61,0.61,12183
Jason Frasor,Blue Jays (A+),34,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.61,0.61,1906
Keivi Rojas,Phillies (A+),19,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.61,0.61,sa596319
Chuck Ghysels,Blue Jays (A+),22,3,18,0,6,0,54.60%,0.00%,54.60%,0.182,0.67,0.4,100.00%,0,-0.61,0.61,sa550007
Drew Naylor,Phillies (A+),26,3.2,17.18,0,7,0,43.80%,0.00%,43.80%,0.313,1.36,0.556,60.00%,4.91,-0.42,5.33,sa293986
Michael Wacha,Cardinals (A+),21,8,18,1.13,16,0,61.50%,3.90%,57.70%,0.04,0.25,0.111,100.00%,0,-0.23,0.23,14078
Gabriel Arias,Phillies (A+),22,5,16.2,0,9,0,45.00%,0.00%,45.00%,0.3,1.2,0.546,66.70%,3.6,-0.21,3.81,sa507276
Onelki Garcia,Dodgers (A+),22,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.19,0.19,13674
Kenny Long,Astros (A+),23,8,20.25,2.25,9,0,64.30%,7.10%,57.10%,0.115,0.63,0.375,80.00%,1.13,0.06,1.06,sa578059
Felix Santos,Phillies (A+),21,0.2,13.5,0,1,0,50.00%,0.00%,50.00%,0,0,0,100.00%,0,0.39,-0.39,sa598160
Edison Mejia,Yankees (A+),21,1.1,13.5,0,2,0,33.30%,0.00%,33.30%,0.333,1.5,0.5,50.00%,6.75,0.39,6.36,sa505543
Luis Marte,Tigers (A+),25,2,13.5,0,3,0,42.90%,0.00%,42.90%,0.143,0.5,0.25,100.00%,0,0.39,-0.39,8651
Andrew Aizenstadt,Phillies (A+),22,1,27,9,3,0,60.00%,20.00%,40.00%,0.25,2,1,50.00%,0,0.39,-0.39,sa525879
Nick Goody,Yankees (A+),20,4,15.75,2.25,7,0,41.20%,5.90%,35.30%,0.25,1.25,0.444,80.00%,2.25,0.64,1.61,sa599241
John Cornely,Braves (A+),23,7.1,15.95,2.45,6.5,0,54.20%,8.30%,45.80%,0.046,0.41,0.111,100.00%,0,0.66,-0.66,sa599898
Roy Halladay,Phillies (A+),35,3,12,0,4,0,30.80%,0.00%,30.80%,0.231,1,0.333,66.70%,0,0.73,-0.73,1303
Rich Hill,Red Sox (A+),32,4,18,2.25,8,0,53.30%,6.70%,46.70%,0.077,0.5,0.2,100.00%,0,0.89,-0.89,4806
Brett Cammons,Braves (A+),26,8,11.25,0,10,0,32.30%,0.00%,32.30%,0.226,0.88,0.333,71.40%,2.25,0.89,1.36,sa389800
Sean Doolittle,Athletics (A+),25,10.1,18.29,1.74,10.5,0,53.90%,5.10%,48.70%,0.143,0.68,0.357,77.80%,0.87,0.91,-0.04,1581
Joel De La Cruz,Yankees (A+),23,1.2,10.8,0,2,0,33.30%,0.00%,33.30%,0.167,0.6,0.25,100.00%,0,0.99,-0.99,sa329081
Phil Irwin,Pirates (A+),25,5,10.8,0,6,0,35.30%,0.00%,35.30%,0.118,0.4,0.182,50.00%,1.8,0.99,0.81,9489
Joshua Mcelwee,Rangers (A+),23,4.1,16.62,2.08,8,0,42.10%,5.30%,36.80%,0.294,1.38,0.556,100.00%,0,1.08,-1.08,sa658524
Yimi Garcia,Dodgers (A+),21,10.2,18.56,4.22,4.4,0,47.80%,10.90%,37.00%,0.171,1.13,0.368,58.30%,2.53,1.1,1.44,12095
Brad Lidge,Nationals (A+),35,1.1,20.25,6.75,3,0,42.90%,14.30%,28.60%,0.333,2.25,0.667,66.70%,6.75,1.14,5.61,563
Jason Hammel,Orioles (A+),29,5,12.6,1.8,7,0,35.00%,5.00%,30.00%,0.158,0.8,0.25,100.00%,0,1.19,-1.19,4538
Michael Olmsted,Red Sox (A+),25,39.1,13.96,1.83,7.63,0.23,39.40%,5.20%,34.20%,0.172,0.84,0.289,65.50%,2.29,1.38,0.91,sa390636
Salvador Sanchez,White Sox (A+),26,4,9,0,4,0,30.80%,0.00%,30.80%,0.154,0.5,0.222,100.00%,0,1.39,-1.39,sa291439
Jaime Esquivel,Orioles (A+),20,2,9,0,2,0,25.00%,0.00%,25.00%,0.125,0.5,0.167,100.00%,0,1.39,-1.39,sa549778
Pedro Feliciano,Yankees (A+),35,1,9,0,1,0,14.30%,0.00%,14.30%,0.571,4,0.667,50.00%,18,1.39,16.61,1601
Willie Collazo,Blue Jays (A+),32,4,9,0,4,0,25.00%,0.00%,25.00%,0.25,1,0.333,75.00%,2.25,1.39,0.86,3503
Francisco Rondon,Yankees (A+),24,5,14.4,3.6,4,0,44.40%,11.10%,33.30%,0.125,0.8,0.25,75.00%,0,1.39,-1.39,sa456143
Hector Rabago,Yankees (A+),23,1,9,0,1,0,20.00%,0.00%,20.00%,0.2,1,0.25,0.00%,0,1.39,-1.39,sa502071
Jeff Ibarra,Padres (A+),24,10.1,10.45,0,12,0,28.60%,0.00%,28.60%,0.262,1.06,0.367,72.70%,1.74,1.49,0.25,sa502106
A.J. Achter,Twins (A+),23,34.1,9.7,0.79,12.33,0,28.70%,2.30%,26.40%,0.167,0.7,0.236,66.70%,0.79,1.5,-0.71,11387
Cameron Selik,Nationals (A+),24,22,13.91,1.23,11.33,0.41,36.60%,3.20%,33.30%,0.227,1.05,0.359,59.30%,3.68,1.57,2.11,sa549517
Philip Negus,White Sox (A+),24,6.2,12.15,2.7,4.5,0,27.30%,6.10%,21.20%,0.323,1.8,0.455,58.30%,5.4,1.59,3.81,sa502063
Lisalverto Bonilla,Phillies (A+),22,13.1,12.15,2.7,4.5,0,34.00%,7.60%,26.40%,0.184,0.98,0.29,69.20%,1.35,1.59,-0.24,11266
Heath Hembree,Giants (A+),23,5,12.6,1.8,7,0,41.20%,5.90%,35.30%,0,0.2,0,100.00%,0,1.61,-1.61,11632
Kyle Waldrop,Twins (A+),26,4,11.25,2.25,5,0,33.30%,6.70%,26.70%,0.143,0.75,0.222,100.00%,0,1.64,-1.64,7513
Matt Wright,Blue Jays (A+),25,6.1,9.95,1.42,7,0,26.90%,3.90%,23.10%,0.28,1.26,0.389,100.00%,0,1.66,-1.66,sa454889
Logan Bawcom,Dodgers (A+),23,14,15.43,3.86,4,0,46.20%,11.50%,34.60%,0.087,0.71,0.182,90.00%,0.64,1.67,-1.03,sa549287
Rob Wort,Nationals (A+),23,56.2,15.09,3.02,5,0.32,41.30%,8.30%,33.00%,0.203,1.08,0.364,78.80%,2.38,1.71,0.67,sa502647
Andre Rienzo,White Sox (A+),23,25,11.16,2.52,4.43,0,32.30%,7.30%,25.00%,0.191,0.96,0.293,87.50%,1.08,1.75,-0.67,3507
Anderson Gerdel,Cardinals (A+),20,3.2,7.36,0,3,0,20.00%,0.00%,20.00%,0.267,1.09,0.333,25.00%,4.91,1.76,3.15,sa546459
Caleb Thielbar,Twins (A+),25,12.1,11.68,1.46,8,0,35.60%,4.40%,31.10%,0.098,0.49,0.16,87.50%,0,1.77,-1.77,10078
Mark Montgomery,Yankees (A+),21,40.1,13.61,3.57,3.81,0,38.10%,10.00%,28.10%,0.163,0.97,0.288,85.70%,1.34,1.78,-0.44,sa598328
Aaron Barrett,Nationals (A+),24,17,11.12,1.59,7,0,32.80%,4.70%,28.10%,0.153,0.71,0.237,85.70%,1.06,1.8,-0.74,11243
Matt Guerrier,Dodgers (A+),33,5,9,0,5,0,27.80%,0.00%,27.80%,0.167,0.6,0.231,33.30%,3.6,1.81,1.79,2061
Josh Outman,Rockies (A+),27,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.81,-1.81,4004
Joe Thatcher,Padres (A+),30,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.81,-1.81,4620
Blake Hawksworth,Dodgers (A+),29,2,9,0,2,0,25.00%,0.00%,25.00%,0.125,0.5,0.167,0.00%,4.5,1.81,2.69,8963
Stephen Hunt,Reds (A+),23,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.81,-1.81,sa392084
Carlos Ramirez,Mariners (A+),23,1,9,0,1,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.81,-1.81,sa504754
Leroy Hunt,White Sox (A+),24,15.1,12.33,1.76,7,0,33.30%,4.80%,28.60%,0.228,1.04,0.361,79.00%,2.35,1.82,0.53,sa390181
Dane Stone,Marlins (A+),21,13,14.54,2.08,7,0.69,38.90%,5.60%,33.30%,0.235,1.15,0.379,73.50%,3.46,1.86,1.61,sa658612
James Hudelson,White Sox (A+),22,2,13.5,4.5,3,0,37.50%,12.50%,25.00%,0.143,1,0.25,100.00%,0,1.89,-1.89,sa658659
Brandon Kintzler,Brewers (A+),27,6,13.5,4.5,3,0,33.30%,11.10%,22.20%,0.292,1.67,0.467,80.00%,3,1.89,1.11,9939
Jordan Whatcott,Phillies (A+),27,12,9,1.5,6,0,30.80%,5.10%,25.60%,0.081,0.42,0.12,100.00%,0,1.89,-1.89,sa502742
Ryan Duke,Phillies (A+),23,25,13.32,2.88,4.63,0.36,37.80%,8.20%,29.60%,0.244,1.2,0.404,69.90%,3.24,1.91,1.33,sa578017
Chris Rearick,Rays (A+),24,45.1,11.71,2.98,3.93,0,31.10%,7.90%,23.20%,0.202,1.1,0.307,76.90%,1.79,1.92,-0.13,sa550150
Andy Pettitte,Yankees (A+),40,7,6.43,0,5,0,20.80%,0.00%,20.80%,0.167,0.57,0.211,75.00%,1.29,1.96,-0.68,840
A.J. Burnett,Pirates (A+),35,6.1,12.79,2.84,4.5,0,30.00%,6.70%,23.30%,0.259,1.42,0.389,10.00%,8.53,1.97,6.55,512
Matt Packer,Indians (A+),24,8,7.88,1.13,7,0,26.90%,3.90%,23.10%,0.12,0.5,0.167,100.00%,0,2.01,-2.01,sa502757
Frank Gailey,- - -,26,29.1,9.82,2.15,4.57,0,26.50%,5.80%,20.70%,0.23,1.13,0.321,73.50%,2.45,2.03,0.42,sa389206
Danny Miranda,Cardinals (A+),21,12.2,9.24,2.13,4.33,0,23.20%,5.40%,17.90%,0.302,1.5,0.4,68.40%,4.26,2.05,2.21,sa598114
Edward Mujica,Marlins (A+),28,3,6,0,2,0,22.20%,0.00%,22.20%,0,0,0,100.00%,0,2.06,-2.06,3970
David Phelps,Yankees (A+),25,5.1,8.44,1.69,5,0,23.80%,4.80%,19.10%,0.35,1.5,0.467,100.00%,0,2.08,-2.08,6316
Ken Giles,Phillies (A+),21,14.2,15.34,3.68,4.17,0.61,40.30%,9.70%,30.70%,0.179,1.09,0.3,75.30%,3.07,2.1,0.97,12910
Robinson Yambati,Royals (A+),21,25,11.16,3.6,3.1,0,29.50%,9.50%,20.00%,0.232,1.28,0.344,78.10%,2.16,2.11,0.05,sa504430
Erik Johnson,White Sox (A+),22,49.1,8.76,1.82,4.8,0,24.00%,5.00%,19.00%,0.228,1.07,0.305,64.80%,2.74,2.11,0.63,12520
Tyler Knigge,Phillies (A+),23,44.2,9.07,2.22,4.09,0,27.00%,6.60%,20.40%,0.167,0.83,0.234,91.90%,0.6,2.12,-1.51,sa549105
Ryne Harper,Braves (A+),23,44.1,9.95,2.64,3.77,0,26.90%,7.10%,19.80%,0.238,1.2,0.336,83.30%,1.83,2.12,-0.29,sa599485
Tyler Clark,Tigers (A+),23,42.2,12.45,3.59,3.47,0.21,36.90%,10.60%,26.30%,0.133,0.84,0.217,92.50%,0.63,2.13,-1.5,sa549584
Lendy Castillo,Cubs (A+),23,4,9,2.25,4,0,25.00%,6.30%,18.80%,0.2,1,0.273,75.00%,0,2.14,-2.14,11562
Pedro Beato,Mets (A+),25,4,9,2.25,4,0,28.60%,7.10%,21.40%,0.154,0.75,0.222,100.00%,0,2.14,-2.14,1330
Dakota Robinson,Angels (A+),24,3,12,3,4,0,40.00%,10.00%,30.00%,0.111,0.67,0.2,100.00%,0,2.15,-2.15,sa549746
Tony Zych,Cubs (A+),21,36.2,8.84,1.72,5.14,0,24.80%,4.80%,20.00%,0.235,1.06,0.32,61.00%,3.19,2.17,1.02,sa577744
Daniel Cabrera,Pirates (A+),31,6,7.5,0,5,0,20.00%,0.00%,20.00%,0.292,1.17,0.368,87.50%,1.5,2.23,-0.73,1931
Hiram Burgos,Brewers (A+),24,41.1,8.93,1.31,6.83,0.22,27.30%,4.00%,23.30%,0.147,0.65,0.198,86.50%,0.87,2.23,-1.36,9412
Grant Dayton,Marlins (A+),24,60,10.65,2.7,3.94,0.15,29.00%,7.40%,21.60%,0.213,1.1,0.307,73.60%,2.1,2.24,-0.14,sa549077
Mike Solbach,Rockies (A+),26,7.2,10.57,2.35,4.5,0,31.00%,6.90%,24.10%,0.148,0.78,0.222,100.00%,0,2.25,-2.25,sa392104
Adam Jorgenson,Rockies (A+),26,29,12.72,2.17,5.86,0.31,34.20%,5.80%,28.30%,0.205,1.03,0.314,77.70%,1.86,2.26,-0.4,sa454982
Colton Murray,Phillies (A+),22,22.2,11.12,1.99,5.6,0.4,31.80%,5.70%,26.10%,0.183,0.88,0.264,51.00%,2.78,2.29,0.49,sa578045
Chadwick Bell,Rangers (A+),23,11.1,9.53,3.18,3,0,27.90%,9.30%,18.60%,0.18,0.97,0.259,81.80%,1.59,2.33,-0.74,sa392168
Jose Fernandez,Marlins (A+),19,55,9.65,2.78,3.47,0,27.10%,7.80%,19.30%,0.192,1,0.273,79.30%,1.96,2.34,-0.38,11530
Eddie Gamboa,Orioles (A+),27,8.2,6.23,0,6,0,21.40%,0.00%,21.40%,0.074,0.23,0.095,100.00%,0,2.35,-2.35,sa455163
Cody Buckel,Rangers (A+),20,75.2,10.82,2.97,3.64,0.24,31.00%,8.50%,22.50%,0.183,0.98,0.269,87.30%,1.31,2.35,-1.05,sa548270
Kyle Bellamy,White Sox (A+),24,27.1,9.55,2.63,3.63,0,26.40%,7.30%,19.10%,0.18,0.95,0.254,67.90%,1.65,2.36,-0.71,sa501479
Patrick Cooper,Tigers (A+),22,10.2,5.91,0.84,7,0,17.10%,2.40%,14.60%,0.35,1.41,0.424,80.00%,2.53,2.36,0.17,sa503035
Jon Edwards,Rangers (A+),24,5,12.6,5.4,2.33,0,33.30%,14.30%,19.10%,0.222,1.4,0.364,71.40%,3.6,2.39,1.21,1483
Maxwell Peterson,White Sox (A+),26,3,9,0,3,0,21.40%,0.00%,21.40%,0.308,1.33,0.4,40.00%,9,2.39,6.61,sa502022
Ben Rowen,Rangers (A+),23,57.1,8.16,0.47,17.33,0.31,24.40%,1.40%,23.00%,0.199,0.77,0.257,84.10%,1.57,2.39,-0.82,10983
Daniel Mccutchen,Pirates (A+),29,2,4.5,0,1,0,14.30%,0.00%,14.30%,0.143,0.5,0.167,100.00%,0,2.39,-2.39,263
Kyle Farnsworth,Rays (A+),36,4,4.5,0,2,0,14.30%,0.00%,14.30%,0.214,0.75,0.25,66.70%,2.25,2.39,-0.14,278
Matt Capps,Twins (A+),28,2,4.5,0,1,0,12.50%,0.00%,12.50%,0.125,0.5,0.143,0.00%,0,2.39,-2.39,4788
Justin De Fratus,Phillies (A+),24,2,4.5,0,1,0,14.30%,0.00%,14.30%,0.286,1,0.333,100.00%,0,2.39,-2.39,4955
Kyle Kaminska,Pirates (A+),23,16,6.19,1.13,5.5,0,20.00%,3.60%,16.40%,0.189,0.75,0.238,75.00%,1.69,2.39,-0.71,sa392170
Drew Hillman,Phillies (A+),23,2,4.5,0,1,0,16.70%,0.00%,16.70%,0,0,0,100.00%,0,2.39,-2.39,sa503329
Nathan Karns,Nationals (A+),24,71.2,10.93,3.27,3.35,0.13,31.30%,9.40%,21.90%,0.19,1.02,0.288,71.40%,2.26,2.39,-0.13,12638
Michael Brady,Marlins (A+),25,53.1,10.8,1.18,9.14,0.68,29.10%,3.20%,25.90%,0.255,1.14,0.347,74.50%,3.38,2.42,0.96,sa502167
Bruce Rondon,Tigers (A+),21,23.1,13.11,3.86,3.4,0.39,37.00%,10.90%,26.10%,0.148,0.94,0.239,83.30%,1.93,2.45,-0.52,5766
Tony Cingrani,Reds (A+),22,56.2,11.28,2.06,5.46,0.32,32.30%,5.90%,26.40%,0.188,0.92,0.276,79.30%,1.11,2.46,-1.34,12555
Rafael Montero,Mets (A+),21,50.2,9.95,1.95,5.09,0.36,29.00%,5.70%,23.30%,0.194,0.91,0.271,77.40%,2.13,2.47,-0.33,12760
Taylor Thompson,White Sox (A+),25,44.1,11.57,2.64,4.38,0.41,33.00%,7.50%,25.40%,0.166,0.88,0.245,74.00%,2.44,2.48,-0.05,10019
Terance Marin,White Sox (A+),22,67,9.27,1.61,5.75,0.4,24.70%,4.30%,20.40%,0.248,1.16,0.325,60.20%,2.42,2.49,-0.07,sa556821
Matt Nevarez,Rays (A+),25,15.2,10.34,1.72,6,0.57,34.60%,5.80%,28.90%,0.061,0.38,0.067,100.00%,0.57,2.5,-1.93,sa291749
Chris Wilkes,Padres (A+),22,5.1,8.44,1.69,5,0,19.20%,3.90%,15.40%,0.4,2.06,0.5,45.50%,10.13,2.5,7.62,sa455456
Phil Klein,Rangers (A+),23,10.1,12.19,1.74,7,0.87,41.20%,5.90%,35.30%,0.063,0.39,0.059,100.00%,0.87,2.51,-1.64,12675
Arquimedes Caminero,Marlins (A+),25,20.2,11.76,3.92,3,0,31.00%,10.30%,20.70%,0.16,1.02,0.25,91.70%,0.44,2.52,-2.09,8992
D.J. Carrasco,Mets (A+),35,6,6,1.5,4,0,21.10%,5.30%,15.80%,0.056,0.33,0.071,100.00%,0,2.56,-2.56,1666
James Leverton,Marlins (A+),26,12,10.5,3,3.5,0,25.00%,7.10%,17.90%,0.3,1.58,0.417,71.40%,4.5,2.56,1.94,sa454983
Jeremy Guthrie,Rockies (A+),33,4,9,2.25,4,0,25.00%,6.30%,18.80%,0.2,1,0.273,100.00%,0,2.56,-2.56,2072
Trevor Miller,Mariners (A+),21,29.2,8.8,2.12,4.14,0,24.80%,6.00%,18.80%,0.264,1.21,0.358,69.40%,2.73,2.57,0.16,sa599519
Ryan Weber,Braves (A+),21,45.1,7.94,1.39,5.71,0.2,20.40%,3.60%,16.80%,0.269,1.26,0.338,68.30%,3.38,2.57,0.81,sa455204
Arnold Leon,Athletics (A+),23,15.1,14.67,2.93,5,0.59,32.50%,6.50%,26.00%,0.366,2.02,0.556,62.10%,5.28,2.57,2.71,sa421188
Jeffrey Johnson,Indians (A+),22,17.1,9.35,1.56,6,0.52,27.30%,4.60%,22.70%,0.206,0.92,0.273,54.80%,4.15,2.58,1.58,sa598064
Andrew Wilson,Braves (A+),24,47.2,8.5,2.27,3.75,0.19,24.10%,6.40%,17.70%,0.19,0.94,0.25,80.70%,1.7,2.59,-0.89,sa503081
Adam Morgan,Phillies (A+),22,123,10.24,2.05,5,0.51,28.60%,5.70%,22.90%,0.224,1.07,0.307,70.60%,3.29,2.59,0.7,sa577008
Daniel Sattler,Twins (A+),28,5,9,3.6,2.5,0,25.00%,10.00%,15.00%,0.167,1,0.231,80.00%,1.8,2.59,-0.79,sa393249
Adam Conley,Marlins (A+),22,52.2,8.72,3.25,2.68,0,21.90%,8.20%,13.70%,0.277,1.48,0.364,63.30%,4.44,2.6,1.85,sa597781
Casey Medlen,Brewers (A+),22,54.1,10.44,2.82,3.71,0.33,26.70%,7.20%,19.50%,0.24,1.27,0.329,70.40%,2.98,2.6,0.38,sa599403
Tim Stauffer,Padres (A+),30,13.1,7.43,1.35,5.5,0,20.00%,3.60%,16.40%,0.283,1.28,0.357,70.60%,3.38,2.61,0.76,6432
Dan Barnes,Blue Jays (A+),22,51.1,11.05,2.81,3.94,0.53,30.70%,7.80%,22.90%,0.196,1.03,0.276,92.20%,1.4,2.63,-1.23,sa549713
Toru Murata,Indians (A+),27,1.1,13.5,6.75,2,0,33.30%,16.70%,16.70%,0.2,1.5,0.333,100.00%,0,2.64,-2.64,sa527786
Michael Tonkin,Twins (A+),22,30.1,13.05,3.26,4,0.59,34.70%,8.70%,26.00%,0.211,1.15,0.324,73.10%,2.97,2.64,0.33,10315
Wilkin De La Rosa,Reds (A+),27,8.2,8.31,2.08,4,0,22.20%,5.60%,16.70%,0.324,1.5,0.423,76.90%,1.04,2.66,-1.62,sa294324
Brian Pearl,Reds (A+),24,34.1,10.75,2.1,5.13,0.26,30.40%,5.90%,24.40%,0.2,0.96,0.289,80.40%,1.31,2.68,-1.37,sa501550
Mike Bolsinger,Diamondbacks (A+),24,38,11.61,3.08,3.77,0.24,30.60%,8.10%,22.50%,0.212,1.16,0.313,68.80%,2.37,2.68,-0.31,11137
Ryan Doolittle,Athletics (A+),24,24.1,11.47,1.11,10.33,0.74,33.70%,3.30%,30.40%,0.191,0.82,0.268,81.40%,1.48,2.7,-1.23,sa454858
Jose Flores,Indians (A+),23,38,8.29,3.08,2.69,0,21.60%,8.00%,13.60%,0.238,1.26,0.313,72.00%,2.37,2.73,-0.36,sa503583
Zack Osborne,Rangers (A+),24,55.2,8.73,1.62,5.4,0.49,25.10%,4.70%,20.50%,0.23,1.02,0.299,81.80%,1.94,2.74,-0.8,sa548457
Kevin Quackenbush,Padres (A+),23,57.2,10.92,3.43,3.18,0.16,30.60%,9.60%,21.00%,0.203,1.11,0.302,87.90%,0.94,2.76,-1.82,12360
Carlos Martinez,Cardinals (A+),20,33,9.27,2.73,3.4,0,24.10%,7.10%,17.00%,0.232,1.18,0.319,73.30%,3,2.79,0.21,11682
Al Alburquerque,Tigers (A+),26,3.1,24.3,2.7,9,2.7,56.30%,6.30%,50.00%,0.333,1.8,0.8,87.00%,5.4,2.79,2.61,6324
Jeff Kaplan,Mets (A+),26,10,5.4,1.8,3,0,14.00%,4.70%,9.30%,0.293,1.4,0.343,64.30%,4.5,2.79,1.71,sa454980
Joseph Zeller,Cubs (A+),24,32,8.16,3.66,2.23,0,21.80%,9.80%,12.00%,0.242,1.31,0.319,61.90%,3.66,2.8,0.86,sa549464
Brian Schlitter,Cubs (A+),26,27,6.33,0.67,9.5,0.33,17.40%,1.80%,15.60%,0.255,1.07,0.302,73.40%,2,2.8,-0.8,3599
Todd Coffey,Dodgers (A+),31,2,4.5,0,1,0,12.50%,0.00%,12.50%,0.375,1.5,0.429,66.70%,4.5,2.81,1.69,2467
Javy Guerra,Dodgers (A+),26,2,4.5,0,1,0,12.50%,0.00%,12.50%,0.125,0.5,0.143,0.00%,4.5,2.81,1.69,7407
Rubby De La Rosa,Dodgers (A+),23,9,9,3,3,0,28.10%,9.40%,18.80%,0.138,0.78,0.2,100.00%,0,2.81,-2.81,3862
