Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Miles Head,Athletics (A+),21,293,7.80%,18.80%,0.42,0.382,0.433,0.715,1.149,0.333,6.3,0.431,0.6,77,36.3,0.483,190,sa502921
Nick Castellanos,Tigers (A+),20,243,9.10%,17.30%,0.52,0.405,0.461,0.553,1.014,0.149,4.9,0.486,-0.4,53,24.8,0.459,188,11737
Jackie Bradley Jr.,Red Sox (A+),22,304,17.10%,13.20%,1.3,0.359,0.48,0.526,1.006,0.167,6,0.407,0.6,66,29.4,0.449,181,12984
Cyle Hankerd,White Sox (A+),27,309,5.20%,14.90%,0.35,0.325,0.411,0.615,1.026,0.291,7.1,0.343,0.3,67,29.6,0.447,180,sa326676
Steve Selsky,Reds (A+),22,307,8.50%,20.20%,0.42,0.348,0.42,0.618,1.038,0.27,6.8,0.402,1.6,69,26.9,0.441,164,sa526361
Ty Kelly,Orioles (A+),23,324,16.70%,12.70%,1.32,0.346,0.46,0.513,0.973,0.167,1.9,0.381,-1,68,29,0.439,175,sa501692
Gabe Jacobo,Blue Jays (A+),25,146,8.20%,13.70%,0.6,0.338,0.397,0.585,0.982,0.246,4.7,0.358,0.3,30,12.7,0.439,175,sa454609
Steven Souza Jr.,Nationals (A+),23,107,12.10%,23.40%,0.52,0.319,0.421,0.56,0.981,0.242,6.9,0.383,0.9,22,9.4,0.437,173,5667
Jack Marder,Mariners (A+),22,319,6.60%,13.80%,0.48,0.36,0.425,0.583,1.008,0.223,7.8,0.396,0.3,71,26.7,0.437,161,sa502687
Tommy Medica,Padres (A+),24,406,10.10%,21.20%,0.48,0.33,0.406,0.623,1.029,0.293,4.5,0.387,-0.3,90,33.9,0.436,161,11147
Bobby Coyle,Dodgers (A+),23,213,5.20%,8.50%,0.61,0.378,0.408,0.602,1.01,0.224,5,0.386,0.1,47,17.5,0.435,160,sa388372
Brady Shoemaker,White Sox (A+),25,332,9.00%,16.30%,0.56,0.331,0.422,0.549,0.971,0.218,3.4,0.37,-0.1,68,28,0.433,171,sa502052
C.J. Retherford,Dodgers (A+),26,322,6.50%,13.00%,0.5,0.343,0.395,0.633,1.028,0.29,5.1,0.341,-0.1,70,25.7,0.432,158,sa393409
Tyson Blaser,Yankees (A+),24,122,14.80%,19.70%,0.75,0.364,0.467,0.455,0.921,0.091,4.5,0.474,-0.1,24,9.7,0.43,169,sa546852
Kyle Parker,Rockies (A+),22,463,14.30%,19.00%,0.75,0.308,0.415,0.562,0.976,0.254,4.6,0.346,-0.8,97,33.1,0.423,152,11763
