Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Ryan Court,Diamondbacks (A),25,126,12.70%,20.60%,0.62,0.396,0.476,0.585,1.061,0.189,3.1,0.5,-0.5,30,14.6,0.478,198,sa579055
Stetson Allie,Pirates (A),22,285,12.60%,27.70%,0.46,0.324,0.414,0.607,1.021,0.283,4.6,0.413,0.5,62,28.9,0.456,187,sa548192
Trenton Moses,Braves (A),24,123,10.60%,21.10%,0.5,0.364,0.447,0.523,0.971,0.159,0.9,0.468,-0.6,26,11.6,0.447,181,sa658787
Peter O'Brien,Yankees (A),22,226,9.70%,25.70%,0.38,0.325,0.394,0.619,1.012,0.294,3.8,0.397,-0.2,47,21.2,0.446,181,sa577327
Byron Buxton,Twins (A),19,321,13.70%,17.40%,0.79,0.341,0.431,0.559,0.99,0.219,8.7,0.402,1.6,67,29,0.444,176,sa657851
Tom Murphy,Rockies (A),22,341,10.90%,25.50%,0.43,0.288,0.385,0.59,0.975,0.302,4.6,0.346,-1.5,69,29.5,0.436,174,sa657946
Micah Johnson,White Sox (A),22,351,11.40%,19.10%,0.6,0.342,0.422,0.53,0.952,0.188,9.2,0.422,4.1,70,29.3,0.432,172,sa621496
Jayce Boyd,Mets (A),22,288,12.20%,11.10%,1.09,0.361,0.441,0.494,0.935,0.133,2.7,0.397,-2,57,23.7,0.43,171,sa502020
Greg Bird,Yankees (A),20,573,18.70%,23.00%,0.81,0.288,0.428,0.511,0.938,0.223,3.1,0.364,-0.9,113,46.5,0.429,170,sa597899
Rosell Herrera,Rockies (A),20,546,11.20%,17.60%,0.64,0.343,0.419,0.515,0.933,0.172,4.2,0.401,0.3,106,42.9,0.426,168,sa547996
Francisco Sosa,Rockies (A),23,530,10.80%,23.60%,0.46,0.315,0.397,0.529,0.926,0.215,6,0.392,1.4,102,39.9,0.421,165,sa506298
Devon Travis,Tigers (A),22,339,10.30%,9.40%,1.09,0.352,0.43,0.486,0.916,0.134,5.8,0.375,1.3,64,24.2,0.419,160,sa578013
Joey Gallo,Rangers (A),19,446,10.80%,37.00%,0.29,0.245,0.334,0.61,0.944,0.365,8,0.305,2.1,84,32.6,0.418,163,sa657856
Trevor Martin,Cardinals (A),21,115,1.70%,20.00%,0.09,0.373,0.395,0.518,0.913,0.145,3.9,0.459,-0.5,21,7.9,0.416,158,sa549480
LeVon Washington,Indians (A),21,229,14.00%,20.10%,0.7,0.321,0.425,0.477,0.902,0.155,7.5,0.418,1,43,15.5,0.415,157,sa500743
Raphael Rhymes,Tigers (A),23,146,15.10%,8.90%,1.69,0.345,0.462,0.42,0.882,0.076,2.7,0.387,-1.4,27,9.9,0.415,157,sa599518
Mookie Betts,Red Sox (A),20,340,17.10%,11.80%,1.45,0.296,0.418,0.477,0.895,0.181,6.4,0.322,2.4,63,23.9,0.414,160,13611
Josh Elander,Braves (A),22,310,9.40%,19.70%,0.48,0.318,0.381,0.536,0.916,0.218,5.6,0.373,0.1,58,21.8,0.414,160,sa503164
Christian Walker,Orioles (A),22,131,8.40%,12.20%,0.69,0.353,0.42,0.474,0.894,0.121,2.3,0.388,-1.4,24,9.2,0.414,160,13419
D.J. Peterson,Mariners (A),21,107,6.50%,22.40%,0.29,0.293,0.346,0.576,0.922,0.283,5.2,0.324,0.1,20,7,0.412,155,sa549926
Corey Seager,Dodgers (A),19,312,10.90%,18.60%,0.59,0.309,0.389,0.529,0.918,0.221,5.6,0.353,-0.1,57,20.2,0.411,155,sa657913
Ryan Rua,Rangers (A),23,430,11.40%,21.20%,0.54,0.251,0.356,0.559,0.914,0.308,5.7,0.253,1.4,79,28.7,0.41,157,12409
Mitchell Haniger,Brewers (A),22,178,14.00%,13.50%,1.04,0.297,0.399,0.51,0.909,0.214,7,0.314,1.3,32,11,0.407,152,sa502733
Kevin Plawecki,Mets (A),22,282,8.20%,11.30%,0.72,0.314,0.39,0.494,0.884,0.18,3.3,0.336,-0.1,50,17.1,0.402,152,sa621652
Carlos Correa,Astros (A),18,519,11.20%,16.00%,0.7,0.32,0.405,0.467,0.872,0.147,4.4,0.375,-2.5,91,29.2,0.4,147,sa657850
Nick Williams,Rangers (A),19,404,3.70%,27.20%,0.14,0.293,0.337,0.543,0.879,0.25,7.2,0.371,-0.8,69,22.5,0.395,148,sa657981
Dario Pizzano,Mariners (A),22,531,11.50%,9.00%,1.27,0.311,0.392,0.471,0.863,0.16,4.9,0.331,-0.4,89,26.4,0.391,142,sa658253
