Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Curt Casali,Rays (AA),24,145,14.50%,12.40%,1.17,0.383,0.483,0.6,1.083,0.217,1.5,0.418,-0.2,33,17.9,0.486,216,12510
Jabari Blash,Mariners (AA),23,120,16.70%,23.30%,0.71,0.309,0.442,0.619,1.06,0.309,1.2,0.35,-0.3,27,13.8,0.475,208,sa392225
Anthony Rendon,Nationals (AA),23,152,19.70%,16.40%,1.2,0.319,0.461,0.603,1.064,0.284,4.7,0.352,0.2,34,16.4,0.466,191,12861
Gabe Jacobo,Blue Jays (AA),26,135,7.40%,14.80%,0.5,0.366,0.422,0.602,1.024,0.236,3,0.396,0.2,29,13.3,0.454,183,sa454609
Henry Urrutia,Orioles (AA),26,224,10.70%,16.10%,0.67,0.365,0.433,0.55,0.983,0.185,2.1,0.42,-0.3,46,19.5,0.44,174,14441
Javier Baez,Cubs (AA),20,240,7.90%,28.80%,0.28,0.294,0.346,0.638,0.983,0.344,4.5,0.333,0.7,46,20.6,0.435,180,12979
Anthony Aliotti,Athletics (AA),26,409,16.10%,20.30%,0.8,0.35,0.452,0.541,0.993,0.191,2,0.431,-0.4,84,37.3,0.434,180,sa501732
Yasiel Puig,Dodgers (AA),22,167,9.00%,17.40%,0.52,0.313,0.383,0.599,0.982,0.286,7.9,0.339,0.6,32,14.1,0.433,179,14225
Chun-Hsiu Chen,Indians (AA),24,164,14.00%,25.00%,0.56,0.328,0.427,0.547,0.974,0.219,6.5,0.424,1.6,32,13,0.429,167,sa455954
George Springer,Astros (AA),23,323,13.00%,29.70%,0.44,0.297,0.399,0.579,0.978,0.282,5.5,0.39,2.5,64,27.4,0.426,174,12856
Allan Dykstra,Mets (AA),26,489,20.90%,25.20%,0.83,0.274,0.436,0.503,0.938,0.228,0.7,0.346,-0.2,95,36.8,0.425,164,sa454379
Cesar Puello,Mets (AA),22,377,7.40%,21.80%,0.34,0.326,0.403,0.547,0.95,0.221,6.7,0.391,1.8,73,28.1,0.424,163,sa455741
Steven Souza Jr.,Nationals (AA),24,323,12.70%,23.50%,0.54,0.3,0.396,0.557,0.953,0.256,6,0.36,1.4,62,23.5,0.421,161,5667
