Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
David Peralta,Diamondbacks (A+),25,219,4.10%,12.80%,0.32,0.346,0.37,0.534,0.904,0.188,2.6,0.368,0.2,40,10.1,0.391,134,2136
Max Muncy,Athletics (A+),22,428,15.00%,15.90%,0.94,0.285,0.4,0.507,0.907,0.222,2.6,0.295,-0.3,77,19.6,0.39,134,sa503373
Kevin Rivers,Mariners (A+),24,557,11.80%,22.80%,0.52,0.297,0.381,0.515,0.896,0.219,5.5,0.363,0.1,101,25.4,0.39,134,sa510347
Steve Selsky,Reds (A+),23,394,9.40%,20.10%,0.47,0.297,0.388,0.497,0.885,0.2,6.1,0.352,-0.1,71,17.9,0.39,134,sa526361
Jason Martinson,Nationals (A+),24,305,12.50%,29.20%,0.43,0.268,0.374,0.484,0.858,0.217,7.7,0.354,2,51,13.9,0.39,138,sa548330
Rangel Ravelo,White Sox (A+),21,347,11.50%,13.30%,0.87,0.312,0.393,0.455,0.848,0.143,4.2,0.354,0.2,58,15.7,0.39,138,sa548335
Chris Jacobs,Dodgers (A+),24,294,11.60%,32.70%,0.35,0.286,0.381,0.516,0.897,0.23,4.5,0.399,0.6,53,13.2,0.389,133,sa389213
Michael Mosby,Orioles (A+),23,136,11.80%,27.90%,0.42,0.278,0.382,0.461,0.843,0.183,2.9,0.37,-0.1,23,6.1,0.389,137,sa549119
Delino Deshields,Astros (A+),20,534,10.70%,17.00%,0.63,0.317,0.405,0.468,0.873,0.151,8.9,0.387,1.7,96,23.8,0.389,133,sa548171
Willie Argo,Rays (A+),23,359,12.00%,21.20%,0.57,0.308,0.404,0.42,0.824,0.111,7.5,0.398,5.2,57,16.8,0.387,142,sa546652
Addison Russell,Athletics (A+),19,504,12.10%,23.00%,0.53,0.275,0.377,0.508,0.885,0.233,8,0.338,2.7,89,21.2,0.386,131,sa657862
Jonathan Garcia,Dodgers (A+),21,280,5.70%,29.30%,0.2,0.287,0.337,0.574,0.911,0.287,7.9,0.356,0.4,50,11.7,0.386,131,sa501579
M.P. Cokinos,Astros (A+),23,495,9.50%,8.30%,1.15,0.313,0.395,0.475,0.87,0.162,2.7,0.317,-1.3,88,20.7,0.386,131,sa658820
Alejandro Segovia,Rays (A+),23,436,10.10%,15.10%,0.67,0.281,0.376,0.457,0.833,0.176,1.8,0.306,-0.7,69,20,0.386,141,sa504965
Joe Sclafani,Astros (A+),23,406,12.80%,14.80%,0.87,0.302,0.396,0.474,0.87,0.172,7.7,0.345,1.7,72,16.7,0.385,130,sa658257
Zane Chavez,Orioles (A+),26,333,13.80%,16.80%,0.82,0.295,0.39,0.439,0.829,0.144,1.2,0.344,-0.2,54,13.8,0.385,134,sa628321
Billy Burns,Nationals (A+),23,402,12.90%,9.20%,1.41,0.312,0.422,0.391,0.813,0.079,9.4,0.349,8.4,65,16.7,0.385,134,12701
David Popkins,Cardinals (A+),23,396,6.80%,19.70%,0.35,0.317,0.377,0.463,0.84,0.146,6,0.392,-1.2,62,17.8,0.384,140,sa659491
Christopher Epps,Astros (A+),24,477,14.50%,24.30%,0.59,0.275,0.381,0.503,0.884,0.227,5.7,0.343,-2.2,84,19.3,0.384,130,sa392214
Rob Refsnyder,Yankees (A+),22,507,15.40%,13.80%,1.11,0.283,0.408,0.404,0.812,0.121,5,0.326,0.5,79,22.7,0.384,140,sa621680
Brent Keys,Marlins (A+),22,434,10.60%,6.00%,1.77,0.346,0.418,0.399,0.817,0.052,3.4,0.366,-1.3,68,19.3,0.384,140,sa501959
Gregory Polanco,Pirates (A+),21,241,6.60%,15.40%,0.43,0.312,0.364,0.472,0.836,0.161,5.7,0.35,3.1,37,10.6,0.383,139,12907
Kevan Smith,White Sox (A+),25,442,8.60%,14.90%,0.58,0.286,0.37,0.464,0.834,0.177,4.9,0.317,0.1,71,17.7,0.383,133,sa599392
Mac Williamson,Giants (A+),22,597,8.50%,22.10%,0.39,0.292,0.375,0.504,0.879,0.212,5.1,0.345,1.5,104,23.5,0.383,129,sa602852
Taylor Dugas,Yankees (A+),23,234,13.70%,6.40%,2.13,0.321,0.426,0.373,0.799,0.052,3.5,0.343,-1.5,36,10.2,0.382,139,sa577007
Dean Green,Tigers (A+),24,129,7.00%,17.10%,0.41,0.314,0.372,0.458,0.83,0.144,4,0.372,-0.1,20,5.6,0.382,139,sa526876
Jeremy Baltz,Padres (A+),22,292,7.50%,19.90%,0.38,0.309,0.37,0.511,0.881,0.202,4.2,0.36,-0.1,51,11.2,0.382,129,sa503672
Dennis Raben,Royals (A+),25,297,10.80%,17.20%,0.63,0.272,0.367,0.469,0.836,0.197,2.8,0.294,-0.6,47,11.6,0.381,132,sa454440
Cutter Dykstra,Nationals (A+),24,446,17.30%,16.10%,1.07,0.283,0.413,0.388,0.8,0.105,3.7,0.34,1.2,71,17.2,0.381,132,sa454428
Carson Blair,Red Sox (A+),23,148,15.50%,26.40%,0.59,0.25,0.372,0.452,0.823,0.202,5.9,0.333,-0.1,23,5.6,0.38,131,sa471753
Dustin Geiger,Cubs (A+),21,523,9.90%,19.10%,0.52,0.281,0.365,0.458,0.824,0.178,3,0.324,-1.4,80,21.1,0.378,136,sa549747
Kyle Kubitza,Braves (A+),22,527,15.20%,25.00%,0.61,0.26,0.38,0.434,0.814,0.175,5.2,0.344,-5.5,83,19.2,0.378,130,sa597865
Adrian Nieto,Nationals (A+),23,452,11.70%,18.10%,0.65,0.285,0.373,0.449,0.821,0.164,3.8,0.332,-0.3,71,16.1,0.377,130,10294
Nolan Fontana,Astros (A+),22,499,20.40%,20.00%,1.02,0.259,0.415,0.399,0.814,0.14,6.9,0.327,0.8,84,16.7,0.376,125,sa657932
Rougned Odor,Rangers (A+),19,425,6.10%,15.80%,0.39,0.305,0.369,0.454,0.822,0.149,7.7,0.355,1.8,66,14.7,0.376,129,12282
Stephen Piscotty,Cardinals (A+),22,264,6.80%,10.20%,0.67,0.292,0.348,0.477,0.826,0.185,3.8,0.3,-1.3,40,10.1,0.375,134,sa503644
Ryan Casteel,Rockies (A+),22,469,10.70%,25.20%,0.42,0.27,0.352,0.523,0.875,0.253,4.1,0.324,0.2,79,15.2,0.375,124,sa549286
Jabari Blash,Mariners (A+),23,332,12.00%,25.60%,0.47,0.258,0.358,0.505,0.864,0.247,6,0.308,-1,56,10.7,0.375,124,sa392225
David Chester,Red Sox (A+),24,112,9.80%,19.60%,0.5,0.273,0.348,0.475,0.823,0.202,3.3,0.292,0.3,17,3.8,0.374,128,sa598680
Carmen Angelini,Yankees (A+),24,132,3.80%,15.20%,0.25,0.312,0.341,0.48,0.821,0.168,5.3,0.337,0.3,20,4.9,0.374,133,sa390643
Telvin Nash,Astros (A+),22,269,13.80%,34.60%,0.4,0.246,0.357,0.5,0.857,0.254,2.8,0.333,0.2,45,8.4,0.373,123,sa501240
Ryan Fisher,Marlins (A+),25,293,8.50%,24.20%,0.35,0.294,0.372,0.439,0.811,0.145,4.6,0.386,-0.6,43,10.7,0.373,133,sa549201
Chris Curley,White Sox (A+),25,604,8.40%,18.20%,0.46,0.28,0.35,0.471,0.821,0.191,5.1,0.307,-0.5,92,18.9,0.372,126,sa511667
John Andreoli,Cubs (A+),23,303,11.20%,18.80%,0.6,0.318,0.394,0.405,0.799,0.087,8.1,0.4,3.2,45,10.7,0.371,131,sa577764
Kevin Plawecki,Mets (A+),22,239,7.90%,8.80%,0.9,0.294,0.391,0.392,0.783,0.098,1.4,0.319,-0.2,35,8.4,0.371,131,sa621652
Christian Walker,Orioles (A+),22,239,7.10%,17.20%,0.41,0.288,0.343,0.479,0.822,0.191,2.9,0.318,0.3,36,7.4,0.371,126,13419
Jace Peterson,Padres (A+),23,496,10.90%,11.70%,0.93,0.303,0.382,0.454,0.836,0.151,8.4,0.332,3.6,81,14.3,0.371,121,12325
Sean Coyle,Red Sox (A+),21,224,10.70%,29.00%,0.37,0.241,0.321,0.513,0.834,0.272,7.8,0.275,2.1,34,6.6,0.369,125,sa548268
Allan De San Miguel,Orioles (A+),25,266,12.80%,21.40%,0.6,0.24,0.366,0.421,0.787,0.181,3,0.279,0,40,7.8,0.369,124,sa295122
Kennys Vargas,Twins (A+),22,520,9.60%,20.20%,0.48,0.267,0.344,0.468,0.813,0.201,2,0.304,-0.2,75,17.4,0.369,130,12101
Jason Krizan,Tigers (A+),24,472,13.10%,9.30%,1.41,0.288,0.388,0.396,0.784,0.108,3.4,0.314,-0.5,68,15.7,0.369,130,sa546842
Matt Duffy,Giants (A+),22,115,6.10%,13.90%,0.44,0.292,0.342,0.509,0.852,0.217,5.9,0.306,0.1,19,3.1,0.369,120,13836
Sean Jamieson,Diamondbacks (A+),24,505,9.50%,21.60%,0.44,0.287,0.37,0.462,0.832,0.175,6.4,0.358,-0.2,82,13.7,0.369,120,sa598483
Patrick Brady,Mariners (A+),25,249,8.80%,15.70%,0.56,0.279,0.346,0.505,0.85,0.225,5.3,0.295,-0.7,40,6.6,0.368,120,sa550346
Dustin Lawley,Mets (A+),24,514,7.00%,21.60%,0.32,0.26,0.313,0.512,0.825,0.252,5.1,0.286,-0.2,74,16.4,0.367,129,sa599380
Ricky Oropesa,Giants (A+),23,253,9.50%,21.70%,0.44,0.295,0.368,0.477,0.845,0.182,1.2,0.352,0,41,6.5,0.367,119,sa526884
Jorge Soler,Cubs (A+),21,236,8.90%,16.10%,0.55,0.281,0.343,0.467,0.81,0.186,5.7,0.304,0.5,34,7.5,0.367,128,14221
Luigi Rodriguez,Indians (A+),20,134,13.40%,26.90%,0.5,0.283,0.383,0.398,0.782,0.115,4.6,0.41,-1.2,20,3.7,0.367,123,sa547914
Elias Diaz,Pirates (A+),22,220,14.10%,15.00%,0.94,0.279,0.382,0.399,0.781,0.12,5,0.327,-0.9,31,6.9,0.366,128,sa504943
Brandon Miller,Nationals (A+),23,120,5.80%,24.20%,0.24,0.3,0.35,0.464,0.814,0.164,6,0.388,0.1,18,3.3,0.366,123,sa550323
Tyler Heineman,Astros (A+),22,428,7.50%,11.00%,0.68,0.286,0.361,0.476,0.837,0.189,4.5,0.293,-1.1,69,10.7,0.366,119,sa658108
Jayce Boyd,Mets (A+),22,241,10.80%,12.00%,0.9,0.292,0.372,0.421,0.793,0.129,3.9,0.32,0.3,34,7.4,0.366,128,sa502020
Odubel Herrera,Rangers (A+),21,115,13.90%,16.50%,0.84,0.295,0.398,0.368,0.767,0.074,4.4,0.355,-0.5,17,3.1,0.365,122,sa505987
D'Vontrey Richardson,Brewers (A+),24,228,6.10%,18.90%,0.33,0.325,0.372,0.416,0.788,0.091,5.9,0.404,0.1,32,7,0.365,127,sa501484
Mike Kvasnicka,Twins (A+),24,273,8.40%,21.60%,0.39,0.282,0.341,0.46,0.8,0.177,5,0.335,0.3,39,8.2,0.364,127,sa546839
Blake Swihart,Red Sox (A+),21,422,9.70%,14.90%,0.65,0.298,0.366,0.428,0.794,0.13,5.2,0.35,-2.2,62,10.7,0.364,121,sa597790
Francisco Lindor,Indians (A+),19,373,9.40%,10.50%,0.9,0.306,0.373,0.41,0.783,0.104,7.4,0.341,1.7,54,9.3,0.363,121,sa597754
Cory Spangenberg,Padres (A+),22,253,9.10%,20.20%,0.45,0.296,0.364,0.46,0.824,0.164,7.9,0.368,2,40,5.6,0.363,116,12294
Aaron Westlake,Tigers (A+),24,390,6.70%,22.30%,0.3,0.291,0.344,0.447,0.791,0.156,2.9,0.365,-0.6,55,11.1,0.362,126,sa549527
Jonathan Griffin,Diamondbacks (A+),24,180,5.60%,21.10%,0.26,0.295,0.344,0.488,0.832,0.193,2.3,0.344,0,28,3.9,0.362,116,sa598794
Juan Silva,Reds (A+),22,404,15.10%,18.80%,0.8,0.271,0.386,0.414,0.799,0.143,6.8,0.327,0,63,8.8,0.362,116,sa501563
A.J. Kirby-Jones,Padres (A+),24,199,11.10%,27.10%,0.41,0.262,0.352,0.477,0.829,0.215,2.4,0.33,-0.5,31,4.3,0.362,116,sa548449
Cameron Perkins,Phillies (A+),22,424,5.90%,13.40%,0.44,0.295,0.346,0.444,0.79,0.15,4.7,0.33,-1.4,59,12,0.362,125,sa503439
Myles Schroder,Giants (A+),25,326,7.70%,22.40%,0.34,0.296,0.359,0.467,0.826,0.172,7.1,0.374,0.5,51,7,0.362,116,sa392193
Lane Adams,Royals (A+),23,370,11.60%,17.80%,0.65,0.276,0.362,0.424,0.786,0.149,6.7,0.325,1.9,53,8.8,0.362,120,10767
Mark Haddow,White Sox (A+),25,357,12.30%,21.00%,0.59,0.272,0.376,0.391,0.767,0.119,5.1,0.35,0.1,51,8.4,0.362,120,sa598782
Harold Riggins,Rockies (A+),23,482,11.80%,39.80%,0.3,0.247,0.353,0.472,0.825,0.225,4.1,0.4,-0.7,75,10.1,0.361,116,sa546789
Michael Snyder,Angels (A+),23,590,7.30%,25.30%,0.29,0.28,0.337,0.506,0.843,0.225,3.4,0.337,-0.5,92,12.3,0.361,115,sa658566
John Whitaker,Athletics (A+),24,234,9.40%,20.90%,0.45,0.27,0.355,0.466,0.82,0.196,3.7,0.311,-0.2,36,4.9,0.361,115,sa549594
Zeke Devoss,Cubs (A+),22,528,15.20%,18.00%,0.84,0.246,0.393,0.354,0.747,0.108,7.5,0.302,3.5,73,14.5,0.361,125,sa503303
Taylor Motter,Rays (A+),23,239,9.20%,12.10%,0.76,0.29,0.359,0.419,0.778,0.129,6.5,0.324,0.7,33,6.5,0.36,124,sa577804
Aaron Altherr,Phillies (A+),22,527,8.50%,26.60%,0.32,0.275,0.337,0.455,0.792,0.18,6.9,0.36,2.4,73,14.2,0.36,124,11270
Bryson Myles,Indians (A+),23,390,8.20%,21.50%,0.38,0.285,0.357,0.427,0.785,0.142,6,0.346,-0.2,56,8.7,0.36,119,sa597971
Drew Robinson,Rangers (A+),21,523,13.80%,23.70%,0.58,0.257,0.369,0.404,0.772,0.147,6.3,0.339,0.9,75,11.7,0.36,119,sa548300
Jorge Bonifacio,Royals (A+),20,234,9.80%,17.10%,0.58,0.296,0.368,0.408,0.775,0.112,4.3,0.353,-1,33,5.1,0.359,118,sa547943
Adam Heisler,White Sox (A+),25,257,11.70%,19.50%,0.6,0.271,0.366,0.404,0.77,0.133,6.9,0.335,-0.9,36,5.5,0.359,118,sa503658
Jordan Smith,Indians (A+),22,586,10.60%,12.30%,0.86,0.292,0.368,0.4,0.768,0.108,5.6,0.33,-0.5,83,12.3,0.358,117,sa579297
Taylor Featherston,Rockies (A+),23,516,5.80%,21.30%,0.27,0.292,0.342,0.484,0.826,0.192,8,0.352,1.5,79,9.4,0.358,114,sa577911
Peter O'Brien,Yankees (A+),22,280,6.80%,27.10%,0.25,0.265,0.314,0.486,0.8,0.221,3.5,0.326,-0.5,38,7,0.358,122,sa577327
Corey Jones,Tigers (A+),25,155,11.60%,10.30%,1.13,0.278,0.37,0.391,0.761,0.113,1.7,0.302,-0.5,21,3.9,0.358,122,sa546893
Andrew Aplin,Astros (A+),22,598,13.90%,10.50%,1.32,0.278,0.376,0.424,0.8,0.146,7.2,0.297,1.9,91,10.5,0.357,113,sa502787
Angelo Songco,Dodgers (A+),24,185,4.90%,21.10%,0.23,0.31,0.341,0.491,0.832,0.181,5,0.366,-0.3,28,3.2,0.357,113,sa501270
Dalton Hicks,Twins (A+),23,176,12.50%,21.60%,0.58,0.27,0.364,0.405,0.769,0.135,1.4,0.327,-0.5,24,4.4,0.357,122,sa658310
Gabe Jacobo,Blue Jays (A+),26,191,8.90%,19.40%,0.46,0.278,0.346,0.438,0.783,0.16,4.6,0.328,0.1,26,4.7,0.357,122,sa454609
Matt Newman,Blue Jays (A+),24,385,7.50%,17.10%,0.44,0.29,0.346,0.431,0.777,0.141,4.1,0.339,-2,52,9.4,0.357,122,sa577013
Tom Belza,Diamondbacks (A+),23,538,9.50%,17.30%,0.55,0.3,0.368,0.429,0.797,0.128,5.4,0.354,-1,82,9,0.356,112,sa526826
Alen Hanson,Pirates (A+),20,409,8.10%,17.10%,0.47,0.281,0.339,0.444,0.783,0.163,7.3,0.325,-0.9,55,9.8,0.356,121,sa547735
Cheslor Cuthbert,Royals (A+),20,254,10.60%,14.60%,0.73,0.28,0.354,0.418,0.772,0.138,3.8,0.324,-0.8,36,4.9,0.356,116,sa549634
Colin Walsh,Cardinals (A+),23,412,14.10%,16.50%,0.85,0.262,0.37,0.387,0.757,0.125,7,0.315,1.6,56,9.8,0.356,121,sa526841
Nick Delmonico,- - -,20,350,13.70%,22.90%,0.6,0.232,0.346,0.423,0.769,0.191,4.3,0.273,0.4,48,6.9,0.355,116,sa597968
Tyler Naquin,Indians (A+),22,498,8.20%,22.50%,0.37,0.277,0.345,0.424,0.769,0.147,6.3,0.351,-0.4,69,8.9,0.354,115,sa502772
Brandon Jacobs,Red Sox (A+),22,335,9.90%,26.30%,0.38,0.244,0.334,0.44,0.774,0.196,4.5,0.308,0.2,46,5.8,0.354,114,sa501670
Shane Opitz,Blue Jays (A+),21,209,8.10%,12.00%,0.68,0.309,0.362,0.399,0.761,0.09,4.4,0.344,-0.1,28,4.6,0.354,120,sa549070
Jeremy Farrell,White Sox (A+),26,493,8.90%,22.90%,0.39,0.253,0.346,0.415,0.761,0.162,3.5,0.319,-0.7,68,8.4,0.353,114,sa454554
Bobby Coyle,Dodgers (A+),24,228,5.30%,20.60%,0.26,0.267,0.307,0.529,0.836,0.262,3.7,0.27,-0.8,34,3,0.352,110,sa388372
Lee Orr,Padres (A+),24,289,5.90%,31.80%,0.18,0.276,0.329,0.481,0.81,0.205,6.9,0.386,-0.3,43,3.7,0.352,109,sa550115
William Beckwith,Braves (A+),22,226,11.90%,23.00%,0.52,0.229,0.341,0.42,0.761,0.191,3.7,0.26,-0.2,31,3.6,0.352,113,sa549500
Robert Crocker,Athletics (A+),23,497,6.40%,32.00%,0.2,0.276,0.343,0.454,0.797,0.178,7.8,0.404,0.1,73,6,0.351,109,sa577746
Michael A. Taylor,Nationals (A+),22,581,9.50%,22.50%,0.42,0.263,0.34,0.426,0.767,0.163,8.3,0.331,7,79,8.8,0.351,113,11489
Trenton Moses,Braves (A+),24,245,9.40%,18.80%,0.5,0.259,0.352,0.396,0.749,0.137,3,0.317,-1,33,3.6,0.35,112,sa658787
Thomas Mittelstaedt,Brewers (A+),25,309,17.20%,29.40%,0.58,0.211,0.351,0.394,0.745,0.183,2.7,0.278,-1.7,41,6,0.35,117,sa549912
Alex Yarbrough,Angels (A+),21,615,4.40%,17.20%,0.25,0.313,0.341,0.459,0.8,0.146,6.3,0.364,0.9,90,6.6,0.35,108,sa621579
Kyle Knudson,Twins (A+),25,105,8.60%,18.10%,0.47,0.28,0.362,0.376,0.738,0.097,0.8,0.333,-0.5,14,2,0.349,117,sa546859
Matt Gedman,Red Sox (A+),24,250,7.60%,13.20%,0.58,0.279,0.336,0.424,0.76,0.144,4.4,0.3,1.1,34,3.5,0.349,112,sa526187
Nick Ramirez,Brewers (A+),23,561,9.60%,30.50%,0.32,0.258,0.326,0.438,0.764,0.18,4.6,0.347,0.7,73,10.4,0.349,117,sa577807
Curt Casali,Rays (A+),24,184,9.80%,16.80%,0.58,0.267,0.342,0.406,0.748,0.139,3,0.302,0.1,24,3.4,0.349,116,12510
Noel Cuevas,Dodgers (A+),21,536,6.90%,20.00%,0.35,0.284,0.341,0.454,0.795,0.17,8.3,0.34,0.5,78,5.1,0.348,107,sa549566
O'Koyea Dickson,Dodgers (A+),23,523,5.50%,13.00%,0.43,0.28,0.338,0.457,0.796,0.177,4.2,0.294,-0.2,75,4.8,0.348,107,sa598761
Josh Richmond,White Sox (A+),24,231,8.20%,25.10%,0.33,0.254,0.322,0.444,0.766,0.19,5.4,0.31,-0.1,31,2.9,0.347,110,sa526317
Jeff Arnold,Giants (A+),25,396,9.60%,29.30%,0.33,0.251,0.333,0.46,0.793,0.209,5.8,0.336,0.8,57,3.5,0.347,106,sa549361
Alfredo Lopez,Marlins (A+),23,241,10.40%,12.90%,0.81,0.297,0.378,0.359,0.736,0.062,4.2,0.339,-0.3,31,4.1,0.347,115,sa549427
Matt Koch,Twins (A+),24,393,8.90%,19.10%,0.47,0.278,0.346,0.401,0.747,0.122,2.2,0.333,-0.4,51,6.7,0.347,115,sa526326
Devin Harris,Giants (A+),25,563,7.30%,21.80%,0.33,0.258,0.318,0.492,0.81,0.234,4,0.293,-0.3,81,4.6,0.347,106,sa501556
Michael Crouse,Blue Jays (A+),22,347,11.20%,26.50%,0.42,0.25,0.343,0.403,0.746,0.153,5.6,0.33,0.5,45,5.8,0.346,115,sa454895
Brock Stassi,Phillies (A+),23,316,7.30%,13.60%,0.53,0.295,0.347,0.399,0.746,0.104,6.3,0.336,1,40,5,0.345,114,sa526362
Chadd Krist,Cubs (A+),23,262,11.80%,19.10%,0.62,0.253,0.351,0.382,0.733,0.129,3.1,0.302,-0.1,33,4.1,0.345,114,sa579540
David Rohm,Braves (A+),23,536,5.60%,17.20%,0.33,0.302,0.342,0.413,0.755,0.111,5.4,0.365,-3.1,70,5.7,0.345,109,sa548456
Benjamin Gamel,Yankees (A+),21,423,11.30%,18.20%,0.62,0.272,0.352,0.396,0.748,0.124,6.6,0.33,2,54,6.5,0.345,114,sa548493
