Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Chris Dennis,Brewers (A),21,522,11.70%,27.40%,0.43,0.27,0.362,0.497,0.859,0.226,6.5,0.356,0.9,88,22.7,0.386,135,sa389763
Angel Morales,Twins (A),20,247,9.70%,26.30%,0.37,0.284,0.377,0.469,0.846,0.185,7.9,0.392,0.3,41,10.7,0.386,135,sa390382
Brian Cavazos-Galvez,Dodgers (A),23,513,2.30%,11.70%,0.2,0.318,0.343,0.52,0.863,0.202,7.3,0.336,2.9,86,22,0.386,135,sa501665
Tyler Saladino,White Sox (A),20,198,11.10%,22.20%,0.5,0.309,0.397,0.442,0.839,0.133,5.9,0.402,0,33,9.6,0.385,140,sa503153
Aaron Hicks,Twins (A),20,518,17.00%,21.60%,0.79,0.279,0.401,0.428,0.829,0.149,6.7,0.359,-0.8,86,21.7,0.384,134,5297
Blake Smith,Dodgers (A),22,493,9.90%,27.40%,0.36,0.281,0.363,0.488,0.852,0.207,3.6,0.366,-0.9,81,20.3,0.383,133,sa500814
Kody Hinze,Astros (A),22,536,12.90%,23.90%,0.54,0.277,0.377,0.465,0.842,0.188,1.8,0.344,-1.4,89,25.3,0.383,139,sa455593
Joseph Bonadonna,Rangers (A),24,244,13.50%,18.40%,0.73,0.297,0.397,0.436,0.833,0.139,5.6,0.365,0.3,41,11.4,0.382,139,sa502795
Bo Greenwell,Indians (A),21,288,11.10%,11.80%,0.94,0.315,0.399,0.431,0.83,0.117,6.3,0.349,0.4,47,11.4,0.381,132,sa390607
Conner Crumbliss,Athletics (A),23,634,19.90%,14.50%,1.37,0.271,0.421,0.371,0.792,0.1,5.1,0.32,1.3,104,24.8,0.381,131,sa502365
Jamie Johnson,Tigers (A),23,555,17.70%,13.70%,1.29,0.284,0.413,0.388,0.802,0.104,5.6,0.333,-0.9,90,21.4,0.38,131,sa501504
Nolan Arenado,Rockies (A),19,400,4.80%,13.00%,0.37,0.308,0.338,0.52,0.858,0.212,2.4,0.326,-1,66,17.8,0.38,137,9777
Matt Long,Angels (A),23,553,10.70%,12.10%,0.88,0.305,0.382,0.446,0.829,0.142,7.5,0.342,0.6,89,20.5,0.378,130,sa454873
Randal Grichuk,Angels (A),18,214,4.20%,23.40%,0.18,0.292,0.327,0.525,0.852,0.233,8,0.356,0.8,34,7.9,0.378,130,10243
Carlo Testa,Royals (A),23,535,11.20%,23.40%,0.48,0.275,0.365,0.466,0.831,0.191,7.8,0.351,1.6,86,19.1,0.377,129,sa455365
Nick Franklin,Mariners (A),19,574,8.70%,21.40%,0.41,0.281,0.351,0.485,0.837,0.205,7.2,0.328,0.6,92,20.3,0.376,129,10166
Dean Anna,Padres (A),23,272,14.30%,14.70%,0.98,0.271,0.381,0.431,0.813,0.16,5.7,0.302,0.5,43,9.5,0.376,128,8353
Luke Murton,Yankees (A),24,450,8.70%,15.80%,0.55,0.283,0.362,0.465,0.827,0.182,3.4,0.316,0.4,72,18.4,0.375,134,sa502058
Jeremy Barnes,Phillies (A),23,461,12.60%,18.70%,0.67,0.292,0.383,0.441,0.824,0.149,4.9,0.358,-1.7,74,18.9,0.375,134,sa501661
Justin Bloxom,Nationals (A),22,454,5.90%,17.00%,0.35,0.309,0.355,0.476,0.831,0.167,5.6,0.353,-0.1,73,18.4,0.374,134,sa501606
Nate Freiman,Padres (A),23,594,9.80%,19.70%,0.5,0.294,0.369,0.457,0.826,0.163,1.7,0.352,0,94,20.2,0.374,127,6582
Jean Segura,Angels (A),20,581,7.70%,12.40%,0.63,0.313,0.365,0.464,0.829,0.151,8.5,0.342,5.6,92,19.4,0.374,127,5933
Niko Vasquez,Cardinals (A),21,319,17.20%,22.30%,0.77,0.242,0.381,0.425,0.805,0.183,2.7,0.292,-1.1,50,10.5,0.373,127,sa454460
Anderson Hidalgo,Twins (A),21,315,7.60%,15.90%,0.48,0.312,0.372,0.44,0.812,0.128,3.4,0.368,-3.5,49,10.2,0.373,126,sa455756
Jon Karcich,Angels (A),22,355,12.40%,17.70%,0.7,0.273,0.374,0.431,0.805,0.158,5.8,0.325,-1.7,55,11.3,0.372,126,sa501525
Jose Altuve,Astros (A),20,434,7.60%,11.30%,0.67,0.31,0.366,0.448,0.814,0.137,7.3,0.332,2,69,16.6,0.372,132,5417
Scooter Gennett,Brewers (A),20,525,5.90%,17.30%,0.34,0.311,0.356,0.465,0.821,0.154,6.2,0.365,1,82,16.6,0.371,126,10339
Sean Ochinko,Blue Jays (A),22,453,6.60%,12.80%,0.52,0.311,0.36,0.459,0.819,0.148,2.4,0.341,0.2,71,14.4,0.371,126,sa501639
Mike Flacco,Orioles (A),23,119,10.90%,14.30%,0.76,0.324,0.412,0.392,0.804,0.069,1,0.384,-0.4,19,4.5,0.371,132,sa502713
Mark Sobolewski,Blue Jays (A),23,178,5.10%,18.00%,0.28,0.313,0.343,0.488,0.831,0.175,3.1,0.361,-0.9,28,5.6,0.371,125,sa328117
Jose Duarte,Marlins (A),25,335,8.40%,16.10%,0.52,0.3,0.366,0.443,0.809,0.143,6.3,0.347,1.3,53,12.5,0.37,131,sa294238
Jose Hernandez,Pirates (A),24,437,11.70%,18.50%,0.63,0.271,0.372,0.436,0.808,0.165,2.9,0.313,-1.2,69,16.2,0.37,131,sa502113
Zoilo Almonte,Yankees (A),21,255,8.20%,25.50%,0.32,0.278,0.341,0.485,0.826,0.207,5.3,0.344,-1.1,40,9.4,0.37,131,6732
Brad Glenn,Blue Jays (A),23,447,9.20%,22.40%,0.41,0.271,0.342,0.477,0.82,0.206,6.4,0.319,0.6,69,13.4,0.369,124,7392
Jordan Lennerton,Tigers (A),24,249,12.40%,26.10%,0.48,0.29,0.386,0.402,0.787,0.112,0.8,0.401,0,38,7.4,0.369,124,sa455610
Christian Lara,Dodgers (A),25,493,9.90%,20.10%,0.49,0.29,0.359,0.453,0.812,0.163,6.6,0.353,-0.6,76,14.7,0.369,124,sa254636
Devin Goodwin,Cardinals (A),23,283,13.40%,13.80%,0.97,0.272,0.37,0.431,0.801,0.159,4.4,0.296,-0.1,44,8.4,0.369,124,sa502521
Jeremy Hazelbaker,Red Sox (A),22,508,11.60%,26.60%,0.44,0.265,0.358,0.452,0.811,0.188,8.7,0.355,5.3,79,18.3,0.369,130,sa501446
Taylor Grote,Yankees (A),21,108,14.80%,27.80%,0.53,0.278,0.383,0.422,0.805,0.144,1.9,0.39,-0.6,17,3.9,0.369,130,sa390629
Brian Conley,Orioles (A),24,414,16.90%,16.90%,1,0.267,0.391,0.398,0.788,0.131,6.9,0.317,2.8,64,14.8,0.368,130,sa455405
Jake Goebbert,Astros (A),22,591,8.80%,13.20%,0.67,0.291,0.363,0.445,0.808,0.154,5.2,0.322,1.2,92,21.1,0.368,130,9431
Justin Bour,Cubs (A),22,547,10.60%,18.30%,0.58,0.291,0.375,0.434,0.808,0.143,2.3,0.342,0.2,84,15.9,0.368,123,9744
Oliver Dominguez,Blue Jays (A),21,135,15.60%,14.10%,1.11,0.264,0.383,0.4,0.783,0.136,5.6,0.292,0.4,21,3.9,0.368,123,sa503884
Jeremie Tice,Indians (A),23,274,6.90%,21.50%,0.32,0.282,0.342,0.478,0.819,0.196,3.2,0.333,0.2,42,7.9,0.368,123,sa454601
Anthony Aliotti,Athletics (A),23,587,15.70%,22.50%,0.7,0.278,0.397,0.379,0.776,0.1,4.9,0.368,1,90,16.7,0.367,123,sa501732
Daniel Carroll,Mariners (A),21,316,6.00%,27.20%,0.22,0.279,0.354,0.446,0.8,0.167,8.5,0.376,2.2,48,8.9,0.367,123,sa390372
Ryan Goins,Blue Jays (A),22,338,10.40%,17.80%,0.58,0.305,0.377,0.414,0.791,0.108,4.5,0.37,-1.9,51,9.3,0.366,122,9807
Jared Bolden,Rangers (A),23,244,7.40%,18.40%,0.4,0.294,0.349,0.463,0.812,0.17,4.7,0.337,-2.5,38,8.3,0.366,128,sa454964
Ryan Cavan,Giants (A),23,608,8.90%,15.30%,0.58,0.283,0.352,0.451,0.803,0.168,4.8,0.313,-0.5,93,20.2,0.365,128,sa501906
Michael Wing,Angels (A),21,340,8.20%,16.50%,0.5,0.287,0.353,0.449,0.803,0.162,4.1,0.325,-3.1,51,8.9,0.364,121,sa392185
Henry Rodriguez,Reds (A),20,547,4.00%,12.80%,0.31,0.309,0.339,0.475,0.814,0.165,6.3,0.333,0.9,82,14.2,0.364,121,7983
Chris Richburg,Reds (A),24,302,6.30%,20.20%,0.31,0.251,0.328,0.476,0.804,0.225,4,0.276,0.4,45,7.8,0.364,121,sa502145
Evan Chambers,Pirates (A),21,520,17.70%,22.30%,0.79,0.239,0.384,0.386,0.77,0.147,5.7,0.3,-0.1,79,16.6,0.363,127,sa392103
J.P. Ramirez,Nationals (A),20,551,4.50%,15.10%,0.3,0.296,0.341,0.47,0.812,0.174,3.9,0.324,-1.9,83,17.2,0.362,126,sa455310
Mickey Wiswall,Mariners (A),21,147,4.10%,20.40%,0.2,0.297,0.327,0.486,0.812,0.188,2.5,0.349,0.2,22,3.6,0.362,120,sa526505
Jason Stidham,Cardinals (A),22,273,11.70%,22.00%,0.53,0.27,0.359,0.433,0.792,0.163,4.7,0.335,-1.8,41,6.6,0.362,120,sa501583
James Jones,Mariners (A),21,560,11.10%,21.80%,0.51,0.269,0.356,0.432,0.788,0.163,7.5,0.335,0.4,83,13.6,0.362,120,9767
Ian Gac,White Sox (A),24,561,8.00%,22.10%,0.36,0.278,0.339,0.464,0.803,0.187,2.5,0.327,0.2,84,17.2,0.362,126,sa244078
Ben Theriot,Royals (A),22,124,8.90%,20.20%,0.44,0.3,0.358,0.445,0.803,0.145,1.3,0.372,0,18,3,0.362,119,sa501557
Wade Gaynor,Tigers (A),22,574,8.00%,19.30%,0.41,0.286,0.354,0.436,0.789,0.15,6,0.345,0.8,85,13.6,0.361,119,sa501211
Anthony Giansanti,Cubs (A),21,114,9.60%,16.70%,0.58,0.296,0.377,0.398,0.775,0.102,2.9,0.358,0,17,2.7,0.361,119,sa503822
Kyle Colligan,White Sox (A),23,391,6.60%,18.20%,0.37,0.284,0.348,0.445,0.793,0.161,7.2,0.331,1.9,58,11.5,0.36,125,sa501676
Aaron Baker,Pirates (A),22,531,9.80%,21.70%,0.45,0.253,0.34,0.453,0.793,0.2,3.3,0.296,-1.9,79,15.4,0.36,124,sa501612
Chase Austin,Marlins (A),22,439,9.60%,16.90%,0.57,0.266,0.348,0.442,0.79,0.176,3.3,0.294,-0.9,65,12.7,0.359,124,sa501469
Ryan Lamarre,Reds (A),21,263,8.00%,20.20%,0.4,0.282,0.37,0.396,0.767,0.115,6,0.345,0.5,38,5.8,0.359,118,sa526397
Daniel Meeley,Padres (A),20,239,12.10%,19.20%,0.63,0.304,0.397,0.353,0.75,0.049,2.1,0.388,-0.3,35,5.2,0.359,118,sa549323
Jae-Hoon Ha,Cubs (A),19,309,3.20%,14.60%,0.22,0.317,0.334,0.468,0.802,0.15,5.9,0.35,0,45,6.7,0.359,118,sa502535
Luis Jimenez,Angels (A),22,184,6.00%,14.70%,0.41,0.292,0.332,0.476,0.808,0.185,8,0.329,0.3,27,4,0.359,117,6341
Angelo Songco,Dodgers (A),21,570,8.90%,16.00%,0.56,0.274,0.344,0.446,0.79,0.172,5.7,0.305,0.7,83,12.3,0.359,117,sa501270
Cory Harrilchak,Braves (A),22,251,9.60%,9.60%,1,0.306,0.38,0.393,0.773,0.087,6.4,0.335,-1,37,7,0.358,123,sa501701
Mark Fleury,Reds (A),22,427,11.70%,22.20%,0.53,0.255,0.352,0.433,0.785,0.178,4.6,0.312,0.3,62,9.1,0.358,117,sa501230
Lance Ray,Twins (A),20,199,14.10%,14.10%,1,0.273,0.372,0.412,0.784,0.139,3.2,0.302,-1.2,29,4.2,0.358,117,sa546832
Kevin Nolan,Blue Jays (A),22,326,9.80%,10.40%,0.94,0.295,0.372,0.396,0.768,0.102,4.9,0.332,-2.2,47,6.8,0.358,117,sa502042
Cristian Santana,Rangers (A),21,304,7.60%,28.60%,0.26,0.256,0.326,0.465,0.791,0.209,4.8,0.337,0,45,8.3,0.358,123,sa392969
Nelson Perez,Cubs (A),22,325,5.20%,28.30%,0.18,0.289,0.329,0.462,0.792,0.174,4.1,0.379,-0.1,47,6.7,0.358,117,sa392846
C.J. Beatty,Cardinals (A),21,285,10.90%,21.40%,0.51,0.259,0.344,0.438,0.782,0.179,4.5,0.319,-0.7,41,5.9,0.357,117,sa502408
Kyle Jensen,Marlins (A),22,529,8.70%,22.50%,0.39,0.272,0.342,0.447,0.789,0.174,3.5,0.324,0.6,78,14.4,0.357,123,sa501667
Miguel Velazquez,Rangers (A),22,310,8.40%,15.20%,0.55,0.27,0.342,0.449,0.791,0.179,5.8,0.29,0.7,46,8.4,0.357,123,sa328071
Phil Gosselin,Braves (A),21,244,10.20%,20.90%,0.49,0.294,0.374,0.393,0.767,0.098,5.6,0.377,0.2,36,6.5,0.357,122,10953
Ronald Bermudez,Red Sox (A),22,403,7.40%,20.10%,0.37,0.275,0.337,0.452,0.789,0.176,4.8,0.326,-0.4,59,10.8,0.357,122,sa455626
Travis Adair,Rangers (A),22,353,6.80%,12.50%,0.55,0.319,0.37,0.403,0.773,0.084,5.8,0.362,0.5,52,9.3,0.356,122,sa455263
Brett Nommensen,Rays (A),23,458,11.60%,14.20%,0.82,0.263,0.36,0.408,0.768,0.144,6.6,0.292,2.4,66,9,0.356,116,sa501600
Danny Payne,Padres (A),24,477,15.50%,22.40%,0.69,0.246,0.366,0.398,0.765,0.152,8.6,0.317,5,69,9.3,0.356,116,sa388383
Casey Haerther,Angels (A),22,471,6.20%,15.30%,0.4,0.307,0.352,0.432,0.784,0.125,4.4,0.35,0.2,68,9,0.356,115,sa501491
Jeff Rowland,Tigers (A),22,252,13.50%,20.20%,0.67,0.281,0.383,0.367,0.75,0.086,6.4,0.363,-0.3,36,4.8,0.355,115,sa502026
Greg Rohan,Cubs (A),24,323,7.10%,15.80%,0.45,0.295,0.351,0.425,0.776,0.13,3.7,0.339,-0.7,46,6.1,0.355,115,sa502095
Rashun Dixon,Athletics (A),19,515,11.30%,26.20%,0.43,0.275,0.371,0.383,0.754,0.108,4.6,0.376,-1.3,74,9.6,0.355,115,sa455106
Elvys Gonzalez,Pirates (A),20,276,11.20%,17.40%,0.65,0.275,0.354,0.424,0.778,0.148,5.2,0.317,-3,40,7,0.355,121,sa495744
Eliezer Mesa,Rockies (A),21,529,7.40%,17.20%,0.43,0.301,0.356,0.419,0.775,0.118,8,0.368,1.2,77,13.4,0.355,121,sa455629
Jeremy Cruz,Angels (A),23,292,6.20%,21.60%,0.29,0.285,0.332,0.452,0.784,0.167,5.8,0.347,-1.4,42,5.3,0.354,115,sa501778
Luke Anders,Giants (A),23,552,7.80%,26.60%,0.29,0.285,0.34,0.443,0.783,0.158,3.6,0.374,-1.4,80,13.6,0.354,121,sa454737
Jedd Gyorko,Padres (A),21,183,10.40%,16.90%,0.61,0.284,0.366,0.389,0.755,0.105,2.6,0.341,0.2,26,3.3,0.354,114,10816
Robert Lyerly,Yankees (A),22,542,6.30%,23.80%,0.26,0.312,0.352,0.425,0.778,0.113,3.4,0.403,-1.1,78,13.2,0.354,120,sa501552
Brett Newsome,Nationals (A),23,366,11.70%,21.00%,0.56,0.273,0.374,0.381,0.755,0.108,4.3,0.356,-1.3,53,8.9,0.354,120,sa455969
Jonathan Galvez,Padres (A),19,466,12.40%,26.00%,0.48,0.259,0.36,0.397,0.757,0.138,6,0.346,0.5,66,8.1,0.354,114,sa502621
A.J. Jimenez,Blue Jays (A),20,292,6.20%,19.20%,0.32,0.305,0.347,0.435,0.782,0.13,5,0.362,1.4,41,4.8,0.352,113,sa454887
Jared Prince,Rangers (A),24,525,10.90%,11.40%,0.95,0.268,0.368,0.387,0.755,0.119,2.5,0.291,-1,75,12.2,0.352,119,sa502557
Carlos Martinez,Rockies (A),21,188,10.10%,28.70%,0.35,0.274,0.362,0.396,0.758,0.122,5.8,0.389,-0.1,27,4.4,0.352,119,sa392984
Orlando Sandoval,Rockies (A),24,388,7.70%,26.50%,0.29,0.279,0.358,0.41,0.767,0.131,5.8,0.386,-3,55,9,0.352,119,sa392986
Eric Oliver,Angels (A),23,190,11.10%,13.70%,0.81,0.245,0.374,0.361,0.735,0.116,2.1,0.273,0,27,3.1,0.352,113,sa502916
Derrick Fitzgerald,Cubs (A),21,419,9.30%,21.20%,0.44,0.283,0.351,0.413,0.764,0.13,6.3,0.356,-0.6,59,6.8,0.352,113,sa502133
Chris Dominguez,Giants (A),23,608,5.80%,21.90%,0.26,0.272,0.326,0.456,0.782,0.184,5.5,0.321,-0.1,87,13.8,0.351,119,9718
Robbie Shields,Mets (A),22,173,5.80%,19.70%,0.29,0.284,0.326,0.451,0.776,0.167,6.4,0.333,0.8,25,3.9,0.351,119,sa501250
Micheal Dabbs,Phillies (A),23,157,5.70%,17.20%,0.33,0.297,0.365,0.391,0.757,0.094,6.7,0.357,-0.7,22,3.5,0.351,118,sa501974
Edgar Lara,Cardinals (A),21,398,11.10%,36.40%,0.3,0.239,0.324,0.452,0.776,0.213,3.6,0.351,-0.9,55,5.8,0.35,112,sa328986
Tony Plagman,Tigers (A),22,273,8.10%,17.20%,0.47,0.272,0.337,0.436,0.773,0.165,4.5,0.313,0.2,38,3.9,0.349,111,sa503690
Wilmer Flores,Mets (A),18,307,7.50%,12.10%,0.62,0.278,0.342,0.433,0.775,0.155,3.6,0.298,0,43,6.2,0.348,117,5827
Bobby Borchering,Diamondbacks (A),19,588,9.20%,21.80%,0.42,0.268,0.339,0.421,0.76,0.153,2.8,0.325,-0.3,81,7.5,0.348,110,sa500727
Adam Abraham,Indians (A),23,443,7.70%,16.90%,0.45,0.264,0.33,0.43,0.76,0.167,3.8,0.295,0.3,61,5.6,0.347,110,sa454574
Casey Frawley,Indians (A),22,545,8.10%,17.80%,0.45,0.262,0.331,0.43,0.761,0.168,6.6,0.301,-0.2,74,6.6,0.347,110,sa501956
Myrio Richard,Athletics (A),21,406,9.40%,14.30%,0.66,0.281,0.359,0.382,0.741,0.1,4.8,0.33,-0.9,55,4.9,0.347,110,sa501560
William Alvino,Tigers (A),22,105,14.30%,5.70%,2.5,0.262,0.398,0.298,0.696,0.036,2.8,0.282,0.2,14,1.2,0.346,110,sa504424
Cesar Puello,Mets (A),19,469,6.80%,17.50%,0.39,0.292,0.375,0.359,0.734,0.067,7.3,0.363,4.9,65,8.7,0.346,116,sa455741
Matthew Cerda,Cubs (A),20,532,12.80%,12.80%,1,0.271,0.365,0.377,0.742,0.106,5.5,0.304,0.3,72,6.1,0.346,109,sa454530
Dennis Raben,Mariners (A),22,175,8.60%,28.00%,0.31,0.221,0.32,0.45,0.77,0.228,4.3,0.263,-0.4,24,2,0.346,109,sa454440
David Rubinstein,Pirates (A),23,480,6.50%,19.80%,0.33,0.289,0.347,0.409,0.755,0.12,6,0.359,0.9,66,8.8,0.346,115,sa454697
Nick Ciolli,White Sox (A),22,467,3.60%,26.30%,0.14,0.296,0.32,0.451,0.771,0.155,5.9,0.379,-0.5,64,8.4,0.345,115,sa501654
Bennett Davis,Rays (A),24,157,14.00%,24.20%,0.58,0.244,0.372,0.346,0.718,0.102,5,0.318,0.5,21,1.7,0.345,109,sa502800
Michael Gonzales,Twins (A),22,370,9.70%,28.90%,0.34,0.236,0.322,0.436,0.757,0.199,1.6,0.308,0,50,4,0.345,109,sa455046
Justin Bass,Marlins (A),24,433,6.20%,22.60%,0.28,0.24,0.312,0.451,0.763,0.211,5.5,0.27,0.6,59,7.6,0.345,115,sa454993
Daniel Rams,Twins (A),21,450,6.90%,32.20%,0.21,0.246,0.312,0.452,0.764,0.206,4.3,0.339,0.2,61,4.8,0.345,109,sa390353
Chris Kersten,Indians (A),24,269,5.90%,27.90%,0.21,0.24,0.31,0.455,0.764,0.215,3.1,0.29,-1.1,36,2.7,0.344,108,sa502606
Nick Liles,Giants (A),22,564,6.40%,10.80%,0.59,0.316,0.361,0.387,0.747,0.07,6.5,0.353,1.2,77,9.5,0.344,114,sa328424
Stephen Batts,Phillies (A),24,348,7.20%,28.40%,0.25,0.282,0.338,0.415,0.753,0.133,6.2,0.393,0.2,48,5.8,0.344,114,sa502065
Chris Owings,Diamondbacks (A),18,271,3.30%,18.50%,0.18,0.294,0.32,0.443,0.763,0.149,4.3,0.345,-1.1,36,2.6,0.343,108,10030
Ryan Schimpf,Blue Jays (A),22,395,9.90%,24.30%,0.41,0.24,0.332,0.418,0.751,0.178,6.6,0.313,-0.9,53,3.7,0.343,107,sa501472
Dallas Tarleton,Rockies (A),22,286,15.40%,31.80%,0.48,0.251,0.372,0.349,0.721,0.098,2.3,0.389,-1.3,39,4.6,0.343,113,sa502006
Tyreace House,Athletics (A),22,543,17.70%,16.20%,1.09,0.245,0.396,0.29,0.686,0.045,6.6,0.304,1.7,72,4.7,0.342,107,sa454727
Steve Bumbry,Orioles (A),22,421,9.00%,30.90%,0.29,0.266,0.34,0.409,0.748,0.142,5.3,0.394,-3.4,57,6.6,0.342,113,sa501637
Wande Olabisi,Padres (A),22,236,10.20%,30.90%,0.33,0.256,0.347,0.382,0.729,0.126,6.8,0.377,1.2,31,1.9,0.342,107,sa502648
