Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Scott Elbert,Dodgers (AA),26,2,27,0,6,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.86,2.86,7489
Ruben Mejia,Padres (AA),20,0.2,27,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-2.72,2.72,sa507282
Adam Russell,Angels (AA),29,1,27,0,3,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.72,2.72,7334
Joba Chamberlain,Yankees (AA),26,1.1,20.25,0,3,0,50.00%,0.00%,50.00%,0.167,0.75,0.333,100.00%,0,-1.3,1.3,2692
Andrew Bailey,Red Sox (AA),28,1,18,0,2,0,33.30%,0.00%,33.30%,0.5,3,0.75,66.70%,9,-0.8,9.8,1368
Brian Fuentes,Cardinals (AA),36,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.72,0.72,429
Michael Wacha,Cardinals (AA),21,8,19.13,3.38,5.67,0,56.70%,10.00%,46.70%,0.111,0.75,0.3,83.30%,1.13,0.16,0.97,14078
Juan Cruz,Pirates (AA),33,1.1,13.5,0,2,0,22.20%,0.00%,22.20%,0.556,3.75,0.714,60.00%,13.5,0.2,13.3,273
Chris Carpenter,Red Sox (AA),26,2,13.5,0,3,0,37.50%,0.00%,37.50%,0.25,1,0.4,50.00%,4.5,0.2,4.3,8556
Greg Holland,Royals (AA),26,2,13.5,0,3,0,42.90%,0.00%,42.90%,0.143,0.5,0.25,0.00%,0,0.28,-0.28,7196
Jeremy Berg,Angels (AA),25,4,13.5,0,6,0,42.90%,0.00%,42.90%,0.286,1,0.5,100.00%,0,0.28,-0.28,sa510226
David Phelps,Yankees (AA),25,6.2,14.85,1.35,11,0,50.00%,4.60%,45.50%,0.048,0.3,0.1,100.00%,0,0.35,-0.35,6316
Andrew Carpenter,Mets (AA),27,5,18,3.6,5,0,47.60%,9.50%,38.10%,0.211,1.2,0.444,100.00%,0,0.4,-0.4,9533
Stu Pomeranz,Orioles (AA),27,13.1,13.5,0.68,20,0,41.70%,2.10%,39.60%,0.149,0.6,0.259,75.00%,0,0.43,-0.43,6382
Nick Vincent,Padres (AA),25,9.2,13.97,0,15,0,44.10%,0.00%,44.10%,0.121,0.41,0.222,60.00%,1.86,0.49,1.38,7555
Jason Ray,Padres (AA),27,8,19.13,4.5,4.25,0,48.60%,11.40%,37.10%,0.226,1.38,0.5,54.60%,4.5,0.53,3.97,sa291703
Jose Dominguez,Dodgers (AA),21,7,11.57,0,9,0,39.10%,0.00%,39.10%,0.087,0.29,0.143,50.00%,1.29,0.57,0.71,11571
Jeremy Jeffress,Royals (AA),24,1.1,20.25,6.75,3,0,60.00%,20.00%,40.00%,0,0.75,0,100.00%,0,1.03,-1.03,9490
Tim Kennelly,Phillies (AA),25,2.1,15.43,3.86,4,0,40.00%,10.00%,30.00%,0.111,0.86,0.2,100.00%,0,1.06,-1.06,sa293973
Stephen Pryor,Mariners (AA),22,16,13.5,2.81,4.8,0,39.30%,8.20%,31.20%,0.125,0.75,0.219,75.00%,1.13,1.08,0.04,10663
Tim Dillard,Brewers (AA),28,5,14.4,1.8,8,0,36.40%,4.60%,31.80%,0.25,1.2,0.417,57.10%,5.4,1.14,4.26,5518
Jaye Chapman,Cubs (AA),25,2,9,0,2,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.14,-1.14,9096
Gregory Infante,White Sox (AA),24,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.14,-1.14,9119
Barrett Kleinknecht,Braves (AA),23,2,9,0,2,0,28.60%,0.00%,28.60%,0.143,0.5,0.2,100.00%,0,1.14,-1.14,sa549102
Joseph Zeller,Cubs (AA),24,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.14,-1.14,sa549464
Steve Geltz,Angels (AA),24,25.1,13.14,2.13,6.17,0,39.00%,6.30%,32.60%,0.148,0.75,0.255,95.00%,0.36,1.19,-0.83,8402
Sean Doolittle,Athletics (AA),25,11,15.55,3.27,4.75,0,46.30%,9.80%,36.60%,0.056,0.55,0.118,71.40%,0.82,1.19,-0.37,1581
Tommy Kahnle,Yankees (AA),22,2,9,0,2,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.2,-1.2,11384
Jesse Carlson,Red Sox (AA),31,1,9,0,1,0,14.30%,0.00%,14.30%,0.714,5,0.833,40.00%,27,1.2,25.8,4391
Rich Hill,Red Sox (AA),32,1,9,0,1,0,25.00%,0.00%,25.00%,0.25,1,0.333,100.00%,0,1.2,-1.2,4806
Andrew Cashner,Padres (AA),25,14.1,13.81,1.88,7.33,0,39.30%,5.40%,33.90%,0.196,0.91,0.345,80.00%,1.88,1.26,0.63,8782
Jameson Taillon,Pirates (AA),20,17,9.53,0.53,18,0,29.00%,1.60%,27.40%,0.18,0.71,0.256,75.00%,1.59,1.26,0.33,sa548151
Christian Garcia,Nationals (AA),26,20,12.6,2.7,4.67,0,35.00%,7.50%,27.50%,0.189,1,0.304,70.00%,1.8,1.3,0.5,4067
Michael Olmsted,Red Sox (AA),25,20,13.95,3.15,4.43,0,38.80%,8.80%,30.00%,0.153,0.9,0.268,73.70%,0.9,1.3,-0.4,sa390636
Bobby Lafromboise,Mariners (AA),26,26.2,10.8,1.69,6.4,0,31.40%,4.90%,26.50%,0.155,0.75,0.231,80.00%,1.01,1.31,-0.29,7758
Mark Montgomery,Yankees (AA),21,24,14.25,2.25,6.33,0.38,41.80%,6.60%,35.20%,0.141,0.75,0.239,78.30%,1.88,1.33,0.55,sa598328
Donnie Joseph,Reds (AA),24,30.1,13.65,2.37,5.75,0.3,41.10%,7.10%,33.90%,0.126,0.69,0.214,87.40%,0.89,1.43,-0.54,6491
Paco Rodriguez,Dodgers (AA),21,13.2,14.49,3.95,3.67,0,40.00%,10.90%,29.10%,0.146,0.95,0.269,85.70%,1.32,1.46,-0.14,13398
Philip Humber,White Sox (AA),29,6,7.5,0,5,0,25.00%,0.00%,25.00%,0.1,0.33,0.133,50.00%,1.5,1.48,0.02,8586
Daisuke Matsuzaka,Red Sox (AA),31,4.2,13.5,3.86,3.5,0,41.20%,11.80%,29.40%,0.2,1.07,0.375,80.00%,1.93,1.49,0.44,7775
Henry Rodriguez,Nationals (AA),25,3,12,3,4,0,40.00%,10.00%,30.00%,0,0.33,0,100.00%,0,1.54,-1.54,6371
Arnold Leon,Athletics (AA),23,15.2,10.34,1.72,6,0,28.10%,4.70%,23.40%,0.279,1.28,0.395,75.00%,2.3,1.56,0.74,sa421188
Carter Capps,Mariners (AA),21,50,12.96,2.16,6,0.36,35.50%,5.90%,29.60%,0.211,1.04,0.328,89.60%,1.26,1.56,-0.3,12803
Chase Whitley,Yankees (AA),23,3.2,14.73,4.91,3,0,42.90%,14.30%,28.60%,0.083,0.82,0.167,100.00%,0,1.57,-1.57,10982
Peter Moylan,Braves (AA),33,1.1,6.75,0,1,0,20.00%,0.00%,20.00%,0,0,0,100.00%,0,1.64,-1.64,4891
Michael Gunter,White Sox (AA),21,3.1,10.8,2.7,4,0,30.80%,7.70%,23.10%,0.167,0.9,0.25,66.70%,2.7,1.64,1.06,sa693349
Deolis Guerra,Twins (AA),23,13.2,9.88,1.32,7.5,0,30.00%,4.00%,26.00%,0.149,0.66,0.219,70.00%,1.98,1.67,0.31,sa325009
Ryan Mattheus,Nationals (AA),28,2,13.5,4.5,3,0,37.50%,12.50%,25.00%,0,0.5,0,0.00%,4.5,1.7,2.8,7169
Matt Langwell,Indians (AA),26,14.1,11.3,3.14,3.6,0,34.00%,9.40%,24.50%,0.208,1.05,0.333,86.70%,0.63,1.74,-1.11,8130
Ben Sheets,Braves (AA),33,10.2,8.44,0.84,10,0,22.20%,2.20%,20.00%,0.279,1.22,0.364,50.00%,5.06,1.83,3.23,710
Wilmer Font,Rangers (AA),22,15,17.4,4.2,4.14,0.6,46.80%,11.30%,35.50%,0.167,1.07,0.333,76.90%,3,1.88,1.12,5257
Steven Ames,Dodgers (AA),24,63.1,10.23,1.85,5.54,0.28,28.80%,5.20%,23.60%,0.219,1.03,0.307,86.80%,1.56,1.9,-0.33,9615
Kyler Newby,Orioles (AA),27,55.1,12.04,3.42,3.52,0.16,33.20%,9.40%,23.80%,0.188,1.07,0.291,71.20%,2.44,1.9,0.54,sa288761
Ian Krol,Athletics (AA),21,10.2,8.44,1.69,5,0,24.40%,4.90%,19.50%,0.282,1.22,0.379,53.90%,5.06,1.97,3.09,10066
Matt Gorgen,Diamondbacks (AA),25,35,12.6,4.63,2.72,0,32.90%,12.10%,20.80%,0.208,1.29,0.333,73.90%,2.83,1.97,0.86,sa454749
Evan Reed,Marlins (AA),26,34.2,11.16,2.86,3.91,0.26,31.40%,8.00%,23.40%,0.191,1.01,0.281,74.40%,2.34,1.99,0.35,1349
Caleb Thielbar,Twins (AA),25,25,9.36,1.08,8.67,0.36,27.40%,3.20%,24.20%,0.196,0.84,0.262,81.60%,1.8,2,-0.2,10078
Matt Bywater,Orioles (AA),23,5,5.4,0,3,0,17.70%,0.00%,17.70%,0.118,0.4,0.143,100.00%,0,2,-2,sa548356
Jeff Ibarra,Padres (AA),24,24,9,1.88,4.8,0,23.30%,4.90%,18.50%,0.227,1.13,0.301,82.10%,0.75,2.03,-1.28,sa502106
A.J. Ramos,Marlins (AA),25,68.2,11.67,2.75,4.24,0.39,34.10%,8.10%,26.10%,0.15,0.83,0.223,81.40%,1.44,2.04,-0.6,8350
Cole Cook,Indians (AA),23,4.1,8.31,2.08,4,0,22.20%,5.60%,16.70%,0.235,1.15,0.308,80.00%,2.08,2.05,0.03,sa526300
