Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Eric O'Flaherty,Athletics (A+),29,1,27,0,3,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.26,2.26,5746
Hunter Strickland,Giants (A+),25,3,21,0,7,0,63.60%,0.00%,63.60%,0.182,0.67,0.5,50.00%,3,-0.92,3.92,7836
Cam Bedrosian,Angels (A+),22,5.2,23.82,3.18,7.5,0,75.00%,10.00%,65.00%,0.056,0.53,0.333,100.00%,0,-0.49,0.49,13360
Mike Morin,Angels (A+),23,1,18,0,2,0,50.00%,0.00%,50.00%,0.25,1,0.5,100.00%,0,-0.26,0.26,13442
Alex Cobb,Rays (A+),26,5,16.2,0,9,0,52.90%,0.00%,52.90%,0.177,0.6,0.375,100.00%,0,-0.21,0.21,6562
Jacob Lindgren,Yankees (A+),21,7.1,20.86,4.91,4.25,0,54.80%,12.90%,41.90%,0.111,0.95,0.3,85.70%,0,0.39,-0.39,sa598758
Dan Jennings,Marlins (A+),27,6,12,0,8,0,36.40%,0.00%,36.40%,0.136,0.5,0.214,100.00%,0,0.72,-0.72,8073
William Anderson,Cardinals (A+),21,3,12,0,4,0,33.30%,0.00%,33.30%,0.333,1.33,0.5,75.00%,0,0.72,-0.72,sa550072
Daniel Renken,Reds (A+),24,0.2,13.5,0,1,0,33.30%,0.00%,33.30%,0.333,1.5,0.5,100.00%,0,0.74,-0.74,sa549725
Arismendy Ozoria,Dodgers (A+),23,2.2,13.5,0,4,0,36.40%,0.00%,36.40%,0.273,1.13,0.429,100.00%,0,0.74,-0.74,sa506958
Andrew Cashner,Padres (A+),27,2,13.5,0,3,0,42.90%,0.00%,42.90%,0.143,0.5,0.25,100.00%,0,0.74,-0.74,8782
Mike Adams,Phillies (A+),35,2.2,16.88,3.38,5,0,41.70%,8.30%,33.30%,0.273,1.5,0.5,75.00%,3.38,0.77,2.61,1937
Caleb Cotham,Yankees (A+),26,4.1,10.38,0,5,0,33.30%,0.00%,33.30%,0.2,0.69,0.3,100.00%,0,1.08,-1.08,sa501483
Christopher Thomas,Cardinals (A+),26,9.2,13.03,1.86,7,0,37.80%,5.40%,32.40%,0.171,0.83,0.286,75.00%,1.86,1.12,0.75,sa659320
Taijuan Walker,Mariners (A+),21,4.1,14.54,2.08,7,0,38.90%,5.60%,33.30%,0.235,1.15,0.4,60.00%,2.08,1.2,0.87,11836
Tyler Webb,Yankees (A+),23,13,11.77,0.69,17,0,35.40%,2.10%,33.30%,0.152,0.62,0.241,55.60%,2.77,1.24,1.53,sa602910
Nick Burdi,Twins (A+),21,7.1,14.73,2.45,6,0,42.90%,7.10%,35.70%,0.2,0.95,0.385,100.00%,0,1.35,-1.35,sa599297
