Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Denis Phipps,Reds (A+),24,103,9.70%,18.40%,0.53,0.333,0.398,0.72,1.118,0.387,8.6,0.348,1.4,25,12.6,0.484,202,6968
Brandon Belt,Giants (A+),22,334,17.40%,15.00%,1.16,0.381,0.491,0.626,1.117,0.244,6.8,0.437,0.6,85,40.3,0.483,190,10264
Kyle Russell,Dodgers (A+),24,239,13.40%,26.80%,0.5,0.354,0.448,0.692,1.14,0.338,6.5,0.443,0.4,60,28,0.479,188,sa454496
Nate Tenbrink,Mariners (A+),23,201,10.90%,16.40%,0.67,0.383,0.455,0.651,1.106,0.269,8.2,0.436,2.5,50,23.1,0.476,186,sa454946
Dennis Raben,Mariners (A+),22,179,8.40%,26.30%,0.32,0.356,0.413,0.675,1.088,0.319,4.2,0.437,0.1,42,18.2,0.461,176,sa454440
Devin Mesoraco,Reds (A+),22,181,10.50%,16.00%,0.66,0.335,0.414,0.614,1.028,0.278,4.2,0.358,-0.3,39,17.6,0.451,181,5666
Clay Fuller,Angels (A+),23,184,11.40%,24.50%,0.47,0.331,0.434,0.565,0.999,0.234,8.7,0.437,1.1,40,15,0.437,161,sa326722
Wil Myers,Royals (A+),19,247,15.00%,15.80%,0.95,0.346,0.453,0.512,0.966,0.166,3.2,0.411,-0.7,51,21.2,0.437,172,10047
Chun-Hsiu Chen,Indians (A+),21,217,17.50%,16.60%,1.06,0.32,0.442,0.517,0.96,0.198,3.5,0.366,0.6,44,17.7,0.432,168,sa455954
Eric Hosmer,Royals (A+),20,375,11.70%,10.40%,1.13,0.354,0.429,0.545,0.974,0.191,6.4,0.382,2,75,30.1,0.43,167,3516
Brett Jackson,Cubs (A+),21,312,13.80%,20.20%,0.68,0.316,0.42,0.517,0.937,0.202,7.1,0.395,-0.7,59,24.4,0.427,170,9632
Lee Cruz,Astros (A+),27,292,3.40%,15.10%,0.23,0.354,0.38,0.609,0.99,0.255,4.8,0.374,-0.7,59,20.3,0.423,152,sa327128
Cody Overbeck,Phillies (A+),24,242,11.20%,21.10%,0.53,0.302,0.38,0.553,0.934,0.251,2.1,0.353,-0.2,45,18.2,0.423,167,sa454914
Paul Goldschmidt,Diamondbacks (A+),22,599,9.50%,26.90%,0.35,0.314,0.384,0.606,0.99,0.291,4.7,0.385,0.8,121,40.7,0.422,151,9218
