Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Giancarlo Stanton,Marlins (AA),20,240,18.30%,22.10%,0.83,0.313,0.442,0.729,1.171,0.417,4.3,0.325,0.2,59,30.3,0.494,206,4949
Mike Moustakas,Royals (AA),21,298,8.70%,14.10%,0.62,0.347,0.413,0.687,1.1,0.34,2.2,0.342,-0.3,68,32.9,0.473,194,4892
Matt Rizzotti,Phillies (AA),24,310,12.90%,18.10%,0.71,0.357,0.448,0.628,1.076,0.271,1.8,0.407,-0.2,73,34.8,0.47,192,sa389429
Paul Mcanulty,Angels (AA),29,176,13.60%,20.50%,0.67,0.331,0.426,0.649,1.075,0.318,3.3,0.35,-0.6,40,18.8,0.468,191,4409
Clint Robinson,Royals (AA),25,548,10.60%,15.70%,0.67,0.335,0.41,0.625,1.035,0.289,4.3,0.357,-0.7,117,52.3,0.454,181,6908
Tagg Bozied,Phillies (AA),30,410,11.50%,20.70%,0.55,0.315,0.402,0.631,1.033,0.315,2.6,0.347,-1.1,89,38.8,0.447,177,sa201378
Brandon Belt,Giants (AA),22,201,10.90%,16.90%,0.65,0.337,0.413,0.623,1.036,0.286,5,0.373,0,44,19,0.447,177,10264
Brandon Guyer,Cubs (AA),24,410,6.60%,12.40%,0.53,0.344,0.398,0.588,0.986,0.244,8.8,0.371,4.7,82,33.3,0.437,168,2636
Mike Wilson,Mariners (AA),27,127,15.70%,26.80%,0.59,0.292,0.402,0.585,0.986,0.292,6.1,0.354,0.2,25,10.2,0.437,168,3806
Tommy Pham,Cardinals (AA),22,140,12.90%,20.00%,0.64,0.339,0.429,0.537,0.966,0.198,5.1,0.422,0,28,11.5,0.437,169,2967
Starlin Castro,Cubs (AA),20,121,7.40%,9.10%,0.82,0.367,0.413,0.56,0.973,0.193,6.4,0.394,-1.3,24,9.3,0.432,164,4579
Robinson Chirinos,Cubs (AA),26,318,13.20%,11.00%,1.2,0.314,0.409,0.576,0.985,0.261,2.5,0.308,-1.9,62,24.3,0.431,164,3142
Eric Hosmer,Royals (AA),20,211,7.10%,12.80%,0.56,0.313,0.365,0.615,0.98,0.303,6.4,0.31,0.2,41,16.1,0.43,165,3516
Dave Sappelt,Reds (AA),23,372,8.30%,12.40%,0.67,0.361,0.416,0.548,0.964,0.188,6.2,0.394,-2.5,72,27.9,0.43,163,6898
Domonic Brown,Phillies (AA),22,271,10.70%,18.80%,0.57,0.318,0.391,0.602,0.993,0.284,6.8,0.345,-0.2,54,21.4,0.428,165,3154
Zach Lutz,Mets (AA),24,263,12.50%,24.00%,0.52,0.289,0.389,0.578,0.967,0.289,1.9,0.331,-0.9,52,20,0.425,162,3735
Bronson Sardinha,Rockies (AA),27,323,16.10%,15.50%,1.04,0.299,0.415,0.526,0.941,0.228,5.4,0.335,0,61,23,0.423,160,3585
Devin Mesoraco,Reds (AA),22,212,8.50%,17.50%,0.49,0.294,0.363,0.594,0.957,0.299,6.1,0.3,0.2,40,14.2,0.42,156,5666
Corey Brown,Athletics (AA),24,386,13.50%,24.10%,0.56,0.32,0.415,0.502,0.916,0.181,7.8,0.419,3.5,71,25.2,0.415,155,2650
Aaron Luna,Cardinals (AA),23,408,15.40%,17.90%,0.86,0.27,0.426,0.47,0.897,0.201,5.1,0.306,0.7,74,26.2,0.414,154,sa454788
Russ Canzler,Cubs (AA),24,411,11.20%,23.10%,0.48,0.287,0.372,0.566,0.938,0.279,5.3,0.332,-0.7,75,25.7,0.414,152,8265
Rene Rivera,Yankees (AA),26,103,6.80%,16.50%,0.41,0.319,0.369,0.585,0.954,0.266,1.1,0.342,0,19,6.8,0.412,154,3648
Alex Presley,Pirates (AA),24,269,7.10%,12.30%,0.58,0.35,0.399,0.533,0.932,0.183,6.6,0.385,0.6,51,17.8,0.412,154,5305
Jerad Head,Indians (AA),27,263,6.80%,17.50%,0.39,0.312,0.366,0.578,0.944,0.266,3.5,0.33,0,49,17.3,0.411,154,8517
Ryan Kalish,Red Sox (AA),22,183,15.30%,11.50%,1.33,0.293,0.404,0.527,0.931,0.233,7.3,0.29,2,34,11.8,0.41,153,6962
Adrian Cardenas,Athletics (AA),22,236,14.00%,9.70%,1.43,0.345,0.436,0.469,0.906,0.124,2.8,0.368,-1.6,42,14.4,0.41,152,9514
Lucas Duda,Mets (AA),24,197,14.70%,13.70%,1.07,0.286,0.411,0.503,0.914,0.217,3.1,0.31,0.2,37,12.5,0.409,152,2502
Matt Carpenter,Cardinals (AA),24,472,13.60%,18.60%,0.73,0.316,0.412,0.487,0.9,0.172,5.6,0.377,1.5,84,28.3,0.409,151,8090
Sean Ratliff,Mets (AA),23,311,7.40%,23.20%,0.32,0.317,0.371,0.562,0.933,0.246,2.2,0.372,-0.7,57,19.2,0.407,151,sa454533
Brandon Douglas,Tigers (AA),24,159,6.90%,10.70%,0.65,0.359,0.405,0.503,0.909,0.145,6.8,0.403,0.3,29,9.7,0.405,150,sa455065
Joe Mahoney,Orioles (AA),23,209,8.10%,18.70%,0.44,0.319,0.378,0.545,0.922,0.225,6.4,0.364,1.2,38,12.5,0.404,149,8179
Andrew Brown,Cardinals (AA),25,407,10.10%,24.10%,0.42,0.291,0.371,0.526,0.897,0.235,2.9,0.344,-0.5,71,22.7,0.403,147,3837
Jared Goedert,Indians (AA),25,186,8.60%,18.80%,0.46,0.325,0.382,0.54,0.922,0.215,3.5,0.365,0.4,34,10.9,0.403,148,sa327086
David Adams,Yankees (AA),23,173,10.40%,17.90%,0.58,0.309,0.393,0.507,0.9,0.197,7.4,0.373,0.1,31,10,0.402,147,7389
Lee Mitchell,Marlins (AA),28,271,8.50%,25.10%,0.34,0.31,0.374,0.525,0.899,0.215,5.9,0.399,0.6,47,14.2,0.401,144,sa225991
Hector Gimenez,Pirates (AA),27,392,11.70%,18.40%,0.64,0.305,0.384,0.533,0.916,0.228,3.3,0.34,0.8,70,21.8,0.399,145,2172
Steve Lombardozzi,Nationals (AA),21,118,10.20%,12.70%,0.8,0.295,0.373,0.524,0.897,0.229,6.9,0.306,-0.1,21,6.4,0.397,144,5422
Brahiam Maldonado,Mets (AA),24,279,6.80%,30.10%,0.23,0.284,0.348,0.56,0.908,0.276,6.9,0.373,0.5,49,14.9,0.396,144,sa254474
Nick Weglarz,Indians (AA),22,164,13.40%,15.90%,0.85,0.283,0.384,0.507,0.891,0.225,2.7,0.299,0.2,29,8.7,0.396,144,sa294342
Steven Hill,Cardinals (AA),25,406,9.40%,22.20%,0.42,0.28,0.352,0.543,0.895,0.263,3.2,0.313,0.3,68,20.2,0.396,142,8211
Jason Kipnis,Indians (AA),23,355,8.70%,17.20%,0.51,0.311,0.385,0.502,0.887,0.19,7.1,0.361,1,62,18.8,0.396,143,9776
Wilin Rosario,Rockies (AA),21,297,7.10%,19.20%,0.37,0.285,0.342,0.552,0.894,0.267,3.2,0.297,0.3,50,14.7,0.395,142,8002
Brandon Roberts,Twins (AA),25,146,13.70%,12.30%,1.11,0.316,0.441,0.404,0.844,0.088,7.5,0.361,1.4,25,7.6,0.394,143,sa291146
Ryan Lavarnway,Red Sox (AA),22,190,13.70%,22.10%,0.62,0.285,0.395,0.494,0.888,0.209,1.2,0.336,0,33,9.9,0.394,143,8879
Eric Thames,Blue Jays (AA),23,573,8.90%,21.10%,0.42,0.288,0.37,0.526,0.896,0.238,5.8,0.327,-0.6,100,29.6,0.394,142,3711
Brian Jeroloman,Blue Jays (AA),25,319,21.60%,28.50%,0.76,0.261,0.429,0.412,0.842,0.151,1.2,0.385,-0.5,55,16.3,0.393,142,sa326780
Evan Bigley,Twins (AA),23,118,2.50%,18.60%,0.14,0.336,0.356,0.54,0.896,0.204,4,0.386,-0.9,20,6,0.393,142,sa455109
Jerry Sands,Dodgers (AA),22,303,10.90%,20.50%,0.53,0.27,0.36,0.529,0.889,0.259,6.1,0.286,0.8,50,14,0.393,139,4016
Jeff Baisley,Athletics (AA),27,224,8.50%,23.70%,0.36,0.325,0.384,0.492,0.876,0.168,3.6,0.414,-0.2,37,10.5,0.392,140,9684
Nick Evans,Mets (AA),24,391,10.20%,16.60%,0.62,0.294,0.366,0.527,0.893,0.233,2,0.317,-0.4,67,19.5,0.392,141,7595
Jamie Romak,Royals (AA),24,160,11.90%,18.80%,0.63,0.278,0.389,0.459,0.847,0.18,2.4,0.32,-1.2,26,7.4,0.391,139,5552
Johnny Giavotella,Royals (AA),22,597,10.20%,11.20%,0.91,0.322,0.395,0.46,0.855,0.138,5.4,0.354,-0.1,98,27.4,0.391,139,6740
Josh Satin,Mets (AA),25,332,10.80%,21.40%,0.51,0.308,0.395,0.472,0.867,0.164,3.5,0.384,0.2,57,16.2,0.39,140,6788
Lorenzo Cain,Brewers (AA),24,280,12.10%,18.60%,0.65,0.324,0.409,0.434,0.843,0.111,8.3,0.402,3.3,45,11.9,0.388,136,9077
Johan Limonta,Mariners (AA),26,554,9.90%,18.80%,0.53,0.302,0.377,0.481,0.858,0.179,3.4,0.357,-0.7,90,23.6,0.388,136,sa328092
Chris Denove,Reds (AA),27,167,9.60%,14.40%,0.67,0.313,0.383,0.467,0.85,0.153,4,0.352,0.6,27,6.9,0.387,135,sa294097
Devin Ivany,Nationals (AA),27,100,12.00%,27.00%,0.44,0.289,0.388,0.47,0.858,0.181,2.6,0.377,-0.2,17,4.6,0.387,137,sa254355
Tim Torres,Marlins (AA),26,399,14.30%,22.10%,0.65,0.275,0.381,0.478,0.858,0.203,6.5,0.333,1.5,64,16.4,0.387,134,sa328090
Trayvon Robinson,Dodgers (AA),22,523,14.00%,23.90%,0.58,0.297,0.401,0.434,0.836,0.138,7.1,0.395,1.1,84,21.2,0.386,134,9875
Brandon Laird,Yankees (AA),22,454,8.40%,18.50%,0.45,0.291,0.355,0.523,0.878,0.232,3.7,0.315,-0.5,75,20,0.385,136,5476
Leslie Anderson,Rays (AA),28,203,8.90%,13.80%,0.64,0.304,0.379,0.475,0.854,0.171,4.2,0.333,0.2,32,7.8,0.383,132,sa541190
Paulo Orlando,Royals (AA),24,469,5.10%,13.20%,0.39,0.305,0.366,0.48,0.846,0.174,7.9,0.331,1,74,18.7,0.383,134,sa322953
Konrad Schmidt,Diamondbacks (AA),25,440,7.30%,14.30%,0.51,0.315,0.373,0.49,0.863,0.175,4.3,0.347,0.1,69,16.4,0.382,131,7178
Jimmy Gallagher,White Sox (AA),24,590,12.50%,15.10%,0.83,0.294,0.392,0.427,0.82,0.133,2.9,0.339,-0.5,91,20.6,0.379,129,sa389255
Brad Emaus,Blue Jays (AA),24,170,18.20%,11.20%,1.63,0.272,0.402,0.434,0.836,0.162,4.2,0.281,1,27,6.7,0.379,132,2020
Jon Fixler,Astros (AA),24,115,11.30%,28.70%,0.39,0.255,0.354,0.49,0.844,0.235,4.4,0.333,-0.6,18,4.2,0.378,131,sa389825
Justin Christian,Yankees (AA),30,394,10.20%,11.90%,0.85,0.297,0.374,0.472,0.846,0.175,7.7,0.318,1.8,63,15.2,0.378,132,8297
Charlie Blackmon,Rockies (AA),24,381,8.40%,11.30%,0.74,0.297,0.36,0.484,0.843,0.187,6.6,0.309,1,59,13.6,0.378,130,7859
Joe Benson,Twins (AA),22,423,9.20%,27.20%,0.34,0.251,0.336,0.527,0.862,0.275,7,0.3,-1.1,68,16.2,0.377,131,2845
Nate Spears,Red Sox (AA),25,620,13.50%,15.00%,0.9,0.272,0.38,0.463,0.843,0.191,6,0.292,2.1,99,23.7,0.377,131,6026
Joel Guzman,Orioles (AA),25,563,8.00%,21.50%,0.37,0.279,0.344,0.519,0.863,0.24,3.3,0.306,-0.9,90,21.5,0.377,131,3728
Marvin Lowrance,Nationals (AA),25,357,10.90%,17.40%,0.63,0.283,0.371,0.463,0.834,0.18,4.2,0.316,-0.7,57,13.2,0.376,130,sa253270
Brett Jackson,Cubs (AA),21,268,11.20%,23.50%,0.48,0.276,0.366,0.465,0.831,0.189,8.7,0.352,1.9,41,8.6,0.375,127,9632
Vinny Rottino,Marlins (AA),30,493,10.80%,10.30%,1.04,0.307,0.384,0.43,0.814,0.122,5.5,0.332,3.5,75,15.8,0.375,127,5202
Jose Yepez,Mariners (AA),29,138,7.20%,14.50%,0.5,0.322,0.388,0.424,0.812,0.102,1.5,0.38,0,21,4.4,0.374,126,sa209508
Tony Cruz,Cardinals (AA),23,169,10.10%,17.80%,0.57,0.289,0.363,0.477,0.84,0.188,1.8,0.325,0,26,5.6,0.374,128,2802
Xavier Scruggs,Cardinals (AA),22,122,8.20%,29.50%,0.28,0.245,0.32,0.518,0.838,0.273,1.2,0.288,0,18,4,0.374,128,7409
