Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Eric Campbell,Reds (A+),25,206,13.10%,11.70%,1.13,0.371,0.468,0.653,1.121,0.281,6.3,0.384,0.9,53,24,0.479,182,sa253853
Mike Zuanich,Rockies (A+),24,265,11.30%,22.30%,0.51,0.366,0.455,0.674,1.129,0.308,5.7,0.444,-0.6,68,30.6,0.478,182,sa454907
Kody Hinze,Astros (A+),23,362,19.30%,20.20%,0.96,0.323,0.458,0.625,1.083,0.302,2.1,0.365,0.4,89,37.8,0.465,174,sa455593
Jedd Gyorko,Padres (A+),22,382,9.90%,16.80%,0.59,0.365,0.429,0.638,1.068,0.274,5.8,0.408,0.9,90,36.4,0.455,167,10816
Jose Altuve,Astros (A+),21,238,8.00%,10.90%,0.73,0.404,0.447,0.601,1.048,0.197,7.3,0.438,-0.5,56,22.5,0.454,167,5417
Greg Rohan,Cubs (A+),25,125,7.20%,16.80%,0.43,0.345,0.403,0.593,0.996,0.248,4.3,0.384,0.2,26,11.2,0.444,176,sa502095
Heiker Menses,Red Sox (A+),20,114,7.00%,21.10%,0.33,0.356,0.416,0.574,0.99,0.218,8.7,0.455,0.8,23,10.2,0.437,179,sa506229
Ryan Ortiz,Athletics (A+),23,121,17.40%,18.20%,0.95,0.34,0.455,0.515,0.97,0.175,3.6,0.397,0.5,26,9.2,0.433,154,sa501529
Vinnie Catricala,Mariners (A+),22,324,10.20%,13.90%,0.73,0.351,0.421,0.574,0.996,0.223,4.8,0.374,0.3,70,24.1,0.432,153,sa501575
Kent Matthes,Rockies (A+),24,400,5.50%,20.00%,0.28,0.334,0.378,0.642,1.02,0.307,5.5,0.375,-0.4,86,29.7,0.431,153,sa501246
Adam Eaton,Diamondbacks (A+),22,301,14.00%,13.60%,1.02,0.332,0.455,0.492,0.947,0.16,7.3,0.379,1,65,22,0.43,152,11205
Reynaldo Rodriguez,Red Sox (A+),25,237,11.40%,18.10%,0.63,0.317,0.397,0.579,0.976,0.262,5.9,0.355,0.5,46,19.5,0.428,172,sa329131
Khris Davis,Brewers (A+),23,371,13.70%,18.90%,0.73,0.309,0.415,0.533,0.948,0.224,4.2,0.35,-0.2,71,27.4,0.424,163,9112
Tommy Medica,Padres (A+),23,175,14.30%,18.30%,0.78,0.302,0.44,0.504,0.944,0.201,1.4,0.353,-0.4,36,11.7,0.423,147,11147
Dennis Raben,Mariners (A+),23,347,8.10%,21.90%,0.37,0.33,0.387,0.599,0.986,0.269,4.8,0.382,0,71,21.8,0.418,144,sa454440
Cody Johnson,Yankees (A+),22,150,7.30%,37.30%,0.2,0.326,0.387,0.548,0.935,0.222,3.8,0.514,0,28,10.4,0.418,159,sa326488
Devin Lohman,Reds (A+),22,147,8.80%,15.60%,0.57,0.331,0.4,0.554,0.954,0.223,6.5,0.373,-0.1,30,9,0.417,143,sa526331
Kole Calhoun,Angels (A+),23,594,12.30%,16.20%,0.76,0.324,0.41,0.547,0.957,0.223,5.8,0.362,-0.7,120,36.4,0.416,143,11200
Buck Britton,Orioles (A+),25,100,8.00%,7.00%,1.14,0.341,0.4,0.538,0.938,0.198,1.8,0.346,-0.2,19,7.2,0.415,164,sa455619
Tyler Townsend,Orioles (A+),23,271,4.10%,23.60%,0.17,0.317,0.358,0.583,0.941,0.266,4.6,0.379,-0.5,50,19.4,0.414,163,sa501202
Brock Kjeldgaard,Brewers (A+),25,268,9.70%,28.00%,0.35,0.268,0.366,0.558,0.924,0.29,6.8,0.317,1.7,49,17.2,0.411,154,sa326252
Josh Rutledge,Rockies (A+),22,523,7.80%,17.40%,0.45,0.346,0.412,0.513,0.925,0.167,7.5,0.414,2,103,28.9,0.41,139,11167
Kyle Jensen,Marlins (A+),23,447,10.30%,25.50%,0.4,0.309,0.385,0.535,0.919,0.225,1.6,0.381,-0.1,81,28.1,0.41,153,sa501667
Gary Brown,Giants (A+),22,638,7.20%,12.10%,0.6,0.336,0.407,0.519,0.925,0.182,8.6,0.369,1.5,125,34.5,0.408,138,11464
Carlos Ramirez,Angels (A+),23,201,8.00%,16.40%,0.48,0.348,0.403,0.53,0.933,0.182,2.9,0.404,0.3,39,10.8,0.408,138,sa501605
David Flores,Astros (A+),24,205,8.30%,16.10%,0.52,0.311,0.371,0.585,0.955,0.273,2.7,0.319,-0.9,40,10.8,0.407,137,sa454611
Yasmani Grandal,Reds (A+),22,251,16.30%,22.70%,0.72,0.296,0.41,0.51,0.92,0.214,2,0.359,0.1,49,13.2,0.407,137,11368
Kevin Coddington,Reds (A+),23,104,6.70%,4.80%,1.4,0.362,0.402,0.521,0.923,0.16,4.6,0.356,-0.3,20,5.5,0.407,137,sa456348
Darin Ruf,Phillies (A+),24,549,10.40%,17.30%,0.6,0.311,0.392,0.511,0.903,0.2,2,0.356,-0.5,98,33.2,0.406,151,9929
Brian Dozier,Twins (A+),24,218,12.40%,9.20%,1.35,0.322,0.423,0.472,0.895,0.15,7.5,0.35,0.9,39,13.2,0.406,151,9810
Wilberto Ortiz,Dodgers (A+),26,135,16.30%,12.60%,1.29,0.321,0.44,0.45,0.89,0.128,5.5,0.37,0,26,6.9,0.405,136,sa329326
Ronnier Mustelier,Yankees (A+),26,136,5.90%,11.00%,0.53,0.333,0.378,0.524,0.902,0.19,6.4,0.361,0.8,24,8.1,0.405,150,sa601536
Nicholas Francis,Royals (A+),25,204,6.40%,19.60%,0.33,0.319,0.363,0.555,0.918,0.236,6.6,0.375,0.9,36,13.1,0.404,157,sa327819
Daniel Carroll,Mariners (A+),22,594,14.80%,26.40%,0.56,0.299,0.418,0.477,0.896,0.178,8.7,0.405,5.8,113,29.1,0.403,135,sa390372
Angelo Songco,Dodgers (A+),22,588,7.10%,20.60%,0.35,0.313,0.367,0.581,0.948,0.268,4.8,0.355,-0.5,112,28.7,0.403,135,sa501270
Robbie Grossman,Pirates (A+),21,616,16.90%,18.00%,0.94,0.293,0.418,0.45,0.868,0.157,5.9,0.35,0.5,107,34.1,0.4,147,5254
Tyler Bortnick,Rays (A+),23,588,13.40%,11.40%,1.18,0.306,0.428,0.432,0.86,0.127,8.1,0.346,6.8,102,32.4,0.4,147,sa501942
Mike Olt,Rangers (A+),22,292,16.40%,24.00%,0.69,0.267,0.387,0.504,0.891,0.238,1.4,0.314,-0.5,51,17.5,0.399,153,10698
Adam Milligan,Braves (A+),23,258,6.20%,29.50%,0.21,0.291,0.345,0.557,0.902,0.266,5.2,0.38,0.1,45,15.4,0.399,153,sa328331
Griff Erickson,Dodgers (A+),23,273,15.00%,15.40%,0.98,0.305,0.408,0.491,0.899,0.186,5.3,0.346,-0.3,51,12.2,0.398,132,sa327827
Zoilo Almonte,Yankees (A+),22,292,10.60%,19.90%,0.53,0.298,0.373,0.522,0.895,0.224,6.4,0.339,1.1,50,15.5,0.397,145,6732
Alexander Burg,Giants (A+),23,296,9.50%,27.00%,0.35,0.298,0.369,0.55,0.919,0.252,2.8,0.376,-1,55,12.9,0.397,131,sa502124
Michael Choice,Athletics (A+),21,542,11.30%,24.70%,0.46,0.285,0.376,0.542,0.918,0.257,3.8,0.336,-0.4,100,23.5,0.396,131,11376
Brian Van Kirk,Blue Jays (A+),25,413,12.10%,21.50%,0.56,0.292,0.38,0.499,0.879,0.206,2.8,0.345,0.1,70,21.7,0.396,145,sa262432
