Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Lonnie Chisenhall,Indians (AAA),24,125,9.60%,19.20%,0.5,0.39,0.456,0.676,1.132,0.286,6.5,0.443,0.2,30,15.7,0.49,212,7571
Scott Van Slyke,Dodgers (AAA),26,263,19.00%,23.20%,0.82,0.348,0.479,0.627,1.107,0.279,6.3,0.437,0.6,63,30.3,0.479,192,4365
Chris Colabello,Twins (AAA),29,391,11.00%,22.80%,0.48,0.352,0.427,0.639,1.066,0.287,2.1,0.413,-0.5,86,42.2,0.466,196,13051
Andrew Brown,Mets (AAA),28,185,12.40%,18.40%,0.68,0.346,0.432,0.66,1.093,0.314,4.9,0.393,-0.1,42,18.7,0.462,180,3837
Josh Rutledge,Rockies (AAA),24,162,7.40%,13.00%,0.57,0.371,0.444,0.587,1.032,0.217,3.6,0.415,-0.8,36,15.6,0.456,177,11167
Kole Calhoun,Angels (AAA),25,274,11.70%,11.70%,1,0.354,0.431,0.617,1.047,0.263,7.1,0.371,1,60,26,0.454,176,11200
George Springer,Astros (AAA),23,266,15.40%,24.40%,0.63,0.311,0.425,0.626,1.05,0.315,8.2,0.362,2.9,58,24.9,0.453,175,12856
Oswaldo Arcia,Twins (AAA),22,155,14.20%,23.90%,0.59,0.313,0.426,0.594,1.02,0.281,3,0.366,-0.2,32,15.1,0.452,186,10306
Corey Dickerson,Rockies (AAA),24,345,7.50%,14.20%,0.53,0.371,0.414,0.632,1.046,0.26,5.7,0.409,-3.4,75,31.3,0.449,172,10762
Kila Ka'Aihue,Diamondbacks (AAA),29,235,16.20%,17.40%,0.93,0.313,0.426,0.62,1.045,0.307,2.5,0.319,-0.5,50,20.9,0.447,171,4707
Brad Miller,Mariners (AAA),23,122,12.30%,14.80%,0.83,0.356,0.426,0.596,1.022,0.24,5.5,0.373,-0.1,26,10.4,0.442,168,12775
Dustin Ackley,Mariners (AAA),25,126,15.10%,11.10%,1.36,0.365,0.472,0.5,0.972,0.135,1.7,0.409,-0.1,26,10.2,0.438,165,10099
Matt Mcbride,Rockies (AAA),28,195,5.60%,10.80%,0.52,0.328,0.359,0.683,1.042,0.356,2.3,0.297,-0.1,40,15.7,0.437,164,9373
Avisail Garcia,- - -,22,188,6.40%,19.10%,0.33,0.374,0.42,0.54,0.96,0.167,5.3,0.447,-0.3,37,15.4,0.433,173,5760
Brett Pill,Giants (AAA),28,298,5.00%,13.40%,0.38,0.344,0.379,0.63,1.01,0.286,3.9,0.347,0.1,60,22.6,0.431,160,5834
Tyler Moore,Nationals (AAA),26,200,11.50%,19.50%,0.59,0.318,0.395,0.584,0.979,0.266,3.6,0.354,0,39,16.2,0.431,172,7244
Clete Thomas,Twins (AAA),29,143,12.60%,24.50%,0.51,0.296,0.385,0.576,0.961,0.28,3.2,0.346,-0.6,27,11.1,0.427,169,3373
Andy Marte,Angels (AAA),29,103,6.80%,15.50%,0.44,0.362,0.398,0.574,0.973,0.213,2.6,0.378,0,20,7.1,0.424,155,3203
Josh Phegley,White Sox (AAA),25,258,5.80%,14.70%,0.39,0.316,0.368,0.597,0.966,0.281,3.2,0.317,-0.5,48,19.3,0.423,166,9308
Josh Johnson,Nationals (AAA),27,111,16.20%,10.80%,1.5,0.341,0.458,0.466,0.924,0.125,6.7,0.387,1,20,8,0.42,164,sa254333
Brett Wallace,Astros (AAA),26,261,9.20%,26.40%,0.35,0.326,0.398,0.554,0.952,0.227,4.2,0.425,0.1,50,17,0.418,152,8434
Stephen Vogt,Athletics (AAA),28,338,11.20%,13.30%,0.84,0.324,0.398,0.547,0.945,0.223,3.4,0.344,-0.6,63,20.9,0.415,149,5000
Andrew Heid,Angels (AAA),25,166,12.70%,21.10%,0.6,0.331,0.411,0.532,0.943,0.201,5.2,0.413,-1.4,31,10.2,0.414,149,sa548464
Eric Campbell,Mets (AAA),26,425,15.50%,14.10%,1.1,0.314,0.435,0.475,0.91,0.161,5.5,0.357,0.4,79,25.6,0.413,148,6938
Steve Clevenger,- - -,27,143,13.30%,11.20%,1.19,0.325,0.413,0.504,0.917,0.179,1.9,0.34,-0.2,26,9.1,0.411,153,9542
Brian Bogusevic,Cubs (AAA),29,310,13.20%,18.70%,0.71,0.317,0.416,0.506,0.922,0.189,6.9,0.376,2.2,57,18.3,0.411,147,4719
Josh Satin,Mets (AAA),28,264,16.30%,17.00%,0.96,0.305,0.42,0.491,0.911,0.186,2.2,0.349,-1,49,15.6,0.411,147,6788
Nick Franklin,Mariners (AAA),22,177,16.90%,11.30%,1.5,0.324,0.44,0.472,0.912,0.148,5,0.35,1.3,33,10.3,0.41,147,10166
Mitch Maier,Red Sox (AAA),31,137,17.50%,19.00%,0.92,0.31,0.431,0.451,0.882,0.142,4.8,0.381,0,24,8.5,0.407,155,5588
Brad Hawpe,Angels (AAA),34,153,13.70%,26.10%,0.53,0.305,0.405,0.504,0.909,0.198,2.1,0.4,-0.3,28,8.5,0.407,144,1885
Joey Terdoslavich,Braves (AAA),24,351,6.60%,18.50%,0.35,0.318,0.359,0.567,0.926,0.249,3.1,0.344,-2.1,61,21.8,0.407,155,10593
Alex Hassan,Red Sox (AAA),25,225,16.00%,22.20%,0.72,0.321,0.431,0.46,0.891,0.139,1.3,0.418,-0.7,39,13.9,0.406,155,9959
DJ Lemahieu,Rockies (AAA),24,158,6.30%,12.00%,0.53,0.364,0.405,0.51,0.916,0.147,8.3,0.405,0.6,28,8.4,0.404,142,9874
Andrew Lambo,Pirates (AAA),24,254,9.40%,26.40%,0.36,0.272,0.344,0.589,0.933,0.317,3,0.303,0,44,15.2,0.404,153,5386
Collin Cowgill,- - -,27,162,11.10%,17.30%,0.64,0.304,0.396,0.507,0.903,0.203,5,0.34,0.9,29,8.4,0.404,142,7250
Omar Quintanilla,Mets (AAA),31,148,13.50%,16.90%,0.8,0.333,0.419,0.484,0.903,0.151,5.2,0.396,-0.3,26,7.7,0.403,141,6335
Ty Kelly,Mariners (AAA),24,252,20.20%,16.30%,1.24,0.32,0.456,0.406,0.862,0.086,3.2,0.387,-2.6,45,12.9,0.402,141,sa501692
Dean Anna,Padres (AAA),26,582,10.50%,11.20%,0.94,0.331,0.41,0.482,0.892,0.151,4.1,0.361,-2.8,102,28.9,0.4,140,8353
Tyler Henson,Phillies (AAA),25,111,8.10%,27.00%,0.3,0.316,0.376,0.526,0.902,0.211,3.5,0.406,0.1,19,6.3,0.399,150,sa326736
Josh Thole,Blue Jays (AAA),26,167,8.40%,15.00%,0.56,0.322,0.383,0.51,0.893,0.188,2.4,0.345,-0.6,28,9.3,0.399,150,9689
Abraham Almonte,Mariners (AAA),24,396,12.40%,16.70%,0.74,0.314,0.403,0.491,0.894,0.178,7,0.363,0.7,69,19,0.398,138,5486
Mike Baxter,Mets (AAA),28,216,11.10%,12.50%,0.89,0.289,0.38,0.519,0.898,0.23,6.3,0.305,-1.5,37,10,0.396,137,4464
Josh Vitters,Cubs (AAA),23,100,11.00%,19.00%,0.58,0.295,0.38,0.511,0.891,0.216,3.3,0.328,0.2,17,4.6,0.396,137,4623
Eduardo Escobar,Twins (AAA),24,188,9.00%,19.70%,0.46,0.307,0.38,0.5,0.88,0.193,6,0.373,0.2,31,10,0.395,147,6153
Josh Harrison,Pirates (AAA),25,296,6.80%,13.20%,0.51,0.317,0.373,0.507,0.881,0.19,8.2,0.36,0.7,49,15.7,0.395,147,8202
Alfredo Amezaga,Dodgers (AAA),35,141,9.90%,14.20%,0.7,0.339,0.404,0.484,0.888,0.145,3.7,0.385,-0.3,24,6.4,0.394,136,1
Chris Nelson,Angels (AAA),27,144,5.60%,16.00%,0.35,0.328,0.361,0.545,0.906,0.216,4.6,0.355,0.7,25,6.5,0.394,136,8175
Rylan Sandoval,Mets (AAA),25,119,7.60%,21.80%,0.35,0.327,0.378,0.509,0.887,0.182,4.4,0.4,-0.1,20,5.3,0.394,136,sa392239
Brock Peterson,Cardinals (AAA),29,508,8.70%,22.40%,0.39,0.296,0.364,0.531,0.895,0.235,2.3,0.345,-0.4,86,22,0.392,134,4984
Daric Barton,Athletics (AAA),27,488,17.80%,11.70%,1.53,0.297,0.423,0.43,0.853,0.133,2.6,0.327,-0.9,82,21.1,0.392,134,5928
Eugenio Velez,- - -,31,434,12.40%,14.50%,0.86,0.314,0.398,0.472,0.87,0.158,7,0.354,2.3,72,21,0.392,140,3893
Seth Loman,White Sox (AAA),27,154,11.70%,31.80%,0.37,0.223,0.39,0.471,0.861,0.248,2.4,0.297,-0.2,25,7.6,0.39,144,sa326152
Ed Easley,Diamondbacks (AAA),27,328,8.50%,15.20%,0.56,0.334,0.394,0.478,0.872,0.143,2.9,0.383,-0.6,55,13.5,0.39,133,sa390303
Tommy Field,Angels (AAA),26,372,11.80%,18.30%,0.65,0.303,0.391,0.484,0.875,0.182,5,0.35,0.1,62,15.3,0.39,133,6262
Tony Sanchez,Pirates (AAA),25,296,9.50%,20.30%,0.47,0.288,0.368,0.504,0.872,0.215,1.2,0.339,-0.3,48,14.4,0.389,143,6178
Mike Jacobs,Diamondbacks (AAA),32,364,8.50%,18.70%,0.46,0.304,0.365,0.52,0.885,0.216,1.5,0.335,-0.1,60,14.7,0.389,132,2231
Vince Belnome,Rays (AAA),25,533,15.80%,20.50%,0.77,0.3,0.408,0.446,0.854,0.146,3.1,0.378,-1.5,86,25.6,0.389,143,8126
Efren Navarro,Angels (AAA),27,586,11.60%,16.90%,0.69,0.326,0.404,0.454,0.859,0.129,4.2,0.39,-0.9,97,23.6,0.388,132,9854
Jordy Mercer,Pirates (AAA),26,109,11.00%,15.60%,0.71,0.333,0.404,0.448,0.852,0.115,4.9,0.392,0,17,5.2,0.388,142,6547
Wil Myers,Rays (AAA),22,289,10.00%,24.60%,0.41,0.286,0.356,0.52,0.876,0.234,5.9,0.335,0.7,46,13.5,0.387,142,10047
Luke Montz,Athletics (AAA),29,145,13.10%,31.00%,0.42,0.246,0.352,0.541,0.893,0.295,1.3,0.3,-0.5,24,5.6,0.387,131,6601
Grant Green,- - -,25,443,6.80%,17.40%,0.39,0.326,0.38,0.493,0.872,0.167,4.6,0.38,-0.3,73,17.1,0.387,131,10053
Marc Krauss,Astros (AAA),25,314,16.90%,16.60%,1.02,0.281,0.401,0.478,0.88,0.198,3.4,0.31,-0.9,52,12.1,0.387,131,7577
