Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Matthew Chabot,Padres (A),22,1.2,27,0,5,0,100.00%,0.00%,100.00%,0,0,0,100.00%,0,-2.52,2.52,sa658564
Richy Pedroza,Cardinals (A),22,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.52,0.52,sa621648
Jacob Lindgren,Yankees (A),21,5,19.8,0,11,0,57.90%,0.00%,57.90%,0.056,0.2,0.143,50.00%,1.8,-0.21,2.01,sa598758
Janluis Castro,Rangers (A),20,2.2,16.88,0,5,0,50.00%,0.00%,50.00%,0.2,0.75,0.4,100.00%,0,-0.16,0.16,sa658301
Adam Ravenelle,Tigers (A),21,3,15,0,5,0,55.60%,0.00%,55.60%,0,0,0,100.00%,0,0.15,-0.15,sa602703
Kyuji Fujikawa,Cubs (A),33,1.2,21.6,5.4,4,0,50.00%,12.50%,37.50%,0.143,1.2,0.333,50.00%,0,0.48,-0.48,14443
Anthony Bass,Astros (A),26,4,13.5,0,6,0,37.50%,0.00%,37.50%,0.125,0.5,0.2,0.00%,0,0.48,-0.48,7982
Felipe Rivero,Nationals (A),22,4,13.5,0,6,0,40.00%,0.00%,40.00%,0.2,0.75,0.333,66.70%,0,0.59,-0.59,sa505018
David Hess,Orioles (A),20,8,13.5,0,12,0,40.00%,0.00%,40.00%,0.233,0.88,0.389,57.10%,3.38,0.59,2.79,sa829314
Jose De Leon,Dodgers (A),21,22.2,16.68,0.79,21,0.4,48.80%,2.30%,46.50%,0.167,0.71,0.317,82.20%,1.19,0.62,0.57,sa738334
Nicholas Rumbelow,Yankees (A),22,9,18,4,4.5,0,48.70%,10.80%,37.80%,0.121,0.89,0.267,100.00%,0,0.92,-0.92,sa709547
Cale Coshow,Yankees (A),21,8.2,13.5,1.04,13,0,32.50%,2.50%,30.00%,0.359,1.73,0.539,60.00%,5.19,0.93,4.26,sa738313
Brandon Peterson,Twins (A),22,12.2,13.5,1.42,9.5,0,39.60%,4.20%,35.40%,0.196,0.87,0.333,90.90%,0.71,0.96,-0.25,sa737943
Aaron Vaughn,Astros (A),22,1.2,10.8,0,2,0,40.00%,0.00%,40.00%,0,0,0,100.00%,0,1.08,-1.08,sa830466
