Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Eddy Alvarez,White Sox (A),24,80,8.80%,12.50%,0.7,0.431,0.488,0.639,1.126,0.208,3.3,0.475,-1,21,11.2,0.507,215,sa806877
Burt Reynolds,Mariners (A),25,54,11.10%,27.80%,0.4,0.326,0.426,0.739,1.165,0.413,8.9,0.407,0.4,14,7.6,0.507,222,sa328472
Kyle Schwarber,Cubs (A),21,96,11.50%,17.70%,0.65,0.361,0.448,0.602,1.05,0.241,2.9,0.419,-0.2,22,10.9,0.47,197,sa709545
Trea Turner,Padres (A),21,216,11.10%,22.20%,0.5,0.369,0.447,0.529,0.976,0.16,6.6,0.478,1.5,45,20.1,0.443,180,sa599179
Lewis Brinson,Rangers (A),20,186,9.70%,24.70%,0.39,0.335,0.405,0.579,0.985,0.244,5.8,0.413,-0.4,39,16.2,0.44,172,sa657923
Pat Valaika,Rockies (A),21,144,6.30%,18.10%,0.35,0.37,0.407,0.575,0.982,0.205,7.3,0.43,1.5,29,11.9,0.434,168,sa708988
Mark Payton,Yankees (A),22,97,13.40%,15.50%,0.87,0.357,0.443,0.5,0.943,0.143,4.3,0.418,-0.7,20,7.9,0.433,167,sa549855
Aaron Judge,Yankees (A),22,278,14.00%,21.20%,0.66,0.333,0.428,0.53,0.958,0.197,3.6,0.408,0,56,22.5,0.432,167,sa549847
Jantzen Witte,Red Sox (A),24,282,12.80%,19.90%,0.64,0.33,0.418,0.554,0.972,0.223,5.1,0.39,-0.7,57,22.8,0.432,167,sa738324
Sebastian Elizalde,Reds (A),22,229,17.90%,21.00%,0.85,0.311,0.439,0.503,0.941,0.191,4,0.385,-2.3,46,19.1,0.43,171,sa544568
Mike Benjamin,Rockies (A),22,343,5.20%,20.40%,0.26,0.341,0.385,0.566,0.951,0.225,8.8,0.405,1.4,67,25.3,0.423,161,sa550265
Nick Vickerson,Rangers (A),24,214,17.80%,17.30%,1.03,0.299,0.448,0.449,0.897,0.15,5,0.365,1.2,41,15.5,0.421,160,sa598342
Nick Schulz,Padres (A),23,191,5.80%,24.60%,0.23,0.341,0.386,0.545,0.932,0.205,4.6,0.43,-0.3,37,14.6,0.421,166,sa829877
Clint Coulter,Brewers (A),20,529,13.80%,19.50%,0.71,0.287,0.41,0.52,0.93,0.233,4.3,0.326,-1.4,102,40.1,0.42,165,sa657922
Domingo Leyba,Tigers (A),18,124,4.80%,10.50%,0.46,0.397,0.431,0.483,0.914,0.086,2.6,0.441,-0.7,24,9.4,0.42,165,sa736654
Carlos Asuaje,Red Sox (A),22,383,10.70%,14.60%,0.73,0.305,0.391,0.542,0.933,0.237,6.3,0.333,-0.5,73,26.1,0.416,156,sa707774
Chad Wallach,Marlins (A),22,330,15.20%,11.80%,1.28,0.321,0.43,0.476,0.906,0.155,4.2,0.351,0.3,62,22.3,0.415,156,sa550207
Boog Powell,Athletics (A),21,311,17.00%,15.80%,1.08,0.335,0.452,0.429,0.881,0.094,5.9,0.404,-2.2,58,21.8,0.413,160,sa658509
Stephen Mcquail,Diamondbacks (A),25,125,7.20%,24.00%,0.3,0.304,0.368,0.554,0.922,0.25,5.1,0.364,-0.4,23,8.7,0.412,160,sa549303
Tyler White,Astros (A),23,290,12.10%,13.80%,0.88,0.305,0.414,0.485,0.899,0.18,2.6,0.337,-0.5,54,20,0.411,159,sa738482
Bo Way,Angels (A),22,133,9.80%,12.00%,0.81,0.339,0.424,0.461,0.885,0.122,6.6,0.381,-0.5,24,9,0.41,158,sa829126
Michael Yastrzemski,Orioles (A),23,286,6.60%,22.40%,0.3,0.306,0.365,0.554,0.919,0.248,8.1,0.371,0.5,52,17.6,0.407,151,sa503161
Beau Amaral,Reds (A),23,79,6.30%,19.00%,0.33,0.329,0.377,0.529,0.905,0.2,9.1,0.4,1,14,5,0.404,155,sa503642
Ryan Cordell,Rangers (A),22,310,8.70%,17.10%,0.51,0.321,0.388,0.504,0.891,0.182,7.7,0.372,2.1,56,18.1,0.404,148,sa737938
Mitch Garver,Twins (A),23,504,12.10%,12.90%,0.94,0.298,0.399,0.481,0.88,0.184,3.3,0.32,-0.8,90,31.7,0.404,154,sa578988
