Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Joey Gallo,Rangers (A+),20,246,20.70%,26.00%,0.8,0.323,0.463,0.735,1.199,0.413,6.1,0.37,-0.5,64,35.1,0.51,221,sa657856
Conrad Gregor,Astros (A+),22,214,12.60%,11.70%,1.08,0.367,0.449,0.678,1.126,0.311,5,0.367,-0.2,53,24.6,0.472,186,sa550116
Peter O'Brien,Yankees (A+),23,119,3.40%,24.40%,0.14,0.321,0.353,0.688,1.04,0.366,3.1,0.351,0,26,12,0.458,189,sa577327
Marquez Smith,Reds (A+),29,520,16.00%,17.90%,0.89,0.323,0.438,0.623,1.061,0.3,3.9,0.352,0.3,119,49.7,0.45,171,sa388379
Corey Seager,Dodgers (A+),20,365,8.20%,20.80%,0.39,0.352,0.411,0.633,1.044,0.281,5,0.411,0.6,81,32.5,0.442,167,sa657913
Ryan Cordell,Rangers (A+),22,70,10.00%,18.60%,0.54,0.306,0.371,0.645,1.017,0.339,7.2,0.311,0.1,15,6.3,0.442,176,sa737938
Trevor Story,Rockies (A+),21,218,14.20%,27.10%,0.53,0.332,0.436,0.582,1.017,0.25,8.4,0.467,2.2,48,18.8,0.439,164,sa597765
Michael Ford,Yankees (A+),21,52,7.70%,13.50%,0.57,0.354,0.404,0.563,0.966,0.208,1.2,0.385,0,10,4.5,0.439,176,sa708447
Jordy Lara,Mariners (A+),23,447,8.50%,18.30%,0.46,0.353,0.413,0.609,1.022,0.256,4.2,0.398,-1.1,97,37.5,0.436,163,sa506241
Tyler Horan,Giants (A+),23,117,7.70%,26.50%,0.29,0.321,0.376,0.67,1.046,0.349,5.5,0.364,-0.6,25,9.6,0.434,161,sa709555
Jesse Winker,Reds (A+),20,249,16.10%,18.50%,0.87,0.317,0.426,0.58,1.006,0.263,3.8,0.349,0.6,53,20.1,0.433,160,sa657865
Cole Leonida,Nationals (A+),25,98,19.40%,17.30%,1.12,0.26,0.418,0.532,0.951,0.273,4.5,0.286,0.3,20,7.9,0.43,168,sa526399
Beau Taylor,Athletics (A+),24,138,15.90%,23.90%,0.67,0.333,0.435,0.553,0.987,0.219,1.3,0.423,0,29,10.7,0.429,158,sa577780
Johnny Field,Rays (A+),22,169,7.70%,16.60%,0.46,0.32,0.396,0.547,0.943,0.227,7.4,0.368,-0.6,32,13.3,0.428,169,sa621675
Brett Phillips,Astros (A+),20,128,10.90%,15.60%,0.7,0.339,0.421,0.56,0.98,0.22,6.3,0.384,-0.8,27,9.5,0.425,156,sa658005
D.J. Peterson,Mariners (A+),22,299,7.70%,21.70%,0.35,0.326,0.381,0.615,0.997,0.289,5.3,0.372,1.2,62,21.8,0.424,154,sa549926
Kyle Schwarber,Cubs (A+),21,191,13.60%,19.90%,0.68,0.302,0.393,0.56,0.952,0.258,5.6,0.328,0.8,36,14.3,0.423,166,sa709545
Brandon Nimmo,Mets (A+),21,279,17.90%,18.30%,0.98,0.322,0.448,0.458,0.906,0.137,7.4,0.401,0.5,52,20.6,0.422,165,sa597760
Jabari Henry,Mariners (A+),23,511,13.50%,21.30%,0.63,0.291,0.398,0.584,0.982,0.293,4.5,0.324,-2.9,104,35.8,0.42,152,sa503328
Jairo Perez,Mets (A+),26,269,3.00%,12.30%,0.24,0.353,0.383,0.55,0.933,0.197,5.2,0.37,-0.1,50,19.4,0.42,164,sa504599
Michael Burgess,Orioles (A+),25,355,7.30%,17.20%,0.43,0.315,0.366,0.579,0.946,0.265,5.7,0.344,0.1,66,24.3,0.414,158,sa389928
Carlos Asuaje,Red Sox (A+),22,176,10.20%,19.30%,0.53,0.323,0.398,0.516,0.914,0.194,4.7,0.39,-1.2,33,11.9,0.413,157,sa707774
Boog Powell,Athletics (A+),21,69,11.60%,5.80%,2,0.377,0.449,0.459,0.908,0.082,4.6,0.404,-0.9,14,4.3,0.412,147,sa658509
Mac Williamson,Giants (A+),23,100,13.00%,14.00%,0.93,0.318,0.42,0.506,0.926,0.188,5.3,0.353,0.8,20,6.2,0.411,146,sa602852
Matt Olson,Athletics (A+),20,634,18.50%,21.60%,0.85,0.262,0.404,0.543,0.947,0.281,3.2,0.287,0.5,123,38.5,0.41,145,sa657863
Carlos Correa,Astros (A+),19,293,12.30%,15.40%,0.8,0.325,0.416,0.51,0.926,0.185,8.1,0.373,2.2,56,17.2,0.407,144,sa657850
Manuel Margot,Red Sox (A+),19,56,3.60%,8.90%,0.4,0.34,0.364,0.56,0.924,0.22,3.3,0.333,-0.3,10,3.5,0.406,152,sa657504
Mark Payton,Yankees (A+),22,111,14.40%,15.30%,0.94,0.286,0.396,0.495,0.891,0.209,5.3,0.324,-0.2,19,6.8,0.405,154,sa549855
Tyler White,Astros (A+),23,186,15.10%,14.50%,1.04,0.267,0.403,0.527,0.93,0.26,2.9,0.276,0,35,10.5,0.405,142,sa738482
Kyle Waldrop,Reds (A+),22,288,7.60%,19.40%,0.39,0.359,0.409,0.516,0.925,0.156,6.1,0.432,1.3,55,16.2,0.405,142,sa549095
Daniel Carbonell,Giants (A+),23,100,6.00%,19.00%,0.32,0.344,0.39,0.538,0.928,0.194,8.1,0.408,0.5,19,5.5,0.403,141,sa829978
Josh Bell,Pirates (A+),21,363,6.90%,11.80%,0.58,0.335,0.384,0.502,0.886,0.166,4.5,0.364,-0.7,63,21.8,0.403,153,sa597768
Tony Kemp,Astros (A+),22,356,12.60%,9.80%,1.29,0.336,0.433,0.468,0.901,0.132,8,0.367,2.4,67,19.6,0.403,141,sa708452
Chris Berset,Reds (A+),26,67,10.40%,11.90%,0.88,0.31,0.403,0.5,0.903,0.19,0.9,0.333,0,12,3.5,0.4,139,sa549458
Dalton Pompey,Blue Jays (A+),21,317,11.00%,17.70%,0.63,0.319,0.397,0.471,0.868,0.152,8.6,0.38,4.9,54,17.9,0.399,150,12797
Mallex Smith,Padres (A+),21,261,11.90%,18.40%,0.65,0.327,0.414,0.475,0.889,0.148,7.2,0.4,3.4,48,13.2,0.398,138,sa599039
Aaron Judge,Yankees (A+),22,285,17.50%,25.30%,0.69,0.283,0.411,0.442,0.853,0.159,3.4,0.377,-0.1,48,15.7,0.397,149,sa549847
Teoscar Hernandez,Astros (A+),21,455,10.80%,25.70%,0.42,0.294,0.376,0.55,0.925,0.256,8.3,0.374,3.5,83,22.5,0.397,137,sa596861
Wade Hinkle,Angels (A+),24,348,11.50%,19.80%,0.58,0.295,0.405,0.493,0.898,0.199,4.8,0.358,0.5,64,17.2,0.397,137,sa658642
Hunter Renfroe,Padres (A+),22,316,8.90%,25.60%,0.35,0.295,0.37,0.565,0.935,0.27,6.2,0.359,0.5,58,15.6,0.396,137,sa549860
Dennis Raben,Angels (A+),26,448,8.50%,21.40%,0.4,0.292,0.362,0.579,0.941,0.287,4,0.309,-0.5,82,21.8,0.395,136,sa454440
Nate Roberts,Twins (A+),25,69,14.50%,15.90%,0.91,0.276,0.391,0.466,0.857,0.19,4.7,0.34,0,12,3.7,0.395,147,sa548432
Tyler Marincov,Athletics (A+),22,69,8.70%,31.90%,0.27,0.317,0.377,0.533,0.91,0.217,6.9,0.447,0.2,12,3,0.389,132,sa550348
Juan Silva,Reds (A+),23,307,15.60%,16.00%,0.98,0.31,0.421,0.437,0.858,0.127,7.6,0.368,2.7,54,13.2,0.389,132,sa501563
Carson Blair,Red Sox (A+),24,291,16.50%,30.20%,0.55,0.261,0.385,0.471,0.855,0.21,3.2,0.368,-0.3,49,14.2,0.389,141,sa471753
