Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Jorge Soler,Cubs (AA),22,79,15.20%,19.00%,0.8,0.415,0.494,0.862,1.355,0.446,3.3,0.457,0,24,14.9,0.571,265,14221
Kyle Roller,Yankees (AA),26,90,10.00%,23.30%,0.43,0.385,0.456,0.808,1.263,0.423,3.5,0.429,0.2,25,14.8,0.535,241,sa503716
Kris Bryant,Cubs (AA),22,297,14.50%,25.90%,0.56,0.355,0.458,0.702,1.16,0.347,4.3,0.44,0.7,75,40.7,0.504,220,sa549381
Donald Lutz,Reds (AA),25,97,7.20%,17.50%,0.41,0.36,0.412,0.685,1.098,0.326,6,0.394,0.2,23,11.5,0.48,204,10154
Bryan Anderson,Reds (AA),27,82,13.40%,17.10%,0.79,0.343,0.427,0.643,1.07,0.3,3.8,0.365,-0.4,18,9,0.468,196,9871
J.T. Wise,Rangers (AA),28,157,8.30%,25.50%,0.33,0.319,0.389,0.645,1.034,0.326,1.6,0.378,0,34,16.2,0.457,193,sa505632
Mookie Betts,Red Sox (AA),21,253,13.80%,7.90%,1.75,0.355,0.443,0.551,0.994,0.196,8.5,0.366,3.1,52,22.8,0.441,177,13611
Curt Casali,Rays (AA),25,96,24.00%,16.70%,1.44,0.314,0.5,0.429,0.929,0.114,0.4,0.396,0,19,8.4,0.44,177,12510
Wade Gaynor,Tigers (AA),26,91,9.90%,33.00%,0.3,0.293,0.363,0.659,1.021,0.366,4.3,0.391,0,19,8.2,0.44,177,sa501211
Dilson Herrera,Mets (AA),20,278,10.40%,18.70%,0.56,0.34,0.406,0.56,0.967,0.22,6.5,0.389,0,54,21.4,0.424,166,14335
Travis Shaw,Red Sox (AA),24,208,13.90%,11.10%,1.26,0.305,0.406,0.548,0.954,0.243,4.6,0.301,-0.3,40,15.8,0.422,165,sa578040
Ryan Schimpf,Blue Jays (AA),26,219,12.80%,25.60%,0.5,0.27,0.37,0.616,0.986,0.346,5.2,0.299,0.5,42,16.4,0.421,164,sa501472
Jake Fox,Phillies (AA),31,319,6.30%,15.40%,0.41,0.308,0.373,0.591,0.964,0.283,1,0.304,-0.1,61,23.7,0.42,163,6267
Jake Lamb,Diamondbacks (AA),23,439,11.40%,22.60%,0.51,0.318,0.399,0.551,0.949,0.233,3.6,0.389,-0.1,81,31.2,0.419,162,13329
Michael A. Taylor,Nationals (AA),23,441,11.30%,29.50%,0.38,0.313,0.396,0.539,0.935,0.227,6.7,0.421,3.3,82,30.8,0.415,160,11489
Rob Refsnyder,Yankees (AA),23,244,5.70%,15.60%,0.37,0.342,0.385,0.548,0.933,0.206,5.8,0.391,-1.1,45,16.8,0.413,159,sa621680
Greg Bird,Yankees (AA),21,116,15.50%,23.30%,0.67,0.253,0.379,0.558,0.937,0.305,1.1,0.274,0,21,7.8,0.411,158,sa597899
Austin Barnes,Marlins (AA),24,348,14.40%,10.30%,1.39,0.296,0.406,0.507,0.913,0.211,5.9,0.299,1.5,63,22.8,0.411,157,sa578958
Jared Mitchell,White Sox (AA),25,179,8.90%,22.30%,0.4,0.299,0.367,0.561,0.928,0.261,6.3,0.339,-1.2,32,11.7,0.411,157,sa327116
James Ramsey,Cardinals (AA),24,281,11.00%,23.50%,0.47,0.3,0.389,0.527,0.916,0.226,4.6,0.364,-0.1,50,19.1,0.411,161,sa599239
Scott Schebler,Dodgers (AA),23,560,8.00%,19.60%,0.41,0.28,0.365,0.556,0.921,0.276,6.4,0.308,0.3,99,34.9,0.407,154,sa549742
